t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224302,2,0.056925,0.000000,0.000000,0.000000,events/second
1651224332,5,0.076653,0.000000,0.000000,0.000000,events/second
1651224362,5,0.052407,0.000000,0.000000,0.000000,events/second
1651224393,5,0.039785,0.000000,0.000000,0.000000,events/second
1651224423,5,0.032107,0.000000,0.000000,0.000000,events/second
1651224453,5,0.026919,0.000000,0.000000,0.000000,events/second
1651224483,5,0.023174,0.000000,0.000000,0.000000,events/second
1651224513,5,0.020339,0.000000,0.000000,0.000000,events/second
1651224543,5,0.018126,0.000000,0.000000,0.000000,events/second
1651224573,20,0.065382,0.000000,0.000000,0.000000,events/second
1651224603,26,0.077398,0.000000,0.000000,0.000000,events/second
1651224633,29,0.079247,0.000000,0.000000,0.000000,events/second
1651224663,35,0.088392,0.000000,0.000000,0.000000,events/second
1651224693,38,0.089207,0.000000,0.000000,0.000000,events/second
1651224723,44,0.096492,0.000000,0.000000,0.000000,events/second
1651224753,47,0.096702,0.000000,0.000000,0.000000,events/second
1651224783,53,0.102703,0.000000,0.000000,0.000000,events/second
1651224813,56,0.102551,0.000000,0.000000,0.000000,events/second
1651224843,65,0.112828,0.000000,0.000000,0.000000,events/second
1651224873,71,0.117140,0.000000,0.000000,0.000000,events/second
1651224903,80,0.125760,0.000000,0.000000,0.000000,events/second
1651224933,83,0.124594,0.000000,0.000000,0.000000,events/second
1651224963,92,0.132148,0.000000,0.000000,0.000000,events/second
1651224993,95,0.130815,0.000000,0.000000,0.000000,events/second
1651225023,101,0.133555,0.000000,0.000000,0.000000,events/second
1651225053,104,0.132272,0.000000,0.000000,0.000000,events/second
1651225083,113,0.138433,0.000000,0.000000,0.000000,events/second
1651225113,116,0.137068,0.000000,0.000000,0.000000,events/second
1651225143,128,0.146065,0.000000,0.000000,0.000000,events/second
1651225173,131,0.144536,0.000000,0.000000,0.000000,events/second
1651225203,140,0.149514,0.000000,0.000000,0.000000,events/second
1651225233,146,0.151077,0.000000,0.000000,0.000000,events/second
1651225263,153,0.153547,0.000000,0.000000,0.000000,events/second
1651225293,161,0.156849,0.000000,0.000000,0.000000,events/second
1651225324,167,0.158072,0.000000,0.000000,0.000000,events/second
1651225354,176,0.161987,0.000000,0.000000,0.000000,events/second
1651225384,182,0.163005,0.000000,0.000000,0.000000,events/second
1651225414,185,0.161352,0.000000,0.000000,0.000000,events/second
1651225444,191,0.162334,0.000000,0.000000,0.000000,events/second
1651225474,194,0.160782,0.000000,0.000000,0.000000,events/second
1651225504,206,0.166582,0.000000,0.000000,0.000000,events/second
1651225534,209,0.165003,0.000000,0.000000,0.000000,events/second
1651225564,215,0.165810,0.000000,0.000000,0.000000,events/second
1651225594,218,0.164319,0.000000,0.000000,0.000000,events/second
1651225624,224,0.165105,0.000000,0.000000,0.000000,events/second
1651225654,227,0.163694,0.000000,0.000000,0.000000,events/second
1651225684,233,0.164462,0.000000,0.000000,0.000000,events/second
1651225714,236,0.163124,0.000000,0.000000,0.000000,events/second
1651225744,242,0.163872,0.000000,0.000000,0.000000,events/second
1651225774,245,0.162598,0.000000,0.000000,0.000000,events/second
