t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224302,3,0.085397,0.000000,0.000000,0.000000,events/second
1651224332,39,0.597923,0.000000,0.000000,0.000000,events/second
1651224362,39,0.408753,0.000000,0.000000,0.000000,events/second
1651224393,39,0.310328,0.000000,0.000000,0.000000,events/second
1651224423,39,0.250444,0.000000,0.000000,0.000000,events/second
1651224453,39,0.209971,0.000000,0.000000,0.000000,events/second
1651224483,39,0.180760,0.000000,0.000000,0.000000,events/second
1651224513,39,0.158644,0.000000,0.000000,0.000000,events/second
1651224543,39,0.141384,0.000000,0.000000,0.000000,events/second
1651224573,114,0.372682,0.000000,0.000000,0.000000,events/second
1651224603,160,0.476299,0.000000,0.000000,0.000000,events/second
1651224633,183,0.500083,0.000000,0.000000,0.000000,events/second
1651224663,229,0.578342,0.000000,0.000000,0.000000,events/second
1651224693,297,0.697231,0.000000,0.000000,0.000000,events/second
1651224723,428,0.938609,0.000000,0.000000,0.000000,events/second
1651224753,486,0.999948,0.000000,0.000000,0.000000,events/second
1651224783,552,1.069669,0.000000,0.000000,0.000000,events/second
1651224813,650,1.190337,0.000000,0.000000,0.000000,events/second
1651224843,749,1.300139,0.000000,0.000000,0.000000,events/second
1651224873,835,1.377644,0.000000,0.000000,0.000000,events/second
1651224903,934,1.468257,0.000000,0.000000,0.000000,events/second
1651224933,982,1.474121,0.000000,0.000000,0.000000,events/second
1651224963,1101,1.581470,0.000000,0.000000,0.000000,events/second
1651224993,1164,1.602834,0.000000,0.000000,0.000000,events/second
1651225023,1275,1.685977,0.000000,0.000000,0.000000,events/second
1651225053,1388,1.765334,0.000000,0.000000,0.000000,events/second
1651225083,1492,1.827818,0.000000,0.000000,0.000000,events/second
1651225113,1515,1.790158,0.000000,0.000000,0.000000,events/second
1651225143,1672,1.907981,0.000000,0.000000,0.000000,events/second
1651225173,1695,1.870147,0.000000,0.000000,0.000000,events/second
1651225203,1804,1.926607,0.000000,0.000000,0.000000,events/second
1651225233,1910,1.976422,0.000000,0.000000,0.000000,events/second
1651225263,2017,2.024222,0.000000,0.000000,0.000000,events/second
1651225293,2100,2.045866,0.000000,0.000000,0.000000,events/second
1651225324,2151,2.036011,0.000000,0.000000,0.000000,events/second
1651225354,2255,2.075465,0.000000,0.000000,0.000000,events/second
1651225384,2311,2.069811,0.000000,0.000000,0.000000,events/second
1651225414,2394,2.087994,0.000000,0.000000,0.000000,events/second
1651225444,2440,2.073804,0.000000,0.000000,0.000000,events/second
1651225474,2463,2.041274,0.000000,0.000000,0.000000,events/second
1651225504,2585,2.090370,0.000000,0.000000,0.000000,events/second
1651225534,2623,2.070836,0.000000,0.000000,0.000000,events/second
1651225564,2719,2.096923,0.000000,0.000000,0.000000,events/second
1651225594,2762,2.081879,0.000000,0.000000,0.000000,events/second
1651225624,2808,2.069715,0.000000,0.000000,0.000000,events/second
1651225654,2876,2.073947,0.000000,0.000000,0.000000,events/second
1651225684,2952,2.083664,0.000000,0.000000,0.000000,events/second
1651225714,3000,2.073615,0.000000,0.000000,0.000000,events/second
1651225744,3046,2.062624,0.000000,0.000000,0.000000,events/second
1651225774,3069,2.036793,0.000000,0.000000,0.000000,events/second
1651225804,3115,2.026935,0.000000,0.000000,0.000000,events/second
1651225834,3138,2.002774,0.000000,0.000000,0.000000,events/second
1651225864,3184,1.993930,0.000000,0.000000,0.000000,events/second
1651225894,3207,1.971274,0.000000,0.000000,0.000000,events/second
1651225924,3253,1.963323,0.000000,0.000000,0.000000,events/second
1651225954,3276,1.942027,0.000000,0.000000,0.000000,events/second
1651225984,3322,1.934871,0.000000,0.000000,0.000000,events/second
1651226014,3350,1.917658,0.000000,0.000000,0.000000,events/second
1651226044,3411,1.919560,0.000000,0.000000,0.000000,events/second
1651226074,3434,1.900400,0.000000,0.000000,0.000000,events/second
1651226104,3480,1.894392,0.000000,0.000000,0.000000,events/second
1651226134,3503,1.876260,0.000000,0.000000,0.000000,events/second
1651226164,3549,1.870814,0.000000,0.000000,0.000000,events/second
1651226194,3572,1.853605,0.000000,0.000000,0.000000,events/second
1651226224,3618,1.848669,0.000000,0.000000,0.000000,events/second
1651226254,3641,1.832321,0.000000,0.000000,0.000000,events/second
1651226284,3687,1.827862,0.000000,0.000000,0.000000,events/second
1651226314,3710,1.812303,0.000000,0.000000,0.000000,events/second
1651226344,3756,1.808257,0.000000,0.000000,0.000000,events/second
1651226374,3779,1.793418,0.000000,0.000000,0.000000,events/second
1651226404,3813,1.784145,0.000000,0.000000,0.000000,events/second
1651226434,3848,1.775588,0.000000,0.000000,0.000000,events/second
1651226464,3882,1.766803,0.000000,0.000000,0.000000,events/second
1651226494,3917,1.758682,0.000000,0.000000,0.000000,events/second
1651226524,3951,1.750359,0.000000,0.000000,0.000000,events/second
1651226554,3986,1.742696,0.000000,0.000000,0.000000,events/second
1651226584,4020,1.734799,0.000000,0.000000,0.000000,events/second
1651226614,4055,1.727531,0.000000,0.000000,0.000000,events/second
1651226644,4089,1.720020,0.000000,0.000000,0.000000,events/second
1651226674,4124,1.713115,0.000000,0.000000,0.000000,events/second
1651226704,4158,1.705973,0.000000,0.000000,0.000000,events/second
1651226734,4193,1.699414,0.000000,0.000000,0.000000,events/second
1651226764,4221,1.690202,0.000000,0.000000,0.000000,events/second
1651226794,4262,1.686354,0.000000,0.000000,0.000000,events/second
