t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224302,2,0.056932,0.000000,0.000000,0.000000,events/second
1651224332,34,0.521267,0.000000,0.000000,0.000000,events/second
1651224362,34,0.356341,0.000000,0.000000,0.000000,events/second
1651224393,34,0.270543,0.000000,0.000000,0.000000,events/second
1651224423,34,0.218337,0.000000,0.000000,0.000000,events/second
1651224453,34,0.183052,0.000000,0.000000,0.000000,events/second
1651224483,34,0.157586,0.000000,0.000000,0.000000,events/second
1651224513,34,0.138305,0.000000,0.000000,0.000000,events/second
1651224543,34,0.123258,0.000000,0.000000,0.000000,events/second
1651224573,99,0.323645,0.000000,0.000000,0.000000,events/second
1651224603,139,0.413785,0.000000,0.000000,0.000000,events/second
1651224633,159,0.434499,0.000000,0.000000,0.000000,events/second
1651224663,199,0.502578,0.000000,0.000000,0.000000,events/second
1651224693,264,0.619762,0.000000,0.000000,0.000000,events/second
1651224723,389,0.853082,0.000000,0.000000,0.000000,events/second
1651224753,444,0.913533,0.000000,0.000000,0.000000,events/second
1651224783,504,0.976656,0.000000,0.000000,0.000000,events/second
1651224813,599,1.096942,0.000000,0.000000,0.000000,events/second
1651224843,689,1.195990,0.000000,0.000000,0.000000,events/second
1651224873,769,1.268753,0.000000,0.000000,0.000000,events/second
1651224903,859,1.350357,0.000000,0.000000,0.000000,events/second
1651224933,904,1.357033,0.000000,0.000000,0.000000,events/second
1651224963,1014,1.456504,0.000000,0.000000,0.000000,events/second
1651224993,1074,1.478905,0.000000,0.000000,0.000000,events/second
1651225023,1179,1.559034,0.000000,0.000000,0.000000,events/second
1651225053,1289,1.639421,0.000000,0.000000,0.000000,events/second
1651225083,1384,1.695511,0.000000,0.000000,0.000000,events/second
1651225113,1404,1.658999,0.000000,0.000000,0.000000,events/second
1651225143,1549,1.767622,0.000000,0.000000,0.000000,events/second
1651225173,1569,1.731128,0.000000,0.000000,0.000000,events/second
1651225203,1669,1.782432,0.000000,0.000000,0.000000,events/second
1651225233,1769,1.830519,0.000000,0.000000,0.000000,events/second
1651225263,1869,1.875693,0.000000,0.000000,0.000000,events/second
1651225293,1944,1.893888,0.000000,0.000000,0.000000,events/second
1651225324,1989,1.882672,0.000000,0.000000,0.000000,events/second
1651225354,2084,1.918081,0.000000,0.000000,0.000000,events/second
1651225384,2134,1.911284,0.000000,0.000000,0.000000,events/second
1651225414,2214,1.931002,0.000000,0.000000,0.000000,events/second
1651225444,2254,1.915719,0.000000,0.000000,0.000000,events/second
1651225474,2274,1.884636,0.000000,0.000000,0.000000,events/second
1651225504,2384,1.927831,0.000000,0.000000,0.000000,events/second
1651225534,2419,1.909780,0.000000,0.000000,0.000000,events/second
1651225564,2509,1.934969,0.000000,0.000000,0.000000,events/second
1651225594,2549,1.921329,0.000000,0.000000,0.000000,events/second
1651225624,2589,1.908296,0.000000,0.000000,0.000000,events/second
1651225654,2654,1.913859,0.000000,0.000000,0.000000,events/second
1651225684,2724,1.922731,0.000000,0.000000,0.000000,events/second
1651225714,2769,1.913948,0.000000,0.000000,0.000000,events/second
1651225744,2809,1.902138,0.000000,0.000000,0.000000,events/second
1651225774,2829,1.877513,0.000000,0.000000,0.000000,events/second
1651225804,2869,1.866863,0.000000,0.000000,0.000000,events/second
1651225834,2889,1.843855,0.000000,0.000000,0.000000,events/second
1651225864,2929,1.834241,0.000000,0.000000,0.000000,events/second
1651225894,2949,1.812687,0.000000,0.000000,0.000000,events/second
1651225924,2989,1.803989,0.000000,0.000000,0.000000,events/second
1651225954,3009,1.783749,0.000000,0.000000,0.000000,events/second
1651225984,3049,1.775865,0.000000,0.000000,0.000000,events/second
1651226014,3074,1.759666,0.000000,0.000000,0.000000,events/second
1651226044,3129,1.760863,0.000000,0.000000,0.000000,events/second
1651226074,3149,1.742679,0.000000,0.000000,0.000000,events/second
1651226104,3189,1.735982,0.000000,0.000000,0.000000,events/second
1651226134,3209,1.718790,0.000000,0.000000,0.000000,events/second
1651226164,3249,1.712673,0.000000,0.000000,0.000000,events/second
1651226194,3269,1.696371,0.000000,0.000000,0.000000,events/second
1651226224,3309,1.690781,0.000000,0.000000,0.000000,events/second
1651226254,3329,1.675309,0.000000,0.000000,0.000000,events/second
1651226284,3369,1.670211,0.000000,0.000000,0.000000,events/second
1651226314,3389,1.655497,0.000000,0.000000,0.000000,events/second
1651226344,3429,1.650830,0.000000,0.000000,0.000000,events/second
1651226374,3449,1.636808,0.000000,0.000000,0.000000,events/second
1651226404,3479,1.627863,0.000000,0.000000,0.000000,events/second
1651226434,3509,1.619163,0.000000,0.000000,0.000000,events/second
1651226464,3539,1.610695,0.000000,0.000000,0.000000,events/second
1651226494,3569,1.602435,0.000000,0.000000,0.000000,events/second
1651226524,3599,1.594417,0.000000,0.000000,0.000000,events/second
1651226554,3629,1.586614,0.000000,0.000000,0.000000,events/second
1651226584,3659,1.579013,0.000000,0.000000,0.000000,events/second
1651226614,3689,1.571606,0.000000,0.000000,0.000000,events/second
