t,value
1651224270,9223372036854775807
1651224302,9223372036854775807
1651224332,9223372036854775807
1651224362,9223372036854775807
1651224393,9223372036854775807
1651224423,9223372036854775807
1651224453,9223372036854775807
1651224483,9223372036854775807
1651224513,9223372036854775807
1651224543,9223372036854775807
1651224573,9223372036854775807
1651224603,9223372036854775807
1651224633,9223372036854775807
1651224663,9223372036854775807
1651224693,9223372036854775807
1651224723,9223372036854775807
1651224753,9223372036854775807
1651224783,9223372036854775807
1651224813,9223372036854775807
1651224843,9223372036854775807
1651224873,9223372036854775807
1651224903,9223372036854775807
1651224933,9223372036854775807
1651224963,9223372036854775807
1651224993,9223372036854775807
1651225023,9223372036854775807
1651225053,9223372036854775807
1651225083,9223372036854775807
1651225113,9223372036854775807
1651225143,9223372036854775807
1651225173,9223372036854775807
1651225203,9223372036854775807
1651225233,9223372036854775807
1651225263,9223372036854775807
1651225293,9223372036854775807
1651225324,9223372036854775807
1651225354,9223372036854775807
1651225384,9223372036854775807
1651225414,9223372036854775807
1651225444,9223372036854775807
1651225474,9223372036854775807
1651225504,9223372036854775807
1651225534,9223372036854775807
1651225564,9223372036854775807
1651225594,9223372036854775807
1651225624,9223372036854775807
1651225654,9223372036854775807
1651225684,9223372036854775807
1651225714,9223372036854775807
1651225744,9223372036854775807
1651225774,9223372036854775807
1651225804,9223372036854775807
1651225834,9223372036854775807
1651225864,9223372036854775807
1651225894,9223372036854775807
1651225924,9223372036854775807
1651225954,9223372036854775807
1651225984,9223372036854775807
1651226014,9223372036854775807
1651226044,9223372036854775807
1651226074,9223372036854775807
1651226104,9223372036854775807
1651226134,9223372036854775807
1651226164,9223372036854775807
1651226194,9223372036854775807
1651226224,9223372036854775807
1651226254,9223372036854775807
1651226284,9223372036854775807
1651226314,9223372036854775807
1651226344,9223372036854775807
1651226374,9223372036854775807
1651226404,9223372036854775807
1651226434,9223372036854775807
1651226464,9223372036854775807
1651226494,9223372036854775807
1651226524,9223372036854775807
1651226554,9223372036854775807
1651226584,9223372036854775807
1651226614,9223372036854775807
1651226644,9223372036854775807
1651226674,9223372036854775807
1651226704,9223372036854775807
1651226734,9223372036854775807
1651226764,9223372036854775807
1651226794,9223372036854775807
1651226826,9223372036854775807
1651226856,9223372036854775807
