t,value
1651224270,0
1651224302,67110160
1651224332,134217728
1651224362,134217728
1651224393,134217728
1651224423,134217728
1651224453,134217728
1651224483,134217728
1651224513,134217728
1651224543,134217728
1651224573,134225152
1651224603,134226048
1651224633,134226496
1651224663,134227392
1651224693,134228864
1651224723,134231616
1651224753,134232896
1651224783,134234240
1651224813,134236352
1651224843,134238400
1651224873,134240192
1651224903,134242176
1651224933,134243200
1651224963,134245632
1651224993,134247040
1651225023,134249344
1651225053,134251840
1651225083,134253952
1651225113,134254400
1651225143,134257664
1651225173,134258112
1651225203,134260352
1651225233,134262592
1651225263,134265544
1651225293,134266496
1651225324,134267520
1651225354,134269632
1651225384,134270784
1651225414,134272576
1651225444,134273408
1651225474,134273920
1651225504,134276352
1651225534,134277184
1651225564,134279168
1651225594,134280064
1651225624,134280960
1651225654,134282432
1651225684,134283968
1651225714,134284992
1651225744,134285888
1651225774,134286336
1651225804,134287232
1651225834,134287680
1651225864,134288576
1651225894,134289024
1651225924,134289920
1651225954,134290368
1651225984,134291264
1651226014,134291840
1651226044,134293056
1651226074,134293504
1651226104,134294400
1651226134,134294848
1651226164,134295744
1651226194,134296192
1651226224,134297088
1651226254,134297536
1651226284,134298432
1651226314,134298880
1651226344,134299776
1651226374,134300224
1651226404,134300864
1651226434,134301568
1651226464,134302208
1651226494,134302912
1651226524,134303552
1651226554,134304256
1651226584,134304896
1651226614,134305600
1651226644,134306240
1651226674,134306944
1651226704,134307584
1651226734,134308288
1651226764,134308864
1651226794,134309632
1651226826,134310208
1651226856,134310976
1651226886,134311552
1651226916,134312320
1651226946,134312896
1651226976,134313664
1651227006,134315136
1651227036,134317056
1651227066,134318848
1651227096,134320192
1651227126,134321152
1651227156,134323200
1651227186,134324096
1651227216,134324992
1651227246,134325568
1651227276,134326976
1651227306,134328448
1651227336,134329856
1651227366,134332224
1651227396,134333248
1651227426,134334400
1651227456,134336064
1651227486,134336512
1651227516,134339008
1651227546,134343104
1651227576,134345344
1651227606,134345920
1651227636,134346816
1651227666,134348608
1651227696,134350400
1651227726,134351680
1651227756,134353664
1651227786,134354816
1651227816,134356224
1651227846,134357120
1651227876,134358592
1651227906,134359296
1651227936,134360512
1651227966,134360960
1651227996,134362944
1651228026,134363840
1651228056,134365760
1651228086,134366208
1651228116,134367296
1651228146,134368896
1651228176,134237824
1651228206,134238592
1651228236,134240640
1651228266,134241856
1651228296,134243200
1651228326,134232896
1651228356,134233920
1651228386,134234560
1651228416,134235776
1651228446,134237056
1651228476,134239168
1651228506,134240064
1651228536,134240960
1651228566,134241408
1651228596,134242496
1651228626,134245120
1651228656,134246080
1651228686,134246528
1651228717,134247424
1651228747,134247872
1651228777,134248768
1651228807,134249216
1651228837,134250112
1651228867,134250560
1651228897,134251456
1651228927,134251904
1651228957,134252800
1651228987,134253248
1651229017,134254144
1651229047,134254592
1651229077,134255488
1651229107,134255936
1651229137,134256832
1651229167,134257280
1651229197,134258176
1651229227,134258624
1651229257,134260672
1651229287,134262464
1651229317,134265600
1651229347,134266624
1651229377,134267520
1651229407,134267968
