t,value
1651224270,0
1651224302,0
1651224332,0
1651224362,0
1651224393,0
1651224423,0
1651224453,0
1651224483,0
1651224513,0
1651224543,0
1651224573,0
1651224603,0
1651224633,0
1651224663,0
1651224693,0
1651224723,0
1651224753,0
1651224783,0
1651224813,0
1651224843,0
1651224873,0
1651224903,0
1651224933,0
1651224963,0
1651224993,0
1651225023,0
1651225053,0
1651225083,0
1651225113,0
1651225143,0
1651225173,0
1651225203,0
1651225233,0
1651225263,0
1651225293,0
1651225324,1753
1651225354,1753
1651225384,1753
1651225414,1753
1651225444,1753
1651225474,1753
1651225504,1753
1651225534,1753
1651225564,1753
1651225594,1753
1651225624,1753
1651225654,1753
1651225684,1753
1651225714,1753
1651225744,1753
1651225774,1753
1651225804,1753
1651225834,1753
1651225864,1753
1651225894,1753
1651225924,1753
1651225954,1753
1651225984,1753
1651226014,1753
1651226044,1753
1651226074,1753
1651226104,1753
1651226134,1753
1651226164,1753
1651226194,1753
1651226224,2460
1651226254,2460
1651226284,2460
1651226314,2460
1651226344,2460
1651226374,2460
1651226404,2460
1651226434,2460
1651226464,2460
1651226494,2460
1651226524,2460
1651226554,2460
1651226584,2460
1651226614,2460
1651226644,2460
1651226674,2460
1651226704,2460
1651226734,2460
1651226764,2460
1651226794,2460
1651226826,2460
1651226856,2460
1651226886,2460
1651226916,2460
1651226946,2460
1651226976,2460
1651227006,2460
1651227036,2460
1651227066,2460
1651227096,2460
1651227126,2460
1651227156,2460
1651227186,2460
1651227216,2460
1651227246,2460
1651227276,2460
1651227306,2460
1651227336,2460
1651227366,1300
1651227396,1300
1651227426,1300
1651227456,1300
1651227486,1300
1651227516,1300
1651227546,1300
1651227576,1300
1651227606,1300
1651227636,1300
1651227666,1300
1651227696,1300
1651227726,1300
1651227756,1300
1651227786,1300
1651227816,1300
1651227846,1300
1651227876,1300
1651227906,1300
1651227936,1300
1651227966,1300
1651227996,1300
1651228026,1300
1651228056,1300
1651228086,1300
1651228116,1300
1651228146,1300
1651228176,1300
1651228206,1300
1651228236,1300
1651228266,3484
1651228296,3484
1651228326,3484
1651228356,3484
1651228386,3484
1651228416,3484
1651228446,3484
1651228476,3484
1651228506,3484
1651228536,3484
1651228566,3484
1651228596,3484
1651228626,3484
1651228656,3484
1651228686,3484
1651228717,3484
1651228747,3484
1651228777,3484
1651228807,3484
1651228837,3484
1651228867,3484
1651228897,3484
1651228927,3484
1651228957,3484
1651228987,3484
1651229017,3484
1651229047,3484
1651229077,3484
1651229107,3484
1651229137,3484
1651229167,1118
1651229197,1118
1651229227,1118
1651229257,1118
1651229287,1118
1651229317,1118
1651229347,1118
1651229377,1118
1651229407,1118
1651229437,1118
1651229467,1118
1651229497,1118
1651229527,1118
1651229557,1118
1651229587,1118
1651229617,1118
1651229647,1118
1651229677,1118
1651229707,1118
1651229737,1118
1651229767,1118
1651229797,1118
1651229827,1118
1651229857,1118
1651229887,1118
1651229917,1118
1651229947,1118
1651229977,1118
1651230007,1118
1651230037,1118
1651230067,1007
1651230097,1007
1651230127,1007
1651230157,1007
1651230187,1007
1651230217,1007
1651230247,1007
1651230277,1007
1651230307,1007
1651230337,1007
1651230367,1007
1651230397,1007
1651230427,1007
1651230457,1007
1651230487,1007
1651230517,1007
1651230547,1007
1651230577,1007
1651230607,1007
1651230637,1007
1651230667,1007
1651230697,1007
1651230727,1007
1651230757,1007
1651230787,1007
1651230817,1007
1651230847,1007
1651230877,1007
1651230907,1007
1651230937,1007
1651230967,1007
1651230997,1007
1651231027,1007
1651231057,1007
1651231087,1007
1651231117,1007
1651231147,1007
1651231177,1007
1651231207,1007
1651231237,1007
1651231267,1007
1651231297,1007
1651231328,1007
1651231358,1007
1651231388,1007
1651231418,1007
1651231448,1007
1651231478,1007
1651231508,1007
1651231538,1007
1651231568,1007
1651231598,1007
1651231628,1007
1651231658,1007
1651231688,1007
1651231718,1007
1651231748,1007
1651231778,1007
1651231808,1007
1651231838,1007
1651231868,1007
1651231898,1007
1651231928,1007
1651231958,1007
1651231988,1007
1651232018,1007
1651232048,1007
1651232078,1007
1651232108,1007
1651232138,1007
1651232168,1007
1651232198,1007
1651232228,1007
1651232258,1007
1651232288,1007
1651232318,1007
1651232348,1007
1651232378,1007
1651232408,1007
1651232438,1007
1651232468,1007
1651232498,1007
1651232528,1007
1651232558,1007
1651232588,1007
1651232618,1007
1651232648,1007
1651232678,1007
1651232708,1007
1651232738,1007
1651232768,1007
1651232798,1007
1651232828,1007
1651232858,1007
1651232888,1007
