t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224302,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224332,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224362,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224393,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224423,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224453,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224483,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224513,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224543,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224573,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224603,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224633,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224663,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224693,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224723,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224753,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224783,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224813,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224843,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224873,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224903,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224933,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224963,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224993,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225023,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225053,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225083,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225113,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225143,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225173,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225203,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225233,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225263,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225293,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225324,1753,1.647455,0.000000,0.000000,0.000000,events/second
1651225354,1753,1.602243,0.000000,0.000000,0.000000,events/second
1651225384,1753,1.559449,0.000000,0.000000,0.000000,events/second
1651225414,1753,1.518876,0.000000,0.000000,0.000000,events/second
1651225444,1753,1.480362,0.000000,0.000000,0.000000,events/second
1651225474,1753,1.443764,0.000000,0.000000,0.000000,events/second
1651225504,1753,1.408925,0.000000,0.000000,0.000000,events/second
1651225534,1753,1.375737,0.000000,0.000000,0.000000,events/second
1651225564,1753,1.344067,0.000000,0.000000,0.000000,events/second
1651225594,1753,1.313823,0.000000,0.000000,0.000000,events/second
1651225624,1753,1.284912,0.000000,0.000000,0.000000,events/second
1651225654,1753,1.257248,0.000000,0.000000,0.000000,events/second
1651225684,1753,1.230760,0.000000,0.000000,0.000000,events/second
1651225714,1753,1.205361,0.000000,0.000000,0.000000,events/second
1651225744,1753,1.180990,0.000000,0.000000,0.000000,events/second
1651225774,1753,1.157578,0.000000,0.000000,0.000000,events/second
1651225804,1753,1.135075,0.000000,0.000000,0.000000,events/second
1651225834,1753,1.113430,0.000000,0.000000,0.000000,events/second
1651225864,1753,1.092597,0.000000,0.000000,0.000000,events/second
1651225894,1753,1.072529,0.000000,0.000000,0.000000,events/second
1651225924,1753,1.053187,0.000000,0.000000,0.000000,events/second
1651225954,1753,1.034533,0.000000,0.000000,0.000000,events/second
1651225984,1753,1.016528,0.000000,0.000000,0.000000,events/second
1651226014,1753,0.999139,0.000000,0.000000,0.000000,events/second
1651226044,1753,0.982316,0.000000,0.000000,0.000000,events/second
1651226074,1753,0.966066,0.000000,0.000000,0.000000,events/second
1651226104,1753,0.950347,0.000000,0.000000,0.000000,events/second
1651226134,1753,0.935133,0.000000,0.000000,0.000000,events/second
1651226164,1753,0.920392,0.000000,0.000000,0.000000,events/second
1651226194,1753,0.906110,0.000000,0.000000,0.000000,events/second
1651226224,4213,2.144378,0.000000,0.000000,0.000000,events/second
