t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224302,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224332,6,0.076828,0.088275,0.019506,0.006611,events/second
1651224362,6,0.055400,0.053542,0.017650,0.006395,events/second
1651224393,6,0.043308,0.032475,0.015971,0.006185,events/second
1651224423,6,0.035589,0.019697,0.014451,0.005982,events/second
1651224453,6,0.030210,0.011947,0.013076,0.005786,events/second
1651224483,6,0.026244,0.007246,0.011831,0.005596,events/second
1651224513,6,0.023193,0.004395,0.010705,0.005413,events/second
1651224543,6,0.020782,0.002666,0.009687,0.005235,events/second
1651224573,8,0.025097,0.032320,0.015322,0.007274,events/second
1651224603,10,0.028670,0.047053,0.020262,0.009227,events/second
1651224633,11,0.029038,0.042075,0.021531,0.010020,events/second
1651224663,13,0.031798,0.052969,0.025880,0.011883,events/second
1651224693,20,0.045575,0.134143,0.046123,0.019201,events/second
1651224723,25,0.053320,0.143431,0.057412,0.024014,events/second
1651224753,26,0.052115,0.100532,0.055146,0.024323,events/second
1651224783,28,0.052938,0.088425,0.056296,0.025717,events/second
1651224813,29,0.051885,0.067169,0.054136,0.025970,events/second
1651224843,32,0.054333,0.079647,0.058475,0.028394,events/second
1651224873,34,0.054929,0.074299,0.059253,0.029649,events/second
1651224903,41,0.063174,0.131364,0.073016,0.035276,events/second
1651224933,42,0.061853,0.104931,0.072360,0.036299,events/second
1651224963,48,0.067695,0.119059,0.078318,0.039498,events/second
1651224993,50,0.067651,0.121546,0.083397,0.042556,events/second
1651225023,52,0.067611,0.086175,0.078605,0.042251,events/second
1651225053,56,0.070077,0.107050,0.083920,0.045249,events/second
1651225083,62,0.074776,0.137740,0.094698,0.050292,events/second
1651225113,63,0.073327,0.108798,0.091979,0.050823,events/second
1651225143,70,0.078723,0.141129,0.099538,0.054672,events/second
1651225173,71,0.077240,0.121396,0.099400,0.056137,events/second
1651225203,78,0.082172,0.146362,0.108704,0.060823,events/second
1651225233,87,0.088842,0.238121,0.130934,0.069854,events/second
1651225263,90,0.089171,0.156881,0.121618,0.068654,events/second
1651225293,92,0.088519,0.130950,0.119378,0.069660,events/second
1651225324,94,0.087904,0.102421,0.114204,0.069544,events/second
1651225354,103,0.093690,0.190341,0.134944,0.078180,events/second
1651225384,105,0.092970,0.127901,0.125247,0.076706,events/second
1651225414,106,0.091425,0.102831,0.119620,0.076371,events/second
1651225444,108,0.090798,0.074824,0.111381,0.074957,events/second
1651225474,109,0.089383,0.070637,0.107075,0.074679,events/second
1651225504,119,0.095239,0.133975,0.116503,0.078855,events/second
1651225534,123,0.096131,0.177761,0.130373,0.084964,events/second
1651225564,134,0.102327,0.220209,0.143712,0.090963,events/second
1651225594,139,0.103766,0.228808,0.154938,0.096669,events/second
1651225624,141,0.102951,0.151233,0.143338,0.094589,events/second
1651225654,149,0.106459,0.205462,0.155499,0.100279,events/second
1651225684,157,0.109821,0.234016,0.166290,0.105758,events/second
1651225714,158,0.108247,0.167193,0.156758,0.104471,events/second
1651225744,160,0.107409,0.113861,0.144985,0.102135,events/second
1651225774,161,0.105945,0.094315,0.137480,0.100967,events/second
1651225804,163,0.105183,0.069659,0.127542,0.098746,events/second
1651225834,164,0.103817,0.067505,0.121697,0.097689,events/second
1651225864,166,0.103124,0.053398,0.113261,0.095576,events/second
1651225894,167,0.101846,0.057642,0.108775,0.094622,events/second
1651225924,169,0.101212,0.047415,0.101568,0.092610,events/second
1651225954,170,0.100014,0.054013,0.098195,0.091753,events/second
1651225984,172,0.099435,0.045215,0.091995,0.089835,events/second
1651226014,173,0.098307,0.052679,0.089533,0.089069,events/second
1651226044,175,0.097774,0.044405,0.084157,0.087239,events/second
1651226074,176,0.096711,0.052188,0.082441,0.086558,events/second
1651226104,178,0.096223,0.044107,0.077740,0.084810,events/second
1651226134,179,0.095219,0.052007,0.076635,0.084209,events/second
1651226164,181,0.094769,0.043998,0.072487,0.082538,events/second
1651226194,182,0.093818,0.051940,0.071881,0.082012,events/second
1651226224,184,0.093403,0.043957,0.068185,0.080413,events/second
1651226254,185,0.092502,0.051916,0.067989,0.079956,events/second
