t,value
1651224270,0
1651224302,0
1651224332,0
1651224362,0
1651224393,0
1651224423,0
1651224453,0
1651224483,0
1651224513,0
1651224543,0
1651224573,0
1651224603,0
1651224633,0
1651224663,0
1651224693,0
1651224723,0
1651224753,0
1651224783,0
1651224813,0
1651224843,0
1651224873,0
1651224903,1
1651224933,1
1651224963,1
1651224993,1
1651225023,1
1651225053,1
1651225083,1
1651225113,1
1651225143,1
1651225173,1
1651225203,1
1651225233,1
1651225263,1
1651225293,1
1651225324,1
1651225354,4
1651225384,4
1651225414,4
1651225444,4
1651225474,4
1651225504,7
1651225534,7
1651225564,7
1651225594,7
1651225624,7
1651225654,7
1651225684,7
1651225714,7
1651225744,7
1651225774,7
1651225804,7
1651225834,7
1651225864,7
1651225894,7
1651225924,7
1651225954,7
1651225984,7
1651226014,7
1651226044,7
1651226074,7
1651226104,7
1651226134,7
1651226164,7
1651226194,7
1651226224,7
1651226254,7
1651226284,7
1651226314,7
1651226344,7
1651226374,7
1651226404,7
1651226434,7
1651226464,7
1651226494,7
1651226524,7
1651226554,7
1651226584,7
1651226614,7
1651226644,7
1651226674,7
1651226704,7
1651226734,7
1651226764,7
1651226794,7
1651226826,7
1651226856,7
1651226886,7
1651226916,7
1651226946,7
1651226976,7
1651227006,7
1651227036,7
1651227066,7
1651227096,7
1651227126,7
1651227156,7
1651227186,7
1651227216,7
1651227246,7
1651227276,7
1651227306,7
1651227336,7
1651227366,7
1651227396,7
1651227426,7
1651227456,7
1651227486,7
1651227516,7
1651227546,7
1651227576,7
1651227606,7
1651227636,7
1651227666,7
1651227696,7
1651227726,7
1651227756,7
1651227786,7
1651227816,7
1651227846,7
1651227876,7
1651227906,7
1651227936,7
1651227966,7
1651227996,7
1651228026,7
1651228056,7
1651228086,7
1651228116,7
1651228146,7
1651228176,7
1651228206,7
1651228236,7
1651228266,7
1651228296,7
1651228326,10
1651228356,10
1651228386,10
1651228416,10
1651228446,10
1651228476,10
1651228506,10
1651228536,10
1651228566,10
1651228596,10
1651228626,10
1651228656,10
1651228686,10
1651228717,10
1651228747,10
1651228777,10
1651228807,10
1651228837,10
1651228867,10
1651228897,10
1651228927,10
1651228957,10
1651228987,10
1651229017,10
1651229047,10
1651229077,10
1651229107,10
1651229137,10
1651229167,10
1651229197,10
1651229227,10
1651229257,10
1651229287,10
1651229317,10
1651229347,10
1651229377,10
1651229407,10
1651229437,10
1651229467,10
1651229497,10
1651229527,10
1651229557,10
1651229587,10
1651229617,10
1651229647,10
1651229677,10
1651229707,10
1651229737,10
1651229767,10
1651229797,10
1651229827,10
1651229857,10
1651229887,10
1651229917,10
1651229947,10
1651229977,10
1651230007,10
1651230037,10
1651230067,10
1651230097,10
1651230127,10
1651230157,10
1651230187,10
1651230217,10
1651230247,10
1651230277,10
1651230307,10
1651230337,10
1651230367,10
1651230397,10
1651230427,10
1651230457,10
1651230487,10
1651230517,10
1651230547,10
1651230577,10
1651230607,10
1651230637,10
1651230667,10
1651230697,10
1651230727,10
1651230757,10
1651230787,10
1651230817,10
1651230847,10
1651230877,10
1651230907,10
1651230937,10
1651230967,10
1651230997,10
1651231027,10
1651231057,10
1651231087,10
1651231117,10
1651231147,10
1651231177,10
1651231207,10
1651231237,10
1651231267,10
1651231297,10
1651231328,10
1651231358,10
1651231388,10
1651231418,10
1651231448,10
1651231478,10
1651231508,10
1651231538,10
1651231568,10
1651231598,10
1651231628,10
1651231658,10
1651231688,10
1651231718,10
1651231748,10
1651231778,10
1651231808,10
1651231838,10
1651231868,10
1651231898,10
1651231928,10
1651231958,10
1651231988,10
1651232018,10
1651232048,10
1651232078,10
1651232108,10
1651232138,10
1651232168,10
1651232198,10
1651232228,10
1651232258,10
1651232288,10
1651232318,10
1651232348,10
1651232378,10
1651232408,10
1651232438,10
1651232468,10
1651232498,10
1651232528,10
1651232558,10
1651232588,10
1651232618,10
1651232648,10
1651232678,10
1651232708,10
1651232738,10
1651232768,10
1651232798,10
1651232828,10
1651232858,10
1651232888,10
1651232918,10
1651232948,10
1651232978,10
1651233008,10
1651233038,10
1651233068,10
1651233098,10
1651233128,10
1651233158,10
1651233188,10
1651233218,10
1651233248,10
1651233278,10
1651233308,10
1651233338,10
1651233368,10
1651233398,10
1651233428,10
1651233458,10
1651233488,10
1651233518,10
1651233548,10
1651233578,10
1651233608,10
1651233638,10
1651233668,10
1651233698,10
1651233728,10
1651233758,10
1651233788,10
1651233818,10
1651233848,10
1651233878,10
1651233908,10
1651233938,10
1651233968,10
1651233998,10
