t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,2,0.171448,0.000000,0.000000,0.000000,events/second
1651224302,2,0.046810,0.000000,0.000000,0.000000,events/second
1651224332,2,0.027466,0.000000,0.000000,0.000000,events/second
1651224362,2,0.019412,0.000000,0.000000,0.000000,events/second
1651224393,2,0.015008,0.000000,0.000000,0.000000,events/second
1651224423,2,0.012246,0.000000,0.000000,0.000000,events/second
1651224453,2,0.010345,0.000000,0.000000,0.000000,events/second
1651224483,2,0.008955,0.000000,0.000000,0.000000,events/second
1651224513,2,0.007892,0.000000,0.000000,0.000000,events/second
1651224543,2,0.007056,0.000000,0.000000,0.000000,events/second
1651224573,4,0.012760,0.000000,0.000000,0.000000,events/second
1651224603,6,0.017467,0.000000,0.000000,0.000000,events/second
1651224633,7,0.018740,0.000000,0.000000,0.000000,events/second
1651224663,9,0.022302,0.000000,0.000000,0.000000,events/second
1651224693,16,0.036904,0.000000,0.000000,0.000000,events/second
1651224723,21,0.045299,0.000000,0.000000,0.000000,events/second
1651224753,22,0.044569,0.000000,0.000000,0.000000,events/second
1651224783,24,0.045833,0.000000,0.000000,0.000000,events/second
1651224813,25,0.045154,0.000000,0.000000,0.000000,events/second
1651224843,28,0.047971,0.000000,0.000000,0.000000,events/second
1651224873,30,0.048884,0.000000,0.000000,0.000000,events/second
1651224903,41,0.063692,0.000000,0.000000,0.000000,events/second
1651224933,42,0.062338,0.000000,0.000000,0.000000,events/second
1651224963,48,0.068203,0.000000,0.000000,0.000000,events/second
1651224993,50,0.068138,0.000000,0.000000,0.000000,events/second
1651225023,52,0.068078,0.000000,0.000000,0.000000,events/second
1651225053,56,0.070543,0.000000,0.000000,0.000000,events/second
1651225083,62,0.075255,0.000000,0.000000,0.000000,events/second
1651225113,63,0.073780,0.000000,0.000000,0.000000,events/second
1651225143,70,0.079194,0.000000,0.000000,0.000000,events/second
1651225173,71,0.077686,0.000000,0.000000,0.000000,events/second
1651225203,78,0.082631,0.000000,0.000000,0.000000,events/second
1651225233,87,0.089324,0.000000,0.000000,0.000000,events/second
1651225263,90,0.089639,0.000000,0.000000,0.000000,events/second
1651225293,92,0.088970,0.000000,0.000000,0.000000,events/second
1651225324,94,0.088340,0.000000,0.000000,0.000000,events/second
1651225354,103,0.094142,0.000000,0.000000,0.000000,events/second
1651225384,105,0.093406,0.000000,0.000000,0.000000,events/second
1651225414,106,0.091843,0.000000,0.000000,0.000000,events/second
