t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224302,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224332,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224362,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224393,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224423,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224453,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224483,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224513,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224543,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224573,2,0.006380,0.000000,0.000000,0.000000,events/second
1651224603,4,0.011644,0.000000,0.000000,0.000000,events/second
1651224633,5,0.013386,0.000000,0.000000,0.000000,events/second
1651224663,7,0.017346,0.000000,0.000000,0.000000,events/second
1651224693,14,0.032291,0.000000,0.000000,0.000000,events/second
1651224723,19,0.040985,0.000000,0.000000,0.000000,events/second
1651224753,20,0.040517,0.000000,0.000000,0.000000,events/second
1651224783,22,0.042014,0.000000,0.000000,0.000000,events/second
1651224813,23,0.041542,0.000000,0.000000,0.000000,events/second
1651224843,26,0.044545,0.000000,0.000000,0.000000,events/second
1651224873,28,0.045625,0.000000,0.000000,0.000000,events/second
1651224903,34,0.052818,0.000000,0.000000,0.000000,events/second
1651224933,35,0.051948,0.000000,0.000000,0.000000,events/second
1651224963,41,0.058257,0.000000,0.000000,0.000000,events/second
1651224993,43,0.058599,0.000000,0.000000,0.000000,events/second
1651225023,45,0.058914,0.000000,0.000000,0.000000,events/second
1651225053,49,0.061725,0.000000,0.000000,0.000000,events/second
1651225083,55,0.066759,0.000000,0.000000,0.000000,events/second
1651225113,56,0.065583,0.000000,0.000000,0.000000,events/second
1651225143,63,0.071274,0.000000,0.000000,0.000000,events/second
1651225173,64,0.070027,0.000000,0.000000,0.000000,events/second
1651225203,71,0.075216,0.000000,0.000000,0.000000,events/second
1651225233,80,0.082137,0.000000,0.000000,0.000000,events/second
1651225263,83,0.082667,0.000000,0.000000,0.000000,events/second
1651225293,85,0.082201,0.000000,0.000000,0.000000,events/second
1651225324,87,0.081762,0.000000,0.000000,0.000000,events/second
1651225354,95,0.086830,0.000000,0.000000,0.000000,events/second
1651225384,97,0.086290,0.000000,0.000000,0.000000,events/second
1651225414,98,0.084911,0.000000,0.000000,0.000000,events/second
1651225444,100,0.084447,0.000000,0.000000,0.000000,events/second
1651225474,101,0.083183,0.000000,0.000000,0.000000,events/second
1651225504,110,0.088409,0.000000,0.000000,0.000000,events/second
1651225534,114,0.089466,0.000000,0.000000,0.000000,events/second
1651225564,125,0.095840,0.000000,0.000000,0.000000,events/second
1651225594,130,0.097431,0.000000,0.000000,0.000000,events/second
1651225624,132,0.096753,0.000000,0.000000,0.000000,events/second
1651225654,140,0.100407,0.000000,0.000000,0.000000,events/second
1651225684,148,0.103909,0.000000,0.000000,0.000000,events/second
1651225714,149,0.102452,0.000000,0.000000,0.000000,events/second
1651225744,151,0.101728,0.000000,0.000000,0.000000,events/second
1651225774,152,0.100372,0.000000,0.000000,0.000000,events/second
1651225804,154,0.099715,0.000000,0.000000,0.000000,events/second
1651225834,155,0.098449,0.000000,0.000000,0.000000,events/second
1651225864,157,0.097854,0.000000,0.000000,0.000000,events/second
1651225894,158,0.096668,0.000000,0.000000,0.000000,events/second
1651225924,160,0.096126,0.000000,0.000000,0.000000,events/second
1651225954,161,0.095014,0.000000,0.000000,0.000000,events/second
1651225984,163,0.094520,0.000000,0.000000,0.000000,events/second
1651226014,164,0.093473,0.000000,0.000000,0.000000,events/second
1651226044,166,0.093020,0.000000,0.000000,0.000000,events/second
1651226074,167,0.092032,0.000000,0.000000,0.000000,events/second
1651226104,169,0.091619,0.000000,0.000000,0.000000,events/second
1651226134,170,0.090686,0.000000,0.000000,0.000000,events/second
1651226164,172,0.090306,0.000000,0.000000,0.000000,events/second
1651226194,173,0.089422,0.000000,0.000000,0.000000,events/second
1651226224,175,0.089073,0.000000,0.000000,0.000000,events/second
1651226254,176,0.088234,0.000000,0.000000,0.000000,events/second
