t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,2,0.169889,0.000000,0.000000,0.000000,events/second
1651224302,2,0.046811,0.000000,0.000000,0.000000,events/second
1651224332,2,0.027462,0.000000,0.000000,0.000000,events/second
1651224362,2,0.019411,0.000000,0.000000,0.000000,events/second
1651224393,2,0.015008,0.000000,0.000000,0.000000,events/second
1651224423,2,0.012246,0.000000,0.000000,0.000000,events/second
1651224453,2,0.010345,0.000000,0.000000,0.000000,events/second
1651224483,2,0.008955,0.000000,0.000000,0.000000,events/second
1651224513,2,0.007892,0.000000,0.000000,0.000000,events/second
1651224543,2,0.007056,0.000000,0.000000,0.000000,events/second
1651224573,2,0.006380,0.000000,0.000000,0.000000,events/second
1651224603,2,0.005822,0.000000,0.000000,0.000000,events/second
1651224633,2,0.005354,0.000000,0.000000,0.000000,events/second
1651224663,2,0.004956,0.000000,0.000000,0.000000,events/second
1651224693,2,0.004613,0.000000,0.000000,0.000000,events/second
1651224723,2,0.004314,0.000000,0.000000,0.000000,events/second
1651224753,2,0.004052,0.000000,0.000000,0.000000,events/second
1651224783,2,0.003819,0.000000,0.000000,0.000000,events/second
1651224813,2,0.003612,0.000000,0.000000,0.000000,events/second
1651224843,2,0.003427,0.000000,0.000000,0.000000,events/second
1651224873,2,0.003259,0.000000,0.000000,0.000000,events/second
1651224903,7,0.010874,0.000000,0.000000,0.000000,events/second
1651224933,7,0.010390,0.000000,0.000000,0.000000,events/second
1651224963,7,0.009946,0.000000,0.000000,0.000000,events/second
1651224993,7,0.009539,0.000000,0.000000,0.000000,events/second
1651225023,7,0.009164,0.000000,0.000000,0.000000,events/second
1651225053,7,0.008818,0.000000,0.000000,0.000000,events/second
1651225083,7,0.008497,0.000000,0.000000,0.000000,events/second
1651225113,7,0.008198,0.000000,0.000000,0.000000,events/second
1651225143,7,0.007919,0.000000,0.000000,0.000000,events/second
1651225173,7,0.007659,0.000000,0.000000,0.000000,events/second
1651225203,7,0.007416,0.000000,0.000000,0.000000,events/second
1651225233,7,0.007187,0.000000,0.000000,0.000000,events/second
1651225263,7,0.006972,0.000000,0.000000,0.000000,events/second
1651225293,7,0.006769,0.000000,0.000000,0.000000,events/second
1651225324,7,0.006579,0.000000,0.000000,0.000000,events/second
1651225354,8,0.007312,0.000000,0.000000,0.000000,events/second
1651225384,8,0.007117,0.000000,0.000000,0.000000,events/second
1651225414,8,0.006932,0.000000,0.000000,0.000000,events/second
1651225444,8,0.006756,0.000000,0.000000,0.000000,events/second
1651225474,8,0.006589,0.000000,0.000000,0.000000,events/second
1651225504,9,0.007233,0.000000,0.000000,0.000000,events/second
1651225534,9,0.007063,0.000000,0.000000,0.000000,events/second
1651225564,9,0.006901,0.000000,0.000000,0.000000,events/second
1651225594,9,0.006745,0.000000,0.000000,0.000000,events/second
1651225624,9,0.006597,0.000000,0.000000,0.000000,events/second
1651225654,9,0.006455,0.000000,0.000000,0.000000,events/second
1651225684,9,0.006319,0.000000,0.000000,0.000000,events/second
1651225714,9,0.006188,0.000000,0.000000,0.000000,events/second
1651225744,9,0.006063,0.000000,0.000000,0.000000,events/second
1651225774,9,0.005943,0.000000,0.000000,0.000000,events/second
1651225804,9,0.005828,0.000000,0.000000,0.000000,events/second
1651225834,9,0.005716,0.000000,0.000000,0.000000,events/second
1651225864,9,0.005609,0.000000,0.000000,0.000000,events/second
1651225894,9,0.005506,0.000000,0.000000,0.000000,events/second
1651225924,9,0.005407,0.000000,0.000000,0.000000,events/second
