t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,3,0.252853,0.000000,0.000000,0.000000,events/second
1651224302,3,0.070218,0.000000,0.000000,0.000000,events/second
1651224332,3,0.041185,0.000000,0.000000,0.000000,events/second
1651224362,3,0.029116,0.000000,0.000000,0.000000,events/second
1651224393,3,0.022512,0.000000,0.000000,0.000000,events/second
1651224423,3,0.018370,0.000000,0.000000,0.000000,events/second
1651224453,3,0.015518,0.000000,0.000000,0.000000,events/second
1651224483,3,0.013432,0.000000,0.000000,0.000000,events/second
1651224513,3,0.011838,0.000000,0.000000,0.000000,events/second
1651224543,3,0.010585,0.000000,0.000000,0.000000,events/second
1651224573,3,0.009570,0.000000,0.000000,0.000000,events/second
1651224603,3,0.008733,0.000000,0.000000,0.000000,events/second
1651224633,3,0.008032,0.000000,0.000000,0.000000,events/second
1651224663,3,0.007434,0.000000,0.000000,0.000000,events/second
1651224693,3,0.006919,0.000000,0.000000,0.000000,events/second
1651224723,3,0.006471,0.000000,0.000000,0.000000,events/second
1651224753,3,0.006078,0.000000,0.000000,0.000000,events/second
1651224783,3,0.005729,0.000000,0.000000,0.000000,events/second
1651224813,3,0.005419,0.000000,0.000000,0.000000,events/second
1651224843,3,0.005140,0.000000,0.000000,0.000000,events/second
1651224873,3,0.004888,0.000000,0.000000,0.000000,events/second
1651224903,8,0.012428,0.000000,0.000000,0.000000,events/second
1651224933,8,0.011874,0.000000,0.000000,0.000000,events/second
1651224963,8,0.011367,0.000000,0.000000,0.000000,events/second
1651224993,8,0.010902,0.000000,0.000000,0.000000,events/second
1651225023,8,0.010474,0.000000,0.000000,0.000000,events/second
1651225053,8,0.010078,0.000000,0.000000,0.000000,events/second
1651225083,8,0.009710,0.000000,0.000000,0.000000,events/second
1651225113,8,0.009369,0.000000,0.000000,0.000000,events/second
1651225143,8,0.009051,0.000000,0.000000,0.000000,events/second
1651225173,8,0.008753,0.000000,0.000000,0.000000,events/second
1651225203,8,0.008475,0.000000,0.000000,0.000000,events/second
1651225233,8,0.008214,0.000000,0.000000,0.000000,events/second
1651225263,8,0.007968,0.000000,0.000000,0.000000,events/second
1651225293,8,0.007737,0.000000,0.000000,0.000000,events/second
1651225324,8,0.007518,0.000000,0.000000,0.000000,events/second
1651225354,9,0.008226,0.000000,0.000000,0.000000,events/second
1651225384,9,0.008006,0.000000,0.000000,0.000000,events/second
1651225414,9,0.007798,0.000000,0.000000,0.000000,events/second
1651225444,9,0.007600,0.000000,0.000000,0.000000,events/second
1651225474,9,0.007412,0.000000,0.000000,0.000000,events/second
1651225504,10,0.008037,0.000000,0.000000,0.000000,events/second
1651225534,10,0.007848,0.000000,0.000000,0.000000,events/second
1651225564,10,0.007667,0.000000,0.000000,0.000000,events/second
1651225594,10,0.007495,0.000000,0.000000,0.000000,events/second
1651225624,10,0.007330,0.000000,0.000000,0.000000,events/second
1651225654,10,0.007172,0.000000,0.000000,0.000000,events/second
1651225684,10,0.007021,0.000000,0.000000,0.000000,events/second
1651225714,10,0.006876,0.000000,0.000000,0.000000,events/second
1651225744,10,0.006737,0.000000,0.000000,0.000000,events/second
1651225774,10,0.006603,0.000000,0.000000,0.000000,events/second
1651225804,10,0.006475,0.000000,0.000000,0.000000,events/second
1651225834,10,0.006352,0.000000,0.000000,0.000000,events/second
1651225864,10,0.006233,0.000000,0.000000,0.000000,events/second
1651225894,10,0.006118,0.000000,0.000000,0.000000,events/second
