t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,2374,528.186692,0.000000,0.000000,0.000000,events/second
1651224302,2520,71.608357,0.000000,0.000000,0.000000,events/second
1651224332,2874,44.000070,0.000000,0.000000,0.000000,events/second
1651224362,2916,30.530905,0.000000,0.000000,0.000000,events/second
1651224393,3199,25.443375,0.000000,0.000000,0.000000,events/second
1651224423,3241,20.805052,0.000000,0.000000,0.000000,events/second
1651224453,3524,18.967122,0.000000,0.000000,0.000000,events/second
1651224483,3566,16.521158,0.000000,0.000000,0.000000,events/second
1651224513,3849,15.653456,0.000000,0.000000,0.000000,events/second
1651224543,3884,14.077650,0.000000,0.000000,0.000000,events/second
1651224573,4201,13.731114,0.000000,0.000000,0.000000,events/second
1651224603,4305,12.813336,0.000000,0.000000,0.000000,events/second
1651224633,4619,12.620419,0.000000,0.000000,0.000000,events/second
1651224663,4723,11.926351,0.000000,0.000000,0.000000,events/second
1651224693,5042,11.834951,0.000000,0.000000,0.000000,events/second
1651224723,5148,11.288204,0.000000,0.000000,0.000000,events/second
1651224753,5462,11.236809,0.000000,0.000000,0.000000,events/second
1651224783,5566,10.784659,0.000000,0.000000,0.000000,events/second
1651224813,5880,10.766869,0.000000,0.000000,0.000000,events/second
1651224843,6015,10.440022,0.000000,0.000000,0.000000,events/second
1651224873,6360,10.492220,0.000000,0.000000,0.000000,events/second
1651224903,6534,10.270590,0.000000,0.000000,0.000000,events/second
1651224933,6852,10.284952,0.000000,0.000000,0.000000,events/second
1651224963,6986,10.033840,0.000000,0.000000,0.000000,events/second
1651224993,7304,10.056878,0.000000,0.000000,0.000000,events/second
1651225023,7406,9.792491,0.000000,0.000000,0.000000,events/second
1651225053,7724,9.823094,0.000000,0.000000,0.000000,events/second
1651225083,7859,9.627253,0.000000,0.000000,0.000000,events/second
1651225113,8177,9.661493,0.000000,0.000000,0.000000,events/second
1651225143,8344,9.521041,0.000000,0.000000,0.000000,events/second
1651225173,8662,9.556476,0.000000,0.000000,0.000000,events/second
1651225203,8794,9.391113,0.000000,0.000000,0.000000,events/second
1651225233,9146,9.463502,0.000000,0.000000,0.000000,events/second
1651225263,9278,9.310691,0.000000,0.000000,0.000000,events/second
1651225293,9626,9.377327,0.000000,0.000000,0.000000,events/second
1651225324,9818,9.292649,0.000000,0.000000,0.000000,events/second
1651225354,10224,9.409519,0.000000,0.000000,0.000000,events/second
1651225384,10326,9.247854,0.000000,0.000000,0.000000,events/second
1651225414,10645,9.283884,0.000000,0.000000,0.000000,events/second
1651225444,10854,9.224593,0.000000,0.000000,0.000000,events/second
1651225474,11175,9.261129,0.000000,0.000000,0.000000,events/second
1651225504,11362,9.187511,0.000000,0.000000,0.000000,events/second
1651225534,11688,9.227169,0.000000,0.000000,0.000000,events/second
1651225564,11790,9.092180,0.000000,0.000000,0.000000,events/second
1651225594,12111,9.128356,0.000000,0.000000,0.000000,events/second
1651225624,12213,9.001571,0.000000,0.000000,0.000000,events/second
1651225654,12534,9.038186,0.000000,0.000000,0.000000,events/second
1651225684,12636,8.918748,0.000000,0.000000,0.000000,events/second
1651225714,12957,8.955597,0.000000,0.000000,0.000000,events/second
1651225744,13059,8.842677,0.000000,0.000000,0.000000,events/second
1651225774,13380,8.879518,0.000000,0.000000,0.000000,events/second
1651225804,13482,8.772439,0.000000,0.000000,0.000000,events/second
1651225834,13803,8.809212,0.000000,0.000000,0.000000,events/second
1651225864,13905,8.707486,0.000000,0.000000,0.000000,events/second
1651225894,14226,8.744107,0.000000,0.000000,0.000000,events/second
1651225924,14328,8.647266,0.000000,0.000000,0.000000,events/second
1651225954,14649,8.683704,0.000000,0.000000,0.000000,events/second
1651225984,14751,8.591321,0.000000,0.000000,0.000000,events/second
1651226014,15072,8.627468,0.000000,0.000000,0.000000,events/second
1651226044,15174,8.538978,0.000000,0.000000,0.000000,events/second
1651226074,15495,8.574778,0.000000,0.000000,0.000000,events/second
1651226104,15603,8.493475,0.000000,0.000000,0.000000,events/second
1651226134,15924,8.528882,0.000000,0.000000,0.000000,events/second
1651226164,16026,8.447668,0.000000,0.000000,0.000000,events/second
1651226194,16347,8.482604,0.000000,0.000000,0.000000,events/second
1651226224,16541,8.451621,0.000000,0.000000,0.000000,events/second
1651226254,16864,8.486518,0.000000,0.000000,0.000000,events/second
1651226284,16970,8.412793,0.000000,0.000000,0.000000,events/second
1651226314,17293,8.447251,0.000000,0.000000,0.000000,events/second
1651226344,17399,8.376208,0.000000,0.000000,0.000000,events/second
1651226374,17722,8.410191,0.000000,0.000000,0.000000,events/second
1651226404,17828,8.341706,0.000000,0.000000,0.000000,events/second
1651226434,18151,8.375231,0.000000,0.000000,0.000000,events/second
