t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,141,31.238554,0.000000,0.000000,0.000000,events/second
1651224302,141,4.006084,0.000000,0.000000,0.000000,events/second
1651224332,141,2.158500,0.000000,0.000000,0.000000,events/second
1651224362,141,1.476201,0.000000,0.000000,0.000000,events/second
1651224393,141,1.121405,0.000000,0.000000,0.000000,events/second
1651224423,141,0.905097,0.000000,0.000000,0.000000,events/second
1651224453,141,0.758880,0.000000,0.000000,0.000000,events/second
1651224483,141,0.653233,0.000000,0.000000,0.000000,events/second
1651224513,141,0.573420,0.000000,0.000000,0.000000,events/second
1651224543,141,0.511049,0.000000,0.000000,0.000000,events/second
1651224573,141,0.460856,0.000000,0.000000,0.000000,events/second
1651224603,141,0.419664,0.000000,0.000000,0.000000,events/second
1651224633,141,0.385247,0.000000,0.000000,0.000000,events/second
1651224663,141,0.356044,0.000000,0.000000,0.000000,events/second
1651224693,141,0.330962,0.000000,0.000000,0.000000,events/second
1651224723,141,0.309172,0.000000,0.000000,0.000000,events/second
1651224753,141,0.290072,0.000000,0.000000,0.000000,events/second
1651224783,141,0.273198,0.000000,0.000000,0.000000,events/second
1651224813,141,0.258183,0.000000,0.000000,0.000000,events/second
1651224843,141,0.244727,0.000000,0.000000,0.000000,events/second
1651224873,141,0.232609,0.000000,0.000000,0.000000,events/second
1651224903,146,0.229491,0.000000,0.000000,0.000000,events/second
1651224933,146,0.219147,0.000000,0.000000,0.000000,events/second
1651224963,146,0.209695,0.000000,0.000000,0.000000,events/second
1651224993,146,0.201026,0.000000,0.000000,0.000000,events/second
1651225023,146,0.193045,0.000000,0.000000,0.000000,events/second
1651225053,146,0.185676,0.000000,0.000000,0.000000,events/second
1651225083,146,0.178849,0.000000,0.000000,0.000000,events/second
1651225113,146,0.172505,0.000000,0.000000,0.000000,events/second
1651225143,146,0.166594,0.000000,0.000000,0.000000,events/second
1651225173,146,0.161076,0.000000,0.000000,0.000000,events/second
1651225203,146,0.155913,0.000000,0.000000,0.000000,events/second
1651225233,146,0.151068,0.000000,0.000000,0.000000,events/second
1651225263,146,0.146514,0.000000,0.000000,0.000000,events/second
1651225293,146,0.142228,0.000000,0.000000,0.000000,events/second
1651225324,147,0.139134,0.000000,0.000000,0.000000,events/second
1651225354,147,0.135289,0.000000,0.000000,0.000000,events/second
1651225384,147,0.131651,0.000000,0.000000,0.000000,events/second
1651225414,147,0.128203,0.000000,0.000000,0.000000,events/second
1651225444,149,0.126632,0.000000,0.000000,0.000000,events/second
1651225474,149,0.123481,0.000000,0.000000,0.000000,events/second
1651225504,149,0.120484,0.000000,0.000000,0.000000,events/second
1651225534,149,0.117629,0.000000,0.000000,0.000000,events/second
1651225564,149,0.114905,0.000000,0.000000,0.000000,events/second
1651225594,149,0.112305,0.000000,0.000000,0.000000,events/second
1651225624,149,0.109820,0.000000,0.000000,0.000000,events/second
1651225654,149,0.107443,0.000000,0.000000,0.000000,events/second
1651225684,149,0.105167,0.000000,0.000000,0.000000,events/second
1651225714,149,0.102985,0.000000,0.000000,0.000000,events/second
1651225744,149,0.100892,0.000000,0.000000,0.000000,events/second
1651225774,149,0.098882,0.000000,0.000000,0.000000,events/second
1651225804,149,0.096951,0.000000,0.000000,0.000000,events/second
1651225834,149,0.095093,0.000000,0.000000,0.000000,events/second
1651225864,149,0.093305,0.000000,0.000000,0.000000,events/second
1651225894,149,0.091584,0.000000,0.000000,0.000000,events/second
1651225924,149,0.089925,0.000000,0.000000,0.000000,events/second
1651225954,149,0.088325,0.000000,0.000000,0.000000,events/second
1651225984,149,0.086781,0.000000,0.000000,0.000000,events/second
1651226014,149,0.085290,0.000000,0.000000,0.000000,events/second
1651226044,149,0.083848,0.000000,0.000000,0.000000,events/second
1651226074,149,0.082455,0.000000,0.000000,0.000000,events/second
1651226104,149,0.081108,0.000000,0.000000,0.000000,events/second
1651226134,149,0.079804,0.000000,0.000000,0.000000,events/second
1651226164,149,0.078541,0.000000,0.000000,0.000000,events/second
1651226194,149,0.077317,0.000000,0.000000,0.000000,events/second
1651226224,149,0.076131,0.000000,0.000000,0.000000,events/second
1651226254,149,0.074982,0.000000,0.000000,0.000000,events/second
1651226284,149,0.073866,0.000000,0.000000,0.000000,events/second
1651226314,149,0.072783,0.000000,0.000000,0.000000,events/second
1651226344,149,0.071731,0.000000,0.000000,0.000000,events/second
1651226374,149,0.070710,0.000000,0.000000,0.000000,events/second
1651226404,149,0.069717,0.000000,0.000000,0.000000,events/second
1651226434,149,0.068751,0.000000,0.000000,0.000000,events/second
