t,value
1651224270,0
1651224302,0
1651224332,0
1651224362,0
1651224393,0
1651224423,0
1651224453,0
1651224483,0
1651224513,0
1651224543,0
1651224573,0
1651224603,0
1651224633,0
1651224663,0
1651224693,0
1651224723,0
1651224753,0
1651224783,0
1651224813,0
1651224843,0
1651224873,0
1651224903,0
1651224933,0
1651224963,0
1651224993,0
1651225023,0
1651225053,0
1651225083,0
1651225113,0
1651225143,0
1651225173,0
1651225203,0
1651225233,0
1651225263,0
1651225293,0
1651225324,0
1651225354,0
1651225384,0
1651225414,0
1651225444,2190
1651225474,2190
1651225504,2190
1651225534,2190
1651225564,2190
1651225594,2190
1651225624,2190
1651225654,2190
1651225684,2190
1651225714,2190
1651225744,2190
1651225774,2190
1651225804,2190
1651225834,2190
1651225864,2190
1651225894,2190
1651225924,2190
1651225954,2190
1651225984,2190
1651226014,2190
1651226044,2190
1651226074,2190
1651226104,2190
1651226134,2190
1651226164,2190
1651226194,2190
1651226224,2190
1651226254,2190
1651226284,2190
1651226314,2190
1651226344,2190
1651226374,2190
1651226404,2190
1651226434,2190
1651226464,2190
1651226494,2190
1651226524,2190
1651226554,2190
1651226584,2190
1651226614,2190
1651226644,2190
1651226674,2190
1651226704,2190
1651226734,2190
1651226764,2190
1651226794,2190
1651226826,2190
1651226856,2190
1651226886,2190
1651226916,2190
1651226946,2190
1651226976,2190
1651227006,2190
1651227036,2190
1651227066,2190
1651227096,2190
1651227126,2190
1651227156,2190
1651227186,2190
1651227216,2190
1651227246,2190
1651227276,2190
1651227306,2190
1651227336,2190
1651227366,2190
1651227396,2190
1651227426,2190
1651227456,2190
1651227486,2190
1651227516,2190
1651227546,2190
1651227576,2190
1651227606,2190
1651227636,2190
1651227666,2190
1651227696,2190
1651227726,2190
1651227756,2190
1651227786,2190
1651227816,2190
1651227846,2190
1651227876,2190
1651227906,2190
1651227936,2190
1651227966,2190
1651227996,2190
1651228026,2190
1651228056,2190
1651228086,2190
1651228116,2190
1651228146,2190
1651228176,2190
1651228206,2190
1651228236,2190
1651228266,2190
1651228296,2190
1651228326,2190
1651228356,2190
1651228386,2190
1651228416,2190
1651228446,2190
1651228476,2190
1651228506,2190
1651228536,2190
1651228566,2190
1651228596,2190
1651228626,2190
1651228656,2190
1651228686,2190
1651228717,2190
1651228747,2190
1651228777,2190
1651228807,2190
1651228837,2190
1651228867,2190
1651228897,2190
1651228927,2190
1651228957,2190
1651228987,2190
1651229017,2190
1651229047,2190
1651229077,2190
1651229107,2190
1651229137,2190
1651229167,2190
1651229197,2190
1651229227,2190
1651229257,2190
1651229287,2190
1651229317,2190
1651229347,2190
1651229377,2190
1651229407,2190
1651229437,2190
1651229467,2190
1651229497,2190
1651229527,2190
1651229557,2190
1651229587,2190
1651229617,2190
1651229647,2190
1651229677,2190
1651229707,2190
1651229737,2190
1651229767,2190
1651229797,2190
1651229827,2190
1651229857,2190
1651229887,2190
1651229917,2190
1651229947,2190
1651229977,2190
1651230007,2190
1651230037,2190
1651230067,2190
1651230097,2190
1651230127,2190
1651230157,2190
1651230187,2190
1651230217,2190
1651230247,2190
1651230277,2190
1651230307,2190
1651230337,2190
1651230367,2190
1651230397,2190
1651230427,2190
1651230457,2190
1651230487,2190
1651230517,2190
1651230547,2190
1651230577,2190
1651230607,2190
1651230637,2190
1651230667,2190
1651230697,2190
1651230727,2190
1651230757,2190
1651230787,2190
1651230817,2190
1651230847,2190
1651230877,2190
1651230907,2190
1651230937,2190
1651230967,2190
1651230997,2190
1651231027,2190
1651231057,2190
1651231087,2190
1651231117,2190
1651231147,2190
1651231177,2190
1651231207,2190
1651231237,2190
1651231267,2190
1651231297,2190
1651231328,2190
1651231358,2190
1651231388,2190
1651231418,2190
1651231448,2190
1651231478,2190
1651231508,2190
1651231538,2190
1651231568,2190
1651231598,2190
1651231628,2190
1651231658,2190
1651231688,2190
1651231718,2190
1651231748,2190
1651231778,2190
1651231808,2190
1651231838,2190
1651231868,2190
1651231898,2190
1651231928,2190
1651231958,2190
1651231988,2190
1651232018,2190
1651232048,2190
1651232078,2190
1651232108,2190
1651232138,2190
1651232168,2190
1651232198,2190
1651232228,2190
1651232258,2190
1651232288,2190
1651232318,2190
1651232348,2190
1651232378,2190
1651232408,2190
1651232438,2190
1651232468,2190
1651232498,2190
1651232528,2190
1651232558,2190
1651232588,2190
1651232618,2190
1651232648,2190
1651232678,2190
1651232708,2190
1651232738,2190
1651232768,2190
1651232798,2190
1651232828,2190
1651232858,2190
1651232888,2190
1651232918,2190
