t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1651224270,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1651224302,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1651224332,5,30108,7234.000000,17,13022.268370,214.000000,17945.000000,30108.000000,30108.000000,30108.000000,30108.000000
1651224362,5,30108,7234.000000,17,13022.268370,214.000000,17945.000000,30108.000000,30108.000000,30108.000000,30108.000000
1651224393,5,30108,7234.000000,17,13022.268370,214.000000,17945.000000,30108.000000,30108.000000,30108.000000,30108.000000
1651224423,5,30108,7234.000000,17,13022.268370,214.000000,17945.000000,30108.000000,30108.000000,30108.000000,30108.000000
1651224453,5,30108,7234.000000,17,13022.268370,214.000000,17945.000000,30108.000000,30108.000000,30108.000000,30108.000000
1651224483,5,30108,7234.000000,17,13022.268370,214.000000,17945.000000,30108.000000,30108.000000,30108.000000,30108.000000
1651224513,5,30108,7234.000000,17,13022.268370,214.000000,17945.000000,30108.000000,30108.000000,30108.000000,30108.000000
1651224543,5,30108,7234.000000,17,13022.268370,214.000000,17945.000000,30108.000000,30108.000000,30108.000000,30108.000000
1651224573,15,30108,2584.933333,12,7754.978276,112.000000,547.000000,30108.000000,30108.000000,30108.000000,30108.000000
1651224603,21,30108,1850.190476,7,6596.581741,38.000000,229.500000,27675.400000,30108.000000,30108.000000,30108.000000
1651224633,24,30108,1620.541667,7,6182.576837,21.500000,215.500000,24026.500000,30108.000000,30108.000000,30108.000000
1651224663,30,30108,1298.833333,7,5544.731902,15.500000,137.500000,16728.700000,30108.000000,30108.000000,30108.000000
1651224693,33,30108,1182.030303,7,5291.738121,15.000000,92.000000,13079.800000,30108.000000,30108.000000,30108.000000
1651224723,39,30108,1012.307692,7,4873.063854,15.000000,72.000000,5782.000000,30108.000000,30108.000000,30108.000000
1651224753,42,30108,942.095238,7,4698.388202,15.500000,54.750000,5115.250000,30108.000000,30108.000000,30108.000000
1651224783,48,30108,826.208333,6,4399.181781,15.500000,44.000000,3781.750000,30108.000000,30108.000000,30108.000000
1651224813,51,30108,778.686275,6,4269.483634,16.000000,38.000000,3115.000000,29134.960000,30108.000000,30108.000000
1651224843,60,30108,664.700000,6,3939.893220,15.500000,30.500000,1297.500000,24756.280000,30108.000000,30108.000000
1651224873,66,30108,605.969697,6,3758.312575,16.500000,27.500000,1060.500000,21837.160000,30108.000000,30108.000000
1651224903,75,30108,535.173333,6,3527.644744,16.000000,27.000000,705.000000,17458.480000,30108.000000,30108.000000
1651224933,78,30108,515.000000,6,3459.731601,15.500000,26.250000,586.500000,15998.920000,30108.000000,30108.000000
1651224963,87,30108,463.022989,4,3277.313711,15.000000,25.000000,485.000000,11620.240000,30108.000000,30108.000000
1651224993,90,30108,448.033333,4,3222.627107,14.000000,25.000000,461.750000,10160.680000,30108.000000,30108.000000
1651225023,96,30108,420.895833,4,3120.989480,14.000000,23.750000,415.250000,7241.560000,30108.000000,30108.000000
1651225053,99,30108,408.595960,4,3073.643673,14.000000,23.000000,392.000000,5782.000000,30108.000000,30108.000000
