t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224302,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224332,5,0.051981,0.068951,0.016041,0.005485,events/second
1651224362,5,0.039560,0.041821,0.014515,0.005305,events/second
1651224393,5,0.031929,0.025366,0.013134,0.005131,events/second
1651224423,5,0.026789,0.015385,0.011884,0.004963,events/second
1651224453,5,0.023077,0.009332,0.010753,0.004800,events/second
1651224483,5,0.020266,0.005660,0.009730,0.004643,events/second
1651224513,5,0.018066,0.003433,0.008804,0.004491,events/second
1651224543,5,0.016299,0.002082,0.007966,0.004344,events/second
1651224573,15,0.044535,0.149769,0.039774,0.015226,events/second
1651224603,21,0.057245,0.173187,0.055184,0.021302,events/second
1651224633,24,0.060474,0.145652,0.059524,0.023891,events/second
1651224663,30,0.070277,0.170690,0.073054,0.029683,events/second
1651224693,33,0.072227,0.144137,0.075694,0.031997,events/second
1651224723,39,0.080095,0.169771,0.087686,0.037523,events/second
1651224753,42,0.081246,0.143580,0.088933,0.039581,events/second
1651224783,48,0.087756,0.169434,0.099665,0.044858,events/second
1651224813,51,0.088390,0.143375,0.099773,0.046675,events/second
1651224843,60,0.098844,0.203684,0.118750,0.054971,events/second
1651224873,66,0.103606,0.201511,0.126475,0.059725,events/second
1651224903,75,0.112435,0.248708,0.143387,0.067648,events/second
1651224933,78,0.111895,0.191457,0.139334,0.068718,events/second
1651224963,87,0.119652,0.242610,0.155023,0.076346,events/second
1651224993,90,0.118869,0.187759,0.149862,0.077130,events/second
1651225023,96,0.121957,0.196229,0.154796,0.081177,events/second
1651225053,99,0.121149,0.159628,0.149657,0.081803,events/second
1651225083,108,0.127479,0.215533,0.163991,0.088959,events/second
1651225113,111,0.126537,0.171336,0.157978,0.089330,events/second
1651225143,123,0.135576,0.242868,0.175036,0.097372,events/second
1651225173,126,0.134433,0.208999,0.174054,0.099622,events/second
1651225203,135,0.139566,0.246474,0.186119,0.106201,events/second
1651225233,141,0.141379,0.238076,0.187917,0.109330,events/second
1651225263,148,0.144059,0.226748,0.189229,0.112321,events/second
1651225293,156,0.147534,0.209764,0.189937,0.115159,events/second
1651225324,162,0.148979,0.241202,0.200181,0.121192,events/second
1651225354,171,0.153030,0.264875,0.209749,0.127063,events/second
1651225384,177,0.154255,0.243003,0.208983,0.129472,events/second
1651225414,180,0.152869,0.190350,0.198795,0.128527,events/second
1651225444,186,0.154037,0.167810,0.192565,0.128685,events/second
1651225474,189,0.152724,0.165827,0.190022,0.129921,events/second
1651225504,201,0.158574,0.248883,0.204461,0.136681,events/second
1651225534,204,0.157218,0.215000,0.200786,0.137655,events/second
1651225564,210,0.158182,0.166770,0.191060,0.136405,events/second
1651225594,213,0.156893,0.176915,0.191756,0.138472,events/second
1651225624,219,0.157823,0.144666,0.182941,0.137202,events/second
1651225654,222,0.156597,0.163508,0.184409,0.139242,events/second
1651225684,228,0.157496,0.136534,0.176294,0.137946,events/second
1651225714,231,0.156327,0.158576,0.178395,0.139963,events/second
1651225744,237,0.157195,0.133543,0.170852,0.138643,events/second
1651225774,240,0.156077,0.156761,0.173470,0.140637,events/second
1651225804,246,0.156915,0.132442,0.166396,0.139295,events/second
1651225834,249,0.155844,0.156094,0.169439,0.141267,events/second
1651225864,255,0.156656,0.132037,0.162748,0.139905,events/second
1651225894,258,0.155629,0.155848,0.166138,0.141857,events/second
1651225924,264,0.156416,0.131888,0.159761,0.140476,events/second
1651225954,267,0.155430,0.155758,0.163435,0.142409,events/second
1651225984,273,0.156193,0.131834,0.157316,0.141010,events/second
1651226014,276,0.155244,0.155725,0.161223,0.142925,events/second
1651226044,282,0.155982,0.131814,0.155314,0.141509,events/second
1651226074,285,0.155067,0.155713,0.159411,0.143408,events/second
1651226104,291,0.155788,0.131806,0.153675,0.141976,events/second
1651226134,294,0.154905,0.155708,0.157928,0.143860,events/second
1651226164,300,0.155605,0.131803,0.152333,0.142413,events/second
1651226194,303,0.154751,0.155706,0.156714,0.144283,events/second
1651226224,309,0.155432,0.131802,0.151234,0.142822,events/second
1651226254,312,0.154607,0.155706,0.155719,0.144678,events/second
