t,value
1651224270,101
1651224302,101
1651224332,101
1651224362,101
1651224393,101
1651224423,101
1651224453,101
1651224483,101
1651224513,101
1651224543,101
1651224573,101
1651224603,101
1651224633,101
1651224663,101
1651224693,101
1651224723,101
1651224753,101
1651224783,101
1651224813,101
1651224843,101
1651224873,101
1651224903,101
1651224933,101
1651224963,101
1651224993,101
1651225023,101
1651225053,101
1651225083,101
1651225113,101
1651225143,101
1651225173,101
1651225203,101
1651225233,101
1651225263,101
1651225293,101
1651225324,101
1651225354,101
1651225384,101
1651225414,101
1651225444,101
1651225474,101
1651225504,101
1651225534,101
1651225564,101
1651225594,101
1651225624,101
1651225654,101
1651225684,101
1651225714,101
1651225744,101
1651225774,101
1651225804,101
1651225834,101
1651225864,101
1651225894,101
1651225924,101
1651225954,101
1651225984,101
1651226014,101
1651226044,101
1651226074,101
1651226104,101
1651226134,101
1651226164,101
1651226194,101
1651226224,101
1651226254,101
1651226284,101
1651226314,101
1651226344,101
1651226374,101
1651226404,101
1651226434,101
1651226464,101
1651226494,101
1651226524,101
1651226554,101
1651226584,101
1651226614,101
1651226644,101
1651226674,101
1651226704,101
1651226734,101
1651226764,101
1651226794,101
1651226826,101
1651226856,101
1651226886,101
1651226916,101
1651226946,101
1651226976,101
1651227006,101
1651227036,101
1651227066,101
1651227096,101
1651227126,101
1651227156,101
1651227186,101
1651227216,101
1651227246,101
1651227276,101
1651227306,101
1651227336,101
1651227366,101
1651227396,101
1651227426,101
1651227456,101
1651227486,101
1651227516,101
1651227546,101
1651227576,101
1651227606,101
1651227636,101
1651227666,101
1651227696,101
1651227726,101
1651227756,101
1651227786,101
1651227816,101
1651227846,101
1651227876,101
1651227906,101
1651227936,101
1651227966,101
1651227996,101
1651228026,101
1651228056,101
1651228086,101
1651228116,101
1651228146,101
1651228176,101
1651228206,101
1651228236,101
1651228266,101
1651228296,101
1651228326,101
1651228356,101
1651228386,101
1651228416,101
1651228446,101
1651228476,101
1651228506,101
1651228536,101
1651228566,101
1651228596,101
1651228626,101
1651228656,101
1651228686,101
1651228717,101
1651228747,101
1651228777,101
1651228807,101
1651228837,101
1651228867,101
1651228897,101
1651228927,101
1651228957,101
1651228987,101
1651229017,101
1651229047,101
1651229077,101
1651229107,101
1651229137,101
1651229167,101
1651229197,101
1651229227,101
1651229257,101
1651229287,101
1651229317,101
1651229347,101
1651229377,101
1651229407,101
1651229437,101
1651229467,101
1651229497,101
1651229527,101
1651229557,101
1651229587,101
1651229617,101
1651229647,101
1651229677,101
1651229707,101
1651229737,101
