t,value
1651224270,8
1651224302,8
1651224332,8
1651224362,8
1651224393,8
1651224423,8
1651224453,8
1651224483,8
1651224513,8
1651224543,8
1651224573,8
1651224603,8
1651224633,8
1651224663,8
1651224693,8
1651224723,8
1651224753,8
1651224783,8
1651224813,8
1651224843,8
1651224873,8
1651224903,8
1651224933,8
1651224963,8
1651224993,8
1651225023,8
1651225053,8
1651225083,8
1651225113,8
1651225143,8
1651225173,8
1651225203,8
1651225233,8
1651225263,8
1651225293,8
1651225324,8
1651225354,8
1651225384,8
1651225414,8
1651225444,8
1651225474,8
1651225504,8
1651225534,8
1651225564,8
1651225594,8
1651225624,8
1651225654,8
1651225684,8
1651225714,8
1651225744,8
1651225774,8
1651225804,8
1651225834,8
1651225864,8
1651225894,8
1651225924,8
1651225954,8
1651225984,8
1651226014,8
1651226044,8
1651226074,8
1651226104,8
1651226134,8
1651226164,8
1651226194,8
1651226224,8
1651226254,8
1651226284,8
1651226314,8
1651226344,8
1651226374,8
1651226404,8
1651226434,8
1651226464,8
1651226494,8
1651226524,8
1651226554,8
1651226584,8
1651226614,8
1651226644,8
1651226674,8
1651226704,8
1651226734,8
1651226764,8
1651226794,8
1651226826,8
1651226856,8
1651226886,8
1651226916,8
1651226946,8
1651226976,8
1651227006,8
1651227036,8
1651227066,8
1651227096,8
1651227126,8
1651227156,8
1651227186,8
1651227216,8
1651227246,8
1651227276,8
1651227306,8
1651227336,8
1651227366,8
1651227396,8
1651227426,8
1651227456,8
1651227486,8
1651227516,8
1651227546,8
1651227576,8
1651227606,8
1651227636,8
1651227666,8
1651227696,8
1651227726,8
1651227756,8
1651227786,8
1651227816,8
1651227846,8
1651227876,8
1651227906,8
1651227936,8
1651227966,8
1651227996,8
1651228026,8
1651228056,8
1651228086,8
1651228116,8
1651228146,8
1651228176,8
1651228206,8
1651228236,8
1651228266,8
1651228296,8
1651228326,8
1651228356,8
1651228386,8
1651228416,8
1651228446,8
1651228476,8
1651228506,8
1651228536,8
1651228566,8
1651228596,8
1651228626,8
1651228656,8
1651228686,8
1651228717,8
1651228747,8
1651228777,8
1651228807,8
1651228837,8
1651228867,8
1651228897,8
1651228927,8
1651228957,8
1651228987,8
1651229017,8
1651229047,8
1651229077,8
1651229107,8
1651229137,8
1651229167,8
1651229197,8
1651229227,8
1651229257,8
1651229287,8
1651229317,8
1651229347,8
1651229377,8
1651229407,8
1651229437,8
1651229467,8
1651229497,8
1651229527,8
1651229557,8
1651229587,8
1651229617,8
1651229647,8
1651229677,8
1651229707,8
1651229737,8
1651229767,8
1651229797,8
1651229827,8
1651229857,8
1651229887,8
1651229917,8
1651229947,8
1651229977,8
1651230007,8
1651230037,8
1651230067,8
1651230097,8
1651230127,8
1651230157,8
1651230187,8
1651230217,8
1651230247,8
1651230277,8
1651230307,8
1651230337,8
1651230367,8
1651230397,8
1651230427,8
1651230457,8
1651230487,8
1651230517,8
1651230547,8
1651230577,8
1651230607,8
1651230637,8
1651230667,8
1651230697,8
1651230727,8
1651230757,8
1651230787,8
1651230817,8
1651230847,8
1651230877,8
1651230907,8
1651230937,8
1651230967,8
1651230997,8
1651231027,8
1651231057,8
1651231087,8
1651231117,8
1651231147,8
1651231177,8
1651231207,8
1651231237,8
1651231267,8
1651231297,8
1651231328,8
1651231358,8
1651231388,8
1651231418,8
1651231448,8
1651231478,8
1651231508,8
1651231538,8
1651231568,8
1651231598,8
1651231628,8
1651231658,8
1651231688,8
1651231718,8
1651231748,8
1651231778,8
1651231808,8
1651231838,8
1651231868,8
1651231898,8
1651231928,8
1651231958,8
1651231988,8
1651232018,8
1651232048,8
1651232078,8
1651232108,8
1651232138,8
1651232168,8
1651232198,8
1651232228,8
1651232258,8
1651232288,8
1651232318,8
1651232348,8
1651232378,8
1651232408,8
1651232438,8
1651232468,8
1651232498,8
1651232528,8
1651232558,8
1651232588,8
1651232618,8
1651232648,8
1651232678,8
1651232708,8
1651232738,8
1651232768,8
1651232798,8
1651232828,8
1651232858,8
1651232888,8
1651232918,8
1651232948,8
1651232978,8
1651233008,8
1651233038,8
1651233068,8
1651233098,8
1651233128,8
1651233158,8
1651233188,8
1651233218,8
1651233248,8
1651233278,8
