t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,81,2.907741,0.000000,0.000000,0.000000,events/second
1651224302,86,1.473232,0.000000,0.000000,0.000000,events/second
1651224332,91,1.028182,0.000000,0.000000,0.000000,events/second
1651224362,91,0.766538,0.000000,0.000000,0.000000,events/second
1651224393,91,0.611097,0.000000,0.000000,0.000000,events/second
1651224423,91,0.508488,0.000000,0.000000,0.000000,events/second
1651224453,91,0.435454,0.000000,0.000000,0.000000,events/second
1651224483,91,0.380709,0.000000,0.000000,0.000000,events/second
1651224513,91,0.338202,0.000000,0.000000,0.000000,events/second
1651224543,91,0.304266,0.000000,0.000000,0.000000,events/second
1651224573,101,0.306869,0.000000,0.000000,0.000000,events/second
1651224603,107,0.297918,0.000000,0.000000,0.000000,events/second
1651224633,110,0.282648,0.000000,0.000000,0.000000,events/second
1651224663,116,0.276721,0.000000,0.000000,0.000000,events/second
1651224693,119,0.264910,0.000000,0.000000,0.000000,events/second
1651224723,125,0.260833,0.000000,0.000000,0.000000,events/second
1651224753,128,0.251344,0.000000,0.000000,0.000000,events/second
1651224783,134,0.248477,0.000000,0.000000,0.000000,events/second
1651224813,137,0.240646,0.000000,0.000000,0.000000,events/second
1651224843,146,0.243605,0.000000,0.000000,0.000000,events/second
1651224873,152,0.241521,0.000000,0.000000,0.000000,events/second
1651224903,162,0.245690,0.000000,0.000000,0.000000,events/second
1651224933,165,0.239339,0.000000,0.000000,0.000000,events/second
1651224963,174,0.241859,0.000000,0.000000,0.000000,events/second
1651224993,177,0.236173,0.000000,0.000000,0.000000,events/second
1651225023,183,0.234773,0.000000,0.000000,0.000000,events/second
1651225053,186,0.229774,0.000000,0.000000,0.000000,events/second
1651225083,195,0.232278,0.000000,0.000000,0.000000,events/second
1651225113,198,0.227709,0.000000,0.000000,0.000000,events/second
1651225143,210,0.233448,0.000000,0.000000,0.000000,events/second
1651225173,213,0.229135,0.000000,0.000000,0.000000,events/second
1651225203,222,0.231346,0.000000,0.000000,0.000000,events/second
1651225233,228,0.230389,0.000000,0.000000,0.000000,events/second
1651225263,235,0.230466,0.000000,0.000000,0.000000,events/second
1651225293,243,0.231495,0.000000,0.000000,0.000000,events/second
1651225324,249,0.230616,0.000000,0.000000,0.000000,events/second
1651225354,258,0.232487,0.000000,0.000000,0.000000,events/second
1651225384,264,0.231627,0.000000,0.000000,0.000000,events/second
1651225414,267,0.228246,0.000000,0.000000,0.000000,events/second
1651225444,273,0.227534,0.000000,0.000000,0.000000,events/second
1651225474,276,0.224419,0.000000,0.000000,0.000000,events/second
1651225504,289,0.229390,0.000000,0.000000,0.000000,events/second
1651225534,292,0.226378,0.000000,0.000000,0.000000,events/second
1651225564,298,0.225775,0.000000,0.000000,0.000000,events/second
1651225594,301,0.222975,0.000000,0.000000,0.000000,events/second
1651225624,307,0.222473,0.000000,0.000000,0.000000,events/second
1651225654,310,0.219864,0.000000,0.000000,0.000000,events/second
1651225684,316,0.219449,0.000000,0.000000,0.000000,events/second
1651225714,319,0.217009,0.000000,0.000000,0.000000,events/second
1651225744,325,0.216667,0.000000,0.000000,0.000000,events/second
1651225774,328,0.214376,0.000000,0.000000,0.000000,events/second
1651225804,334,0.214097,0.000000,0.000000,0.000000,events/second
1651225834,337,0.211941,0.000000,0.000000,0.000000,events/second
1651225864,343,0.211717,0.000000,0.000000,0.000000,events/second
1651225894,346,0.209683,0.000000,0.000000,0.000000,events/second
1651225924,352,0.209509,0.000000,0.000000,0.000000,events/second
1651225954,355,0.207586,0.000000,0.000000,0.000000,events/second
1651225984,361,0.207454,0.000000,0.000000,0.000000,events/second
1651226014,364,0.205631,0.000000,0.000000,0.000000,events/second
1651226044,370,0.205532,0.000000,0.000000,0.000000,events/second
1651226074,373,0.203800,0.000000,0.000000,0.000000,events/second
1651226104,380,0.204275,0.000000,0.000000,0.000000,events/second
1651226134,383,0.202619,0.000000,0.000000,0.000000,events/second
1651226164,389,0.202575,0.000000,0.000000,0.000000,events/second
1651226194,392,0.200994,0.000000,0.000000,0.000000,events/second
1651226224,398,0.200978,0.000000,0.000000,0.000000,events/second
1651226254,401,0.199469,0.000000,0.000000,0.000000,events/second
1651226284,407,0.199476,0.000000,0.000000,0.000000,events/second
1651226314,410,0.198034,0.000000,0.000000,0.000000,events/second
1651226344,416,0.198060,0.000000,0.000000,0.000000,events/second
1651226374,419,0.196678,0.000000,0.000000,0.000000,events/second
1651226404,423,0.195798,0.000000,0.000000,0.000000,events/second
1651226434,428,0.195398,0.000000,0.000000,0.000000,events/second
1651226464,432,0.194557,0.000000,0.000000,0.000000,events/second
1651226494,437,0.194181,0.000000,0.000000,0.000000,events/second
1651226524,441,0.193380,0.000000,0.000000,0.000000,events/second
1651226554,446,0.193032,0.000000,0.000000,0.000000,events/second
1651226584,450,0.192266,0.000000,0.000000,0.000000,events/second
1651226614,455,0.191941,0.000000,0.000000,0.000000,events/second
1651226644,459,0.191207,0.000000,0.000000,0.000000,events/second
1651226674,464,0.190904,0.000000,0.000000,0.000000,events/second
1651226704,469,0.190607,0.000000,0.000000,0.000000,events/second
1651226734,474,0.190319,0.000000,0.000000,0.000000,events/second
1651226764,477,0.189243,0.000000,0.000000,0.000000,events/second
1651226794,483,0.189368,0.000000,0.000000,0.000000,events/second
1651226826,486,0.188329,0.000000,0.000000,0.000000,events/second
1651226856,492,0.188462,0.000000,0.000000,0.000000,events/second
1651226886,495,0.187457,0.000000,0.000000,0.000000,events/second
1651226916,501,0.187597,0.000000,0.000000,0.000000,events/second
1651226946,504,0.186622,0.000000,0.000000,0.000000,events/second
1651226976,510,0.186769,0.000000,0.000000,0.000000,events/second
1651227006,513,0.185825,0.000000,0.000000,0.000000,events/second
1651227036,519,0.185977,0.000000,0.000000,0.000000,events/second
1651227066,522,0.185062,0.000000,0.000000,0.000000,events/second
1651227096,528,0.185219,0.000000,0.000000,0.000000,events/second
1651227126,531,0.184330,0.000000,0.000000,0.000000,events/second
1651227156,537,0.184491,0.000000,0.000000,0.000000,events/second
1651227186,540,0.183628,0.000000,0.000000,0.000000,events/second
1651227216,546,0.183792,0.000000,0.000000,0.000000,events/second
1651227246,549,0.182954,0.000000,0.000000,0.000000,events/second
1651227276,555,0.183122,0.000000,0.000000,0.000000,events/second
1651227306,558,0.182307,0.000000,0.000000,0.000000,events/second
1651227336,565,0.182802,0.000000,0.000000,0.000000,events/second
1651227366,574,0.183928,0.000000,0.000000,0.000000,events/second
1651227396,580,0.184081,0.000000,0.000000,0.000000,events/second
1651227426,586,0.184230,0.000000,0.000000,0.000000,events/second
1651227456,595,0.185311,0.000000,0.000000,0.000000,events/second
1651227486,598,0.184521,0.000000,0.000000,0.000000,events/second
1651227516,607,0.185580,0.000000,0.000000,0.000000,events/second
1651227546,619,0.187528,0.000000,0.000000,0.000000,events/second
1651227576,631,0.189441,0.000000,0.000000,0.000000,events/second
1651227606,634,0.188642,0.000000,0.000000,0.000000,events/second
1651227636,640,0.188742,0.000000,0.000000,0.000000,events/second
1651227666,643,0.187963,0.000000,0.000000,0.000000,events/second
1651227696,649,0.188067,0.000000,0.000000,0.000000,events/second
1651227726,652,0.187308,0.000000,0.000000,0.000000,events/second
1651227756,658,0.187415,0.000000,0.000000,0.000000,events/second
1651227786,661,0.186674,0.000000,0.000000,0.000000,events/second
1651227816,667,0.186785,0.000000,0.000000,0.000000,events/second
1651227846,670,0.186061,0.000000,0.000000,0.000000,events/second
1651227876,676,0.186176,0.000000,0.000000,0.000000,events/second
1651227906,679,0.185469,0.000000,0.000000,0.000000,events/second
1651227936,686,0.185857,0.000000,0.000000,0.000000,events/second
1651227966,689,0.185164,0.000000,0.000000,0.000000,events/second
1651227996,695,0.185282,0.000000,0.000000,0.000000,events/second
1651228026,698,0.184606,0.000000,0.000000,0.000000,events/second
1651228056,704,0.184726,0.000000,0.000000,0.000000,events/second
1651228086,707,0.184064,0.000000,0.000000,0.000000,events/second
1651228116,713,0.184188,0.000000,0.000000,0.000000,events/second
1651228146,716,0.183539,0.000000,0.000000,0.000000,events/second
1651228176,723,0.183919,0.000000,0.000000,0.000000,events/second
1651228206,726,0.183283,0.000000,0.000000,0.000000,events/second
1651228236,732,0.183408,0.000000,0.000000,0.000000,events/second
1651228266,735,0.182785,0.000000,0.000000,0.000000,events/second
1651228296,741,0.182911,0.000000,0.000000,0.000000,events/second
1651228326,750,0.183771,0.000000,0.000000,0.000000,events/second
1651228356,756,0.183889,0.000000,0.000000,0.000000,events/second
1651228386,759,0.183281,0.000000,0.000000,0.000000,events/second
1651228416,765,0.183401,0.000000,0.000000,0.000000,events/second
1651228446,768,0.182804,0.000000,0.000000,0.000000,events/second
1651228476,774,0.182926,0.000000,0.000000,0.000000,events/second
1651228506,777,0.182342,0.000000,0.000000,0.000000,events/second
1651228536,784,0.182698,0.000000,0.000000,0.000000,events/second
1651228566,787,0.182123,0.000000,0.000000,0.000000,events/second
1651228596,793,0.182246,0.000000,0.000000,0.000000,events/second
1651228626,796,0.181683,0.000000,0.000000,0.000000,events/second
1651228656,802,0.181807,0.000000,0.000000,0.000000,events/second
1651228686,805,0.181253,0.000000,0.000000,0.000000,events/second
1651228717,811,0.181379,0.000000,0.000000,0.000000,events/second
1651228747,814,0.180836,0.000000,0.000000,0.000000,events/second
1651228777,820,0.180962,0.000000,0.000000,0.000000,events/second
1651228807,823,0.180429,0.000000,0.000000,0.000000,events/second
1651228837,829,0.180557,0.000000,0.000000,0.000000,events/second
1651228867,832,0.180033,0.000000,0.000000,0.000000,events/second
1651228897,838,0.180161,0.000000,0.000000,0.000000,events/second
1651228927,841,0.179647,0.000000,0.000000,0.000000,events/second
1651228957,847,0.179777,0.000000,0.000000,0.000000,events/second
1651228987,850,0.179271,0.000000,0.000000,0.000000,events/second
1651229017,856,0.179401,0.000000,0.000000,0.000000,events/second
1651229047,859,0.178905,0.000000,0.000000,0.000000,events/second
1651229077,865,0.179035,0.000000,0.000000,0.000000,events/second
1651229107,868,0.178547,0.000000,0.000000,0.000000,events/second
1651229137,875,0.178883,0.000000,0.000000,0.000000,events/second
1651229167,878,0.178401,0.000000,0.000000,0.000000,events/second
1651229197,884,0.178532,0.000000,0.000000,0.000000,events/second
1651229227,887,0.178059,0.000000,0.000000,0.000000,events/second
1651229257,893,0.178190,0.000000,0.000000,0.000000,events/second
1651229287,896,0.177724,0.000000,0.000000,0.000000,events/second
1651229317,902,0.177856,0.000000,0.000000,0.000000,events/second
1651229347,905,0.177398,0.000000,0.000000,0.000000,events/second
1651229377,911,0.177529,0.000000,0.000000,0.000000,events/second
1651229407,914,0.177078,0.000000,0.000000,0.000000,events/second
1651229437,920,0.177210,0.000000,0.000000,0.000000,events/second
1651229467,923,0.176766,0.000000,0.000000,0.000000,events/second
1651229497,929,0.176898,0.000000,0.000000,0.000000,events/second
1651229527,932,0.176461,0.000000,0.000000,0.000000,events/second
1651229557,938,0.176593,0.000000,0.000000,0.000000,events/second
1651229587,941,0.176163,0.000000,0.000000,0.000000,events/second
1651229617,947,0.176296,0.000000,0.000000,0.000000,events/second
1651229647,950,0.175871,0.000000,0.000000,0.000000,events/second
1651229677,956,0.176004,0.000000,0.000000,0.000000,events/second
1651229707,959,0.175587,0.000000,0.000000,0.000000,events/second
1651229737,966,0.175902,0.000000,0.000000,0.000000,events/second
1651229767,969,0.175489,0.000000,0.000000,0.000000,events/second
1651229797,978,0.176162,0.000000,0.000000,0.000000,events/second
1651229827,981,0.175752,0.000000,0.000000,0.000000,events/second
1651229857,987,0.175881,0.000000,0.000000,0.000000,events/second
1651229887,990,0.175478,0.000000,0.000000,0.000000,events/second
1651229917,1002,0.176665,0.000000,0.000000,0.000000,events/second
1651229947,1005,0.176261,0.000000,0.000000,0.000000,events/second
1651229977,1011,0.176385,0.000000,0.000000,0.000000,events/second
1651230007,1014,0.175987,0.000000,0.000000,0.000000,events/second
1651230037,1020,0.176111,0.000000,0.000000,0.000000,events/second
1651230067,1023,0.175718,0.000000,0.000000,0.000000,events/second
1651230097,1029,0.175842,0.000000,0.000000,0.000000,events/second
1651230127,1032,0.175455,0.000000,0.000000,0.000000,events/second
1651230157,1038,0.175580,0.000000,0.000000,0.000000,events/second
1651230187,1041,0.175198,0.000000,0.000000,0.000000,events/second
1651230217,1047,0.175322,0.000000,0.000000,0.000000,events/second
1651230247,1050,0.174945,0.000000,0.000000,0.000000,events/second
1651230277,1056,0.175069,0.000000,0.000000,0.000000,events/second
1651230307,1059,0.174697,0.000000,0.000000,0.000000,events/second
1651230337,1066,0.174986,0.000000,0.000000,0.000000,events/second
1651230367,1069,0.174618,0.000000,0.000000,0.000000,events/second
1651230397,1075,0.174741,0.000000,0.000000,0.000000,events/second
1651230427,1078,0.174378,0.000000,0.000000,0.000000,events/second
1651230457,1084,0.174502,0.000000,0.000000,0.000000,events/second
1651230487,1087,0.174143,0.000000,0.000000,0.000000,events/second
1651230517,1093,0.174267,0.000000,0.000000,0.000000,events/second
1651230547,1096,0.173913,0.000000,0.000000,0.000000,events/second
1651230577,1102,0.174035,0.000000,0.000000,0.000000,events/second
1651230607,1105,0.173686,0.000000,0.000000,0.000000,events/second
1651230637,1111,0.173809,0.000000,0.000000,0.000000,events/second
1651230667,1114,0.173464,0.000000,0.000000,0.000000,events/second
1651230697,1120,0.173587,0.000000,0.000000,0.000000,events/second
1651230727,1123,0.173246,0.000000,0.000000,0.000000,events/second
1651230757,1129,0.173369,0.000000,0.000000,0.000000,events/second
1651230787,1132,0.173032,0.000000,0.000000,0.000000,events/second
1651230817,1138,0.173155,0.000000,0.000000,0.000000,events/second
1651230847,1141,0.172823,0.000000,0.000000,0.000000,events/second
1651230877,1147,0.172945,0.000000,0.000000,0.000000,events/second
1651230907,1150,0.172617,0.000000,0.000000,0.000000,events/second
1651230937,1157,0.172888,0.000000,0.000000,0.000000,events/second
1651230967,1160,0.172563,0.000000,0.000000,0.000000,events/second
1651230997,1166,0.172685,0.000000,0.000000,0.000000,events/second
1651231027,1169,0.172363,0.000000,0.000000,0.000000,events/second
1651231057,1175,0.172484,0.000000,0.000000,0.000000,events/second
1651231087,1178,0.172166,0.000000,0.000000,0.000000,events/second
1651231117,1184,0.172287,0.000000,0.000000,0.000000,events/second
1651231147,1187,0.171973,0.000000,0.000000,0.000000,events/second
1651231177,1193,0.172094,0.000000,0.000000,0.000000,events/second
1651231207,1196,0.171783,0.000000,0.000000,0.000000,events/second
1651231237,1202,0.171904,0.000000,0.000000,0.000000,events/second
1651231267,1205,0.171597,0.000000,0.000000,0.000000,events/second
1651231297,1211,0.171717,0.000000,0.000000,0.000000,events/second
1651231328,1214,0.171413,0.000000,0.000000,0.000000,events/second
1651231358,1220,0.171534,0.000000,0.000000,0.000000,events/second
1651231388,1223,0.171233,0.000000,0.000000,0.000000,events/second
1651231418,1229,0.171353,0.000000,0.000000,0.000000,events/second
1651231448,1232,0.171056,0.000000,0.000000,0.000000,events/second
