t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,9,0.322796,0.000000,0.000000,0.000000,events/second
1651224302,14,0.239830,0.000000,0.000000,0.000000,events/second
1651224332,19,0.214677,0.000000,0.000000,0.000000,events/second
1651224362,19,0.160044,0.000000,0.000000,0.000000,events/second
1651224393,19,0.127592,0.000000,0.000000,0.000000,events/second
1651224423,19,0.106168,0.000000,0.000000,0.000000,events/second
1651224453,19,0.090919,0.000000,0.000000,0.000000,events/second
1651224483,19,0.079489,0.000000,0.000000,0.000000,events/second
1651224513,19,0.070614,0.000000,0.000000,0.000000,events/second
1651224543,19,0.063528,0.000000,0.000000,0.000000,events/second
1651224573,29,0.088111,0.000000,0.000000,0.000000,events/second
1651224603,35,0.097450,0.000000,0.000000,0.000000,events/second
1651224633,38,0.097642,0.000000,0.000000,0.000000,events/second
1651224663,44,0.104963,0.000000,0.000000,0.000000,events/second
1651224693,47,0.104629,0.000000,0.000000,0.000000,events/second
1651224723,53,0.110593,0.000000,0.000000,0.000000,events/second
1651224753,56,0.109963,0.000000,0.000000,0.000000,events/second
1651224783,62,0.114967,0.000000,0.000000,0.000000,events/second
1651224813,65,0.114175,0.000000,0.000000,0.000000,events/second
1651224843,74,0.123471,0.000000,0.000000,0.000000,events/second
1651224873,80,0.127116,0.000000,0.000000,0.000000,events/second
1651224903,90,0.136494,0.000000,0.000000,0.000000,events/second
1651224933,93,0.134900,0.000000,0.000000,0.000000,events/second
1651224963,102,0.141780,0.000000,0.000000,0.000000,events/second
1651224993,105,0.140103,0.000000,0.000000,0.000000,events/second
1651225023,111,0.142403,0.000000,0.000000,0.000000,events/second
1651225053,114,0.140829,0.000000,0.000000,0.000000,events/second
1651225083,123,0.146514,0.000000,0.000000,0.000000,events/second
1651225113,126,0.144906,0.000000,0.000000,0.000000,events/second
1651225143,138,0.153409,0.000000,0.000000,0.000000,events/second
1651225173,141,0.151681,0.000000,0.000000,0.000000,events/second
1651225203,150,0.156315,0.000000,0.000000,0.000000,events/second
1651225233,156,0.157634,0.000000,0.000000,0.000000,events/second
1651225263,163,0.159855,0.000000,0.000000,0.000000,events/second
1651225293,171,0.162904,0.000000,0.000000,0.000000,events/second
1651225324,177,0.163932,0.000000,0.000000,0.000000,events/second
1651225354,186,0.167607,0.000000,0.000000,0.000000,events/second
1651225384,192,0.168456,0.000000,0.000000,0.000000,events/second
1651225414,195,0.166696,0.000000,0.000000,0.000000,events/second
1651225444,201,0.167525,0.000000,0.000000,0.000000,events/second
1651225474,204,0.165875,0.000000,0.000000,0.000000,events/second
1651225504,217,0.172241,0.000000,0.000000,0.000000,events/second
1651225534,220,0.170559,0.000000,0.000000,0.000000,events/second
1651225564,226,0.171225,0.000000,0.000000,0.000000,events/second
1651225594,229,0.169639,0.000000,0.000000,0.000000,events/second
1651225624,235,0.170297,0.000000,0.000000,0.000000,events/second
1651225654,238,0.168799,0.000000,0.000000,0.000000,events/second
1651225684,244,0.169448,0.000000,0.000000,0.000000,events/second
1651225714,247,0.168029,0.000000,0.000000,0.000000,events/second
1651225744,253,0.168667,0.000000,0.000000,0.000000,events/second
1651225774,256,0.167318,0.000000,0.000000,0.000000,events/second
1651225804,262,0.167944,0.000000,0.000000,0.000000,events/second
1651225834,265,0.166660,0.000000,0.000000,0.000000,events/second
1651225864,271,0.167275,0.000000,0.000000,0.000000,events/second
1651225894,274,0.166050,0.000000,0.000000,0.000000,events/second
1651225924,280,0.166655,0.000000,0.000000,0.000000,events/second
1651225954,283,0.165484,0.000000,0.000000,0.000000,events/second
1651225984,289,0.166078,0.000000,0.000000,0.000000,events/second
1651226014,292,0.164957,0.000000,0.000000,0.000000,events/second
1651226044,298,0.165536,0.000000,0.000000,0.000000,events/second
1651226074,301,0.164461,0.000000,0.000000,0.000000,events/second
1651226104,308,0.165570,0.000000,0.000000,0.000000,events/second
