t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,72,2.579850,0.000000,0.000000,0.000000,events/second
1651224302,72,1.233435,0.000000,0.000000,0.000000,events/second
1651224332,72,0.813521,0.000000,0.000000,0.000000,events/second
1651224362,72,0.606478,0.000000,0.000000,0.000000,events/second
1651224393,72,0.483510,0.000000,0.000000,0.000000,events/second
1651224423,72,0.402322,0.000000,0.000000,0.000000,events/second
1651224453,72,0.344538,0.000000,0.000000,0.000000,events/second
1651224483,72,0.301220,0.000000,0.000000,0.000000,events/second
1651224513,72,0.267590,0.000000,0.000000,0.000000,events/second
1651224543,72,0.240739,0.000000,0.000000,0.000000,events/second
1651224573,72,0.218758,0.000000,0.000000,0.000000,events/second
1651224603,72,0.200469,0.000000,0.000000,0.000000,events/second
1651224633,72,0.185006,0.000000,0.000000,0.000000,events/second
1651224663,72,0.171758,0.000000,0.000000,0.000000,events/second
1651224693,72,0.160283,0.000000,0.000000,0.000000,events/second
1651224723,72,0.150240,0.000000,0.000000,0.000000,events/second
1651224753,72,0.141381,0.000000,0.000000,0.000000,events/second
1651224783,72,0.133510,0.000000,0.000000,0.000000,events/second
1651224813,72,0.126471,0.000000,0.000000,0.000000,events/second
1651224843,72,0.120134,0.000000,0.000000,0.000000,events/second
1651224873,72,0.114405,0.000000,0.000000,0.000000,events/second
1651224903,72,0.109196,0.000000,0.000000,0.000000,events/second
1651224933,72,0.104439,0.000000,0.000000,0.000000,events/second
1651224963,72,0.100080,0.000000,0.000000,0.000000,events/second
1651224993,72,0.096071,0.000000,0.000000,0.000000,events/second
1651225023,72,0.092370,0.000000,0.000000,0.000000,events/second
1651225053,72,0.088945,0.000000,0.000000,0.000000,events/second
1651225083,72,0.085764,0.000000,0.000000,0.000000,events/second
1651225113,72,0.082803,0.000000,0.000000,0.000000,events/second
1651225143,72,0.080040,0.000000,0.000000,0.000000,events/second
1651225173,72,0.077454,0.000000,0.000000,0.000000,events/second
1651225203,72,0.075031,0.000000,0.000000,0.000000,events/second
1651225233,72,0.072754,0.000000,0.000000,0.000000,events/second
1651225263,72,0.070611,0.000000,0.000000,0.000000,events/second
1651225293,72,0.068591,0.000000,0.000000,0.000000,events/second
1651225324,72,0.066684,0.000000,0.000000,0.000000,events/second
1651225354,72,0.064880,0.000000,0.000000,0.000000,events/second
1651225384,72,0.063171,0.000000,0.000000,0.000000,events/second
1651225414,72,0.061549,0.000000,0.000000,0.000000,events/second
1651225444,72,0.060009,0.000000,0.000000,0.000000,events/second
1651225474,72,0.058544,0.000000,0.000000,0.000000,events/second
1651225504,72,0.057149,0.000000,0.000000,0.000000,events/second
1651225534,72,0.055819,0.000000,0.000000,0.000000,events/second
1651225564,72,0.054550,0.000000,0.000000,0.000000,events/second
1651225594,72,0.053336,0.000000,0.000000,0.000000,events/second
1651225624,72,0.052176,0.000000,0.000000,0.000000,events/second
1651225654,72,0.051065,0.000000,0.000000,0.000000,events/second
1651225684,72,0.050001,0.000000,0.000000,0.000000,events/second
1651225714,72,0.048980,0.000000,0.000000,0.000000,events/second
1651225744,72,0.048000,0.000000,0.000000,0.000000,events/second
1651225774,72,0.047058,0.000000,0.000000,0.000000,events/second
1651225804,72,0.046153,0.000000,0.000000,0.000000,events/second
1651225834,72,0.045281,0.000000,0.000000,0.000000,events/second
1651225864,72,0.044442,0.000000,0.000000,0.000000,events/second
1651225894,72,0.043634,0.000000,0.000000,0.000000,events/second
1651225924,72,0.042854,0.000000,0.000000,0.000000,events/second
1651225954,72,0.042102,0.000000,0.000000,0.000000,events/second
1651225984,72,0.041376,0.000000,0.000000,0.000000,events/second
1651226014,72,0.040674,0.000000,0.000000,0.000000,events/second
1651226044,72,0.039995,0.000000,0.000000,0.000000,events/second
1651226074,72,0.039339,0.000000,0.000000,0.000000,events/second
1651226104,72,0.038705,0.000000,0.000000,0.000000,events/second
1651226134,72,0.038090,0.000000,0.000000,0.000000,events/second
1651226164,72,0.037495,0.000000,0.000000,0.000000,events/second
1651226194,72,0.036917,0.000000,0.000000,0.000000,events/second
1651226224,72,0.036358,0.000000,0.000000,0.000000,events/second
1651226254,72,0.035815,0.000000,0.000000,0.000000,events/second
1651226284,72,0.035288,0.000000,0.000000,0.000000,events/second
1651226314,72,0.034777,0.000000,0.000000,0.000000,events/second
1651226344,72,0.034280,0.000000,0.000000,0.000000,events/second
1651226374,72,0.033797,0.000000,0.000000,0.000000,events/second
1651226404,72,0.033327,0.000000,0.000000,0.000000,events/second
1651226434,72,0.032871,0.000000,0.000000,0.000000,events/second
1651226464,72,0.032426,0.000000,0.000000,0.000000,events/second
1651226494,72,0.031993,0.000000,0.000000,0.000000,events/second
1651226524,72,0.031572,0.000000,0.000000,0.000000,events/second
1651226554,72,0.031162,0.000000,0.000000,0.000000,events/second
1651226584,72,0.030763,0.000000,0.000000,0.000000,events/second
1651226614,72,0.030373,0.000000,0.000000,0.000000,events/second
1651226644,72,0.029993,0.000000,0.000000,0.000000,events/second
1651226674,72,0.029623,0.000000,0.000000,0.000000,events/second
1651226704,72,0.029262,0.000000,0.000000,0.000000,events/second
1651226734,72,0.028909,0.000000,0.000000,0.000000,events/second
1651226764,72,0.028565,0.000000,0.000000,0.000000,events/second
1651226794,72,0.028229,0.000000,0.000000,0.000000,events/second
1651226826,72,0.027901,0.000000,0.000000,0.000000,events/second
1651226856,72,0.027580,0.000000,0.000000,0.000000,events/second
1651226886,72,0.027266,0.000000,0.000000,0.000000,events/second
1651226916,72,0.026960,0.000000,0.000000,0.000000,events/second
1651226946,72,0.026660,0.000000,0.000000,0.000000,events/second
1651226976,72,0.026367,0.000000,0.000000,0.000000,events/second
1651227006,72,0.026081,0.000000,0.000000,0.000000,events/second
1651227036,72,0.025800,0.000000,0.000000,0.000000,events/second
1651227066,72,0.025526,0.000000,0.000000,0.000000,events/second
1651227096,72,0.025257,0.000000,0.000000,0.000000,events/second
1651227126,72,0.024994,0.000000,0.000000,0.000000,events/second
1651227156,72,0.024736,0.000000,0.000000,0.000000,events/second
1651227186,72,0.024484,0.000000,0.000000,0.000000,events/second
1651227216,72,0.024236,0.000000,0.000000,0.000000,events/second
1651227246,72,0.023994,0.000000,0.000000,0.000000,events/second
1651227276,72,0.023756,0.000000,0.000000,0.000000,events/second
1651227306,72,0.023523,0.000000,0.000000,0.000000,events/second
1651227336,72,0.023295,0.000000,0.000000,0.000000,events/second
1651227366,72,0.023071,0.000000,0.000000,0.000000,events/second
1651227396,72,0.022851,0.000000,0.000000,0.000000,events/second
1651227426,72,0.022636,0.000000,0.000000,0.000000,events/second
1651227456,72,0.022424,0.000000,0.000000,0.000000,events/second
1651227486,72,0.022217,0.000000,0.000000,0.000000,events/second
1651227516,72,0.022013,0.000000,0.000000,0.000000,events/second
1651227546,72,0.021813,0.000000,0.000000,0.000000,events/second
1651227576,72,0.021616,0.000000,0.000000,0.000000,events/second
1651227606,72,0.021423,0.000000,0.000000,0.000000,events/second
