t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,73,2.614784,0.000000,0.000000,0.000000,events/second
1651224302,73,1.250656,0.000000,0.000000,0.000000,events/second
1651224332,73,0.824860,0.000000,0.000000,0.000000,events/second
1651224362,73,0.614917,0.000000,0.000000,0.000000,events/second
1651224393,73,0.490240,0.000000,0.000000,0.000000,events/second
1651224423,73,0.407919,0.000000,0.000000,0.000000,events/second
1651224453,73,0.349325,0.000000,0.000000,0.000000,events/second
1651224483,73,0.305409,0.000000,0.000000,0.000000,events/second
1651224513,73,0.271311,0.000000,0.000000,0.000000,events/second
1651224543,73,0.244086,0.000000,0.000000,0.000000,events/second
1651224573,73,0.221800,0.000000,0.000000,0.000000,events/second
1651224603,73,0.203256,0.000000,0.000000,0.000000,events/second
1651224633,73,0.187578,0.000000,0.000000,0.000000,events/second
1651224663,73,0.174146,0.000000,0.000000,0.000000,events/second
1651224693,73,0.162510,0.000000,0.000000,0.000000,events/second
1651224723,73,0.152328,0.000000,0.000000,0.000000,events/second
1651224753,73,0.143346,0.000000,0.000000,0.000000,events/second
1651224783,73,0.135366,0.000000,0.000000,0.000000,events/second
1651224813,73,0.128229,0.000000,0.000000,0.000000,events/second
1651224843,73,0.121804,0.000000,0.000000,0.000000,events/second
1651224873,73,0.115995,0.000000,0.000000,0.000000,events/second
1651224903,73,0.110713,0.000000,0.000000,0.000000,events/second
1651224933,73,0.105890,0.000000,0.000000,0.000000,events/second
1651224963,73,0.101471,0.000000,0.000000,0.000000,events/second
1651224993,73,0.097405,0.000000,0.000000,0.000000,events/second
1651225023,73,0.093653,0.000000,0.000000,0.000000,events/second
1651225053,73,0.090181,0.000000,0.000000,0.000000,events/second
1651225083,73,0.086956,0.000000,0.000000,0.000000,events/second
1651225113,73,0.083954,0.000000,0.000000,0.000000,events/second
1651225143,73,0.081152,0.000000,0.000000,0.000000,events/second
1651225173,73,0.078530,0.000000,0.000000,0.000000,events/second
1651225203,73,0.076074,0.000000,0.000000,0.000000,events/second
1651225233,73,0.073765,0.000000,0.000000,0.000000,events/second
1651225263,73,0.071592,0.000000,0.000000,0.000000,events/second
1651225293,73,0.069544,0.000000,0.000000,0.000000,events/second
1651225324,73,0.067611,0.000000,0.000000,0.000000,events/second
1651225354,73,0.065781,0.000000,0.000000,0.000000,events/second
1651225384,73,0.064049,0.000000,0.000000,0.000000,events/second
1651225414,73,0.062405,0.000000,0.000000,0.000000,events/second
1651225444,73,0.060843,0.000000,0.000000,0.000000,events/second
1651225474,73,0.059358,0.000000,0.000000,0.000000,events/second
1651225504,73,0.057943,0.000000,0.000000,0.000000,events/second
1651225534,73,0.056595,0.000000,0.000000,0.000000,events/second
1651225564,73,0.055307,0.000000,0.000000,0.000000,events/second
1651225594,73,0.054077,0.000000,0.000000,0.000000,events/second
1651225624,73,0.052901,0.000000,0.000000,0.000000,events/second
1651225654,73,0.051775,0.000000,0.000000,0.000000,events/second
1651225684,73,0.050696,0.000000,0.000000,0.000000,events/second
1651225714,73,0.049661,0.000000,0.000000,0.000000,events/second
1651225744,73,0.048667,0.000000,0.000000,0.000000,events/second
1651225774,73,0.047712,0.000000,0.000000,0.000000,events/second
1651225804,73,0.046794,0.000000,0.000000,0.000000,events/second
1651225834,73,0.045910,0.000000,0.000000,0.000000,events/second
1651225864,73,0.045060,0.000000,0.000000,0.000000,events/second
1651225894,73,0.044240,0.000000,0.000000,0.000000,events/second
1651225924,73,0.043449,0.000000,0.000000,0.000000,events/second
1651225954,73,0.042687,0.000000,0.000000,0.000000,events/second
1651225984,73,0.041951,0.000000,0.000000,0.000000,events/second
1651226014,73,0.041239,0.000000,0.000000,0.000000,events/second
1651226044,73,0.040551,0.000000,0.000000,0.000000,events/second
1651226074,73,0.039886,0.000000,0.000000,0.000000,events/second
1651226104,73,0.039242,0.000000,0.000000,0.000000,events/second
1651226134,73,0.038619,0.000000,0.000000,0.000000,events/second
1651226164,73,0.038016,0.000000,0.000000,0.000000,events/second
1651226194,73,0.037430,0.000000,0.000000,0.000000,events/second
1651226224,73,0.036863,0.000000,0.000000,0.000000,events/second
1651226254,73,0.036312,0.000000,0.000000,0.000000,events/second
1651226284,73,0.035778,0.000000,0.000000,0.000000,events/second
1651226314,73,0.035260,0.000000,0.000000,0.000000,events/second
1651226344,73,0.034756,0.000000,0.000000,0.000000,events/second
1651226374,73,0.034266,0.000000,0.000000,0.000000,events/second
1651226404,73,0.033790,0.000000,0.000000,0.000000,events/second
1651226434,73,0.033327,0.000000,0.000000,0.000000,events/second
1651226464,73,0.032877,0.000000,0.000000,0.000000,events/second
1651226494,73,0.032438,0.000000,0.000000,0.000000,events/second
1651226524,73,0.032011,0.000000,0.000000,0.000000,events/second
1651226554,73,0.031595,0.000000,0.000000,0.000000,events/second
1651226584,73,0.031190,0.000000,0.000000,0.000000,events/second
1651226614,73,0.030795,0.000000,0.000000,0.000000,events/second
1651226644,73,0.030410,0.000000,0.000000,0.000000,events/second
1651226674,73,0.030034,0.000000,0.000000,0.000000,events/second
1651226704,73,0.029668,0.000000,0.000000,0.000000,events/second
1651226734,73,0.029311,0.000000,0.000000,0.000000,events/second
1651226764,73,0.028962,0.000000,0.000000,0.000000,events/second
1651226794,73,0.028621,0.000000,0.000000,0.000000,events/second
1651226826,73,0.028288,0.000000,0.000000,0.000000,events/second
1651226856,73,0.027963,0.000000,0.000000,0.000000,events/second
1651226886,73,0.027645,0.000000,0.000000,0.000000,events/second
1651226916,73,0.027335,0.000000,0.000000,0.000000,events/second
1651226946,73,0.027031,0.000000,0.000000,0.000000,events/second
1651226976,73,0.026734,0.000000,0.000000,0.000000,events/second
1651227006,73,0.026443,0.000000,0.000000,0.000000,events/second
1651227036,73,0.026159,0.000000,0.000000,0.000000,events/second
1651227066,73,0.025880,0.000000,0.000000,0.000000,events/second
1651227096,73,0.025608,0.000000,0.000000,0.000000,events/second
1651227126,73,0.025341,0.000000,0.000000,0.000000,events/second
1651227156,73,0.025080,0.000000,0.000000,0.000000,events/second
1651227186,73,0.024824,0.000000,0.000000,0.000000,events/second
1651227216,73,0.024573,0.000000,0.000000,0.000000,events/second
1651227246,73,0.024327,0.000000,0.000000,0.000000,events/second
1651227276,73,0.024086,0.000000,0.000000,0.000000,events/second
1651227306,73,0.023850,0.000000,0.000000,0.000000,events/second
1651227336,73,0.023619,0.000000,0.000000,0.000000,events/second
1651227366,73,0.023392,0.000000,0.000000,0.000000,events/second
1651227396,73,0.023169,0.000000,0.000000,0.000000,events/second
1651227426,73,0.022950,0.000000,0.000000,0.000000,events/second
1651227456,73,0.022736,0.000000,0.000000,0.000000,events/second
1651227486,73,0.022525,0.000000,0.000000,0.000000,events/second
1651227516,73,0.022319,0.000000,0.000000,0.000000,events/second
1651227546,73,0.022116,0.000000,0.000000,0.000000,events/second
1651227576,73,0.021916,0.000000,0.000000,0.000000,events/second
1651227606,73,0.021721,0.000000,0.000000,0.000000,events/second
1651227636,73,0.021528,0.000000,0.000000,0.000000,events/second
1651227666,73,0.021340,0.000000,0.000000,0.000000,events/second
1651227696,73,0.021154,0.000000,0.000000,0.000000,events/second
1651227726,73,0.020972,0.000000,0.000000,0.000000,events/second
1651227756,73,0.020792,0.000000,0.000000,0.000000,events/second
1651227786,73,0.020616,0.000000,0.000000,0.000000,events/second
1651227816,73,0.020443,0.000000,0.000000,0.000000,events/second
1651227846,73,0.020272,0.000000,0.000000,0.000000,events/second
1651227876,73,0.020105,0.000000,0.000000,0.000000,events/second
1651227906,73,0.019940,0.000000,0.000000,0.000000,events/second
1651227936,73,0.019778,0.000000,0.000000,0.000000,events/second
1651227966,73,0.019618,0.000000,0.000000,0.000000,events/second
1651227996,73,0.019461,0.000000,0.000000,0.000000,events/second
1651228026,73,0.019307,0.000000,0.000000,0.000000,events/second
1651228056,73,0.019155,0.000000,0.000000,0.000000,events/second
1651228086,73,0.019005,0.000000,0.000000,0.000000,events/second
1651228116,73,0.018858,0.000000,0.000000,0.000000,events/second
1651228146,73,0.018713,0.000000,0.000000,0.000000,events/second
1651228176,73,0.018570,0.000000,0.000000,0.000000,events/second
1651228206,73,0.018429,0.000000,0.000000,0.000000,events/second
1651228236,73,0.018291,0.000000,0.000000,0.000000,events/second
1651228266,73,0.018154,0.000000,0.000000,0.000000,events/second
1651228296,73,0.018020,0.000000,0.000000,0.000000,events/second
1651228326,73,0.017887,0.000000,0.000000,0.000000,events/second
1651228356,73,0.017757,0.000000,0.000000,0.000000,events/second
1651228386,73,0.017628,0.000000,0.000000,0.000000,events/second
1651228416,73,0.017501,0.000000,0.000000,0.000000,events/second
1651228446,73,0.017376,0.000000,0.000000,0.000000,events/second
1651228476,73,0.017253,0.000000,0.000000,0.000000,events/second
1651228506,73,0.017131,0.000000,0.000000,0.000000,events/second
1651228536,73,0.017011,0.000000,0.000000,0.000000,events/second
1651228566,73,0.016893,0.000000,0.000000,0.000000,events/second
1651228596,73,0.016777,0.000000,0.000000,0.000000,events/second
1651228626,73,0.016662,0.000000,0.000000,0.000000,events/second
1651228656,73,0.016548,0.000000,0.000000,0.000000,events/second
1651228686,73,0.016437,0.000000,0.000000,0.000000,events/second
1651228717,73,0.016326,0.000000,0.000000,0.000000,events/second
1651228747,73,0.016217,0.000000,0.000000,0.000000,events/second
1651228777,73,0.016110,0.000000,0.000000,0.000000,events/second
1651228807,73,0.016004,0.000000,0.000000,0.000000,events/second
1651228837,73,0.015899,0.000000,0.000000,0.000000,events/second
1651228867,73,0.015796,0.000000,0.000000,0.000000,events/second
1651228897,73,0.015694,0.000000,0.000000,0.000000,events/second
1651228927,73,0.015594,0.000000,0.000000,0.000000,events/second
1651228957,73,0.015494,0.000000,0.000000,0.000000,events/second
1651228987,73,0.015396,0.000000,0.000000,0.000000,events/second
1651229017,73,0.015299,0.000000,0.000000,0.000000,events/second
1651229047,73,0.015204,0.000000,0.000000,0.000000,events/second
1651229077,73,0.015109,0.000000,0.000000,0.000000,events/second
1651229107,73,0.015016,0.000000,0.000000,0.000000,events/second
1651229137,73,0.014924,0.000000,0.000000,0.000000,events/second
1651229167,73,0.014833,0.000000,0.000000,0.000000,events/second
1651229197,73,0.014743,0.000000,0.000000,0.000000,events/second
1651229227,73,0.014654,0.000000,0.000000,0.000000,events/second
1651229257,73,0.014566,0.000000,0.000000,0.000000,events/second
1651229287,73,0.014480,0.000000,0.000000,0.000000,events/second
1651229317,73,0.014394,0.000000,0.000000,0.000000,events/second
1651229347,73,0.014309,0.000000,0.000000,0.000000,events/second
1651229377,73,0.014226,0.000000,0.000000,0.000000,events/second
1651229407,73,0.014143,0.000000,0.000000,0.000000,events/second
1651229437,73,0.014061,0.000000,0.000000,0.000000,events/second
1651229467,73,0.013980,0.000000,0.000000,0.000000,events/second
1651229497,73,0.013901,0.000000,0.000000,0.000000,events/second
1651229527,73,0.013822,0.000000,0.000000,0.000000,events/second
1651229557,73,0.013743,0.000000,0.000000,0.000000,events/second
1651229587,73,0.013666,0.000000,0.000000,0.000000,events/second
1651229617,73,0.013590,0.000000,0.000000,0.000000,events/second
1651229647,73,0.013514,0.000000,0.000000,0.000000,events/second
1651229677,73,0.013440,0.000000,0.000000,0.000000,events/second
1651229707,73,0.013366,0.000000,0.000000,0.000000,events/second
1651229737,73,0.013293,0.000000,0.000000,0.000000,events/second
1651229767,73,0.013221,0.000000,0.000000,0.000000,events/second
1651229797,73,0.013149,0.000000,0.000000,0.000000,events/second
1651229827,73,0.013078,0.000000,0.000000,0.000000,events/second
1651229857,73,0.013008,0.000000,0.000000,0.000000,events/second
1651229887,73,0.012939,0.000000,0.000000,0.000000,events/second
1651229917,73,0.012871,0.000000,0.000000,0.000000,events/second
1651229947,73,0.012803,0.000000,0.000000,0.000000,events/second
1651229977,73,0.012736,0.000000,0.000000,0.000000,events/second
1651230007,73,0.012670,0.000000,0.000000,0.000000,events/second
1651230037,73,0.012604,0.000000,0.000000,0.000000,events/second
1651230067,73,0.012539,0.000000,0.000000,0.000000,events/second
1651230097,73,0.012475,0.000000,0.000000,0.000000,events/second
1651230127,73,0.012411,0.000000,0.000000,0.000000,events/second
1651230157,73,0.012348,0.000000,0.000000,0.000000,events/second
1651230187,73,0.012286,0.000000,0.000000,0.000000,events/second
1651230217,73,0.012224,0.000000,0.000000,0.000000,events/second
1651230247,73,0.012163,0.000000,0.000000,0.000000,events/second
1651230277,73,0.012102,0.000000,0.000000,0.000000,events/second
1651230307,73,0.012042,0.000000,0.000000,0.000000,events/second
1651230337,73,0.011983,0.000000,0.000000,0.000000,events/second
1651230367,73,0.011924,0.000000,0.000000,0.000000,events/second
1651230397,73,0.011866,0.000000,0.000000,0.000000,events/second
1651230427,73,0.011809,0.000000,0.000000,0.000000,events/second
1651230457,73,0.011752,0.000000,0.000000,0.000000,events/second
1651230487,73,0.011695,0.000000,0.000000,0.000000,events/second
1651230517,73,0.011639,0.000000,0.000000,0.000000,events/second
1651230547,73,0.011584,0.000000,0.000000,0.000000,events/second
1651230577,73,0.011529,0.000000,0.000000,0.000000,events/second
1651230607,73,0.011474,0.000000,0.000000,0.000000,events/second
1651230637,73,0.011420,0.000000,0.000000,0.000000,events/second
1651230667,73,0.011367,0.000000,0.000000,0.000000,events/second
1651230697,73,0.011314,0.000000,0.000000,0.000000,events/second
1651230727,73,0.011262,0.000000,0.000000,0.000000,events/second
1651230757,73,0.011210,0.000000,0.000000,0.000000,events/second
1651230787,73,0.011158,0.000000,0.000000,0.000000,events/second
1651230817,73,0.011108,0.000000,0.000000,0.000000,events/second
1651230847,73,0.011057,0.000000,0.000000,0.000000,events/second
1651230877,73,0.011007,0.000000,0.000000,0.000000,events/second
1651230907,73,0.010957,0.000000,0.000000,0.000000,events/second
1651230937,73,0.010908,0.000000,0.000000,0.000000,events/second
1651230967,73,0.010860,0.000000,0.000000,0.000000,events/second
1651230997,73,0.010811,0.000000,0.000000,0.000000,events/second
1651231027,73,0.010763,0.000000,0.000000,0.000000,events/second
1651231057,73,0.010716,0.000000,0.000000,0.000000,events/second
1651231087,73,0.010669,0.000000,0.000000,0.000000,events/second
1651231117,73,0.010622,0.000000,0.000000,0.000000,events/second
1651231147,73,0.010576,0.000000,0.000000,0.000000,events/second
1651231177,73,0.010530,0.000000,0.000000,0.000000,events/second
1651231207,73,0.010485,0.000000,0.000000,0.000000,events/second
1651231237,73,0.010440,0.000000,0.000000,0.000000,events/second
1651231267,73,0.010395,0.000000,0.000000,0.000000,events/second
1651231297,73,0.010351,0.000000,0.000000,0.000000,events/second
1651231328,73,0.010307,0.000000,0.000000,0.000000,events/second
1651231358,73,0.010264,0.000000,0.000000,0.000000,events/second
1651231388,73,0.010221,0.000000,0.000000,0.000000,events/second
1651231418,73,0.010178,0.000000,0.000000,0.000000,events/second
1651231448,73,0.010136,0.000000,0.000000,0.000000,events/second
1651231478,73,0.010094,0.000000,0.000000,0.000000,events/second
1651231508,73,0.010052,0.000000,0.000000,0.000000,events/second
1651231538,73,0.010010,0.000000,0.000000,0.000000,events/second
1651231568,73,0.009969,0.000000,0.000000,0.000000,events/second
1651231598,73,0.009929,0.000000,0.000000,0.000000,events/second
1651231628,73,0.009888,0.000000,0.000000,0.000000,events/second
1651231658,73,0.009848,0.000000,0.000000,0.000000,events/second
1651231688,73,0.009809,0.000000,0.000000,0.000000,events/second
1651231718,73,0.009769,0.000000,0.000000,0.000000,events/second
1651231748,73,0.009730,0.000000,0.000000,0.000000,events/second
1651231778,73,0.009691,0.000000,0.000000,0.000000,events/second
1651231808,73,0.009653,0.000000,0.000000,0.000000,events/second
1651231838,73,0.009615,0.000000,0.000000,0.000000,events/second
1651231868,73,0.009577,0.000000,0.000000,0.000000,events/second
1651231898,73,0.009539,0.000000,0.000000,0.000000,events/second
1651231928,73,0.009502,0.000000,0.000000,0.000000,events/second
1651231958,73,0.009465,0.000000,0.000000,0.000000,events/second
1651231988,73,0.009428,0.000000,0.000000,0.000000,events/second
1651232018,73,0.009392,0.000000,0.000000,0.000000,events/second
1651232048,73,0.009356,0.000000,0.000000,0.000000,events/second
1651232078,73,0.009320,0.000000,0.000000,0.000000,events/second
1651232108,73,0.009284,0.000000,0.000000,0.000000,events/second
1651232138,73,0.009249,0.000000,0.000000,0.000000,events/second
1651232168,73,0.009214,0.000000,0.000000,0.000000,events/second
1651232198,73,0.009179,0.000000,0.000000,0.000000,events/second
1651232228,73,0.009145,0.000000,0.000000,0.000000,events/second
1651232258,73,0.009111,0.000000,0.000000,0.000000,events/second
1651232288,73,0.009077,0.000000,0.000000,0.000000,events/second
1651232318,73,0.009043,0.000000,0.000000,0.000000,events/second
1651232348,73,0.009009,0.000000,0.000000,0.000000,events/second
1651232378,73,0.008976,0.000000,0.000000,0.000000,events/second
1651232408,73,0.008943,0.000000,0.000000,0.000000,events/second
1651232438,73,0.008910,0.000000,0.000000,0.000000,events/second
1651232468,73,0.008878,0.000000,0.000000,0.000000,events/second
1651232498,73,0.008846,0.000000,0.000000,0.000000,events/second
1651232528,73,0.008813,0.000000,0.000000,0.000000,events/second
1651232558,73,0.008782,0.000000,0.000000,0.000000,events/second
1651232588,73,0.008750,0.000000,0.000000,0.000000,events/second
1651232618,73,0.008719,0.000000,0.000000,0.000000,events/second
1651232648,73,0.008688,0.000000,0.000000,0.000000,events/second
1651232678,73,0.008657,0.000000,0.000000,0.000000,events/second
1651232708,73,0.008626,0.000000,0.000000,0.000000,events/second
1651232738,73,0.008595,0.000000,0.000000,0.000000,events/second
1651232768,73,0.008565,0.000000,0.000000,0.000000,events/second
1651232798,73,0.008535,0.000000,0.000000,0.000000,events/second
1651232828,73,0.008505,0.000000,0.000000,0.000000,events/second
1651232858,73,0.008476,0.000000,0.000000,0.000000,events/second
1651232888,73,0.008446,0.000000,0.000000,0.000000,events/second
1651232918,73,0.008417,0.000000,0.000000,0.000000,events/second
1651232948,73,0.008388,0.000000,0.000000,0.000000,events/second
1651232978,73,0.008359,0.000000,0.000000,0.000000,events/second
1651233008,73,0.008331,0.000000,0.000000,0.000000,events/second
1651233038,73,0.008302,0.000000,0.000000,0.000000,events/second
1651233068,73,0.008274,0.000000,0.000000,0.000000,events/second
1651233098,73,0.008246,0.000000,0.000000,0.000000,events/second
1651233128,73,0.008218,0.000000,0.000000,0.000000,events/second
1651233158,73,0.008190,0.000000,0.000000,0.000000,events/second
1651233188,73,0.008163,0.000000,0.000000,0.000000,events/second
1651233218,73,0.008136,0.000000,0.000000,0.000000,events/second
1651233248,73,0.008108,0.000000,0.000000,0.000000,events/second
1651233278,73,0.008081,0.000000,0.000000,0.000000,events/second
1651233308,73,0.008055,0.000000,0.000000,0.000000,events/second
1651233338,73,0.008028,0.000000,0.000000,0.000000,events/second
1651233368,73,0.008002,0.000000,0.000000,0.000000,events/second
1651233398,73,0.007975,0.000000,0.000000,0.000000,events/second
1651233428,73,0.007949,0.000000,0.000000,0.000000,events/second
1651233458,73,0.007924,0.000000,0.000000,0.000000,events/second
1651233488,73,0.007898,0.000000,0.000000,0.000000,events/second
1651233518,73,0.007872,0.000000,0.000000,0.000000,events/second
1651233548,73,0.007847,0.000000,0.000000,0.000000,events/second
1651233578,73,0.007822,0.000000,0.000000,0.000000,events/second
1651233608,73,0.007797,0.000000,0.000000,0.000000,events/second
1651233638,73,0.007772,0.000000,0.000000,0.000000,events/second
1651233668,73,0.007747,0.000000,0.000000,0.000000,events/second
1651233698,73,0.007722,0.000000,0.000000,0.000000,events/second
1651233728,73,0.007698,0.000000,0.000000,0.000000,events/second
1651233758,73,0.007674,0.000000,0.000000,0.000000,events/second
1651233788,73,0.007649,0.000000,0.000000,0.000000,events/second
1651233818,73,0.007625,0.000000,0.000000,0.000000,events/second
1651233848,73,0.007602,0.000000,0.000000,0.000000,events/second
1651233878,73,0.007578,0.000000,0.000000,0.000000,events/second
1651233908,73,0.007554,0.000000,0.000000,0.000000,events/second
1651233938,73,0.007531,0.000000,0.000000,0.000000,events/second
1651233968,73,0.007508,0.000000,0.000000,0.000000,events/second
