t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,2,0.071506,0.000000,0.000000,0.000000,events/second
1651224302,2,0.034259,0.000000,0.000000,0.000000,events/second
1651224332,2,0.022596,0.000000,0.000000,0.000000,events/second
1651224362,2,0.016845,0.000000,0.000000,0.000000,events/second
1651224393,2,0.013430,0.000000,0.000000,0.000000,events/second
1651224423,2,0.011175,0.000000,0.000000,0.000000,events/second
1651224453,2,0.009570,0.000000,0.000000,0.000000,events/second
1651224483,2,0.008367,0.000000,0.000000,0.000000,events/second
1651224513,2,0.007433,0.000000,0.000000,0.000000,events/second
1651224543,2,0.006687,0.000000,0.000000,0.000000,events/second
1651224573,2,0.006077,0.000000,0.000000,0.000000,events/second
1651224603,2,0.005569,0.000000,0.000000,0.000000,events/second
1651224633,2,0.005139,0.000000,0.000000,0.000000,events/second
1651224663,2,0.004771,0.000000,0.000000,0.000000,events/second
1651224693,2,0.004452,0.000000,0.000000,0.000000,events/second
1651224723,2,0.004173,0.000000,0.000000,0.000000,events/second
1651224753,2,0.003927,0.000000,0.000000,0.000000,events/second
1651224783,2,0.003709,0.000000,0.000000,0.000000,events/second
1651224813,2,0.003513,0.000000,0.000000,0.000000,events/second
1651224843,2,0.003337,0.000000,0.000000,0.000000,events/second
1651224873,2,0.003178,0.000000,0.000000,0.000000,events/second
1651224903,2,0.003033,0.000000,0.000000,0.000000,events/second
1651224933,2,0.002901,0.000000,0.000000,0.000000,events/second
1651224963,2,0.002780,0.000000,0.000000,0.000000,events/second
1651224993,2,0.002669,0.000000,0.000000,0.000000,events/second
1651225023,2,0.002566,0.000000,0.000000,0.000000,events/second
1651225053,2,0.002471,0.000000,0.000000,0.000000,events/second
1651225083,2,0.002382,0.000000,0.000000,0.000000,events/second
1651225113,2,0.002300,0.000000,0.000000,0.000000,events/second
1651225143,2,0.002223,0.000000,0.000000,0.000000,events/second
1651225173,2,0.002151,0.000000,0.000000,0.000000,events/second
1651225203,2,0.002084,0.000000,0.000000,0.000000,events/second
1651225233,2,0.002021,0.000000,0.000000,0.000000,events/second
1651225263,2,0.001961,0.000000,0.000000,0.000000,events/second
1651225293,2,0.001905,0.000000,0.000000,0.000000,events/second
1651225324,2,0.001852,0.000000,0.000000,0.000000,events/second
1651225354,2,0.001802,0.000000,0.000000,0.000000,events/second
1651225384,2,0.001755,0.000000,0.000000,0.000000,events/second
1651225414,2,0.001710,0.000000,0.000000,0.000000,events/second
1651225444,2,0.001667,0.000000,0.000000,0.000000,events/second
1651225474,2,0.001626,0.000000,0.000000,0.000000,events/second
1651225504,2,0.001587,0.000000,0.000000,0.000000,events/second
1651225534,2,0.001551,0.000000,0.000000,0.000000,events/second
1651225564,2,0.001515,0.000000,0.000000,0.000000,events/second
1651225594,2,0.001482,0.000000,0.000000,0.000000,events/second
1651225624,2,0.001449,0.000000,0.000000,0.000000,events/second
1651225654,2,0.001418,0.000000,0.000000,0.000000,events/second
1651225684,2,0.001389,0.000000,0.000000,0.000000,events/second
1651225714,2,0.001361,0.000000,0.000000,0.000000,events/second
1651225744,2,0.001333,0.000000,0.000000,0.000000,events/second
1651225774,2,0.001307,0.000000,0.000000,0.000000,events/second
1651225804,2,0.001282,0.000000,0.000000,0.000000,events/second
1651225834,2,0.001258,0.000000,0.000000,0.000000,events/second
1651225864,2,0.001235,0.000000,0.000000,0.000000,events/second
1651225894,2,0.001212,0.000000,0.000000,0.000000,events/second
1651225924,2,0.001190,0.000000,0.000000,0.000000,events/second
1651225954,2,0.001169,0.000000,0.000000,0.000000,events/second
1651225984,2,0.001149,0.000000,0.000000,0.000000,events/second
1651226014,2,0.001130,0.000000,0.000000,0.000000,events/second
1651226044,2,0.001111,0.000000,0.000000,0.000000,events/second
1651226074,2,0.001093,0.000000,0.000000,0.000000,events/second
1651226104,2,0.001075,0.000000,0.000000,0.000000,events/second
1651226134,2,0.001058,0.000000,0.000000,0.000000,events/second
1651226164,2,0.001042,0.000000,0.000000,0.000000,events/second
1651226194,2,0.001025,0.000000,0.000000,0.000000,events/second
1651226224,2,0.001010,0.000000,0.000000,0.000000,events/second
1651226254,2,0.000995,0.000000,0.000000,0.000000,events/second
1651226284,2,0.000980,0.000000,0.000000,0.000000,events/second
1651226314,2,0.000966,0.000000,0.000000,0.000000,events/second
1651226344,2,0.000952,0.000000,0.000000,0.000000,events/second
1651226374,2,0.000939,0.000000,0.000000,0.000000,events/second
1651226404,2,0.000926,0.000000,0.000000,0.000000,events/second
1651226434,2,0.000913,0.000000,0.000000,0.000000,events/second
