t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,227,8.093588,0.000000,0.000000,0.000000,events/second
1651224302,235,4.025790,0.000000,0.000000,0.000000,events/second
1651224332,242,2.734337,0.000000,0.000000,0.000000,events/second
1651224362,248,2.088912,0.000000,0.000000,0.000000,events/second
1651224393,254,1.705713,0.000000,0.000000,0.000000,events/second
1651224423,260,1.452827,0.000000,0.000000,0.000000,events/second
1651224453,266,1.272846,0.000000,0.000000,0.000000,events/second
1651224483,272,1.137940,0.000000,0.000000,0.000000,events/second
1651224513,278,1.033197,0.000000,0.000000,0.000000,events/second
1651224543,283,0.946240,0.000000,0.000000,0.000000,events/second
1651224573,289,0.878051,0.000000,0.000000,0.000000,events/second
1651224603,295,0.821367,0.000000,0.000000,0.000000,events/second
1651224633,301,0.773429,0.000000,0.000000,0.000000,events/second
1651224663,307,0.732360,0.000000,0.000000,0.000000,events/second
1651224693,313,0.696785,0.000000,0.000000,0.000000,events/second
1651224723,319,0.665647,0.000000,0.000000,0.000000,events/second
1651224753,325,0.638180,0.000000,0.000000,0.000000,events/second
1651224783,331,0.613777,0.000000,0.000000,0.000000,events/second
1651224813,337,0.591955,0.000000,0.000000,0.000000,events/second
1651224843,343,0.572308,0.000000,0.000000,0.000000,events/second
1651224873,349,0.554546,0.000000,0.000000,0.000000,events/second
1651224903,355,0.538395,0.000000,0.000000,0.000000,events/second
1651224933,361,0.523647,0.000000,0.000000,0.000000,events/second
1651224963,367,0.510128,0.000000,0.000000,0.000000,events/second
1651224993,373,0.497699,0.000000,0.000000,0.000000,events/second
1651225023,379,0.486225,0.000000,0.000000,0.000000,events/second
1651225053,385,0.475608,0.000000,0.000000,0.000000,events/second
1651225083,391,0.465749,0.000000,0.000000,0.000000,events/second
1651225113,397,0.456569,0.000000,0.000000,0.000000,events/second
1651225143,403,0.447999,0.000000,0.000000,0.000000,events/second
1651225173,409,0.439983,0.000000,0.000000,0.000000,events/second
1651225203,415,0.432473,0.000000,0.000000,0.000000,events/second
1651225233,421,0.425411,0.000000,0.000000,0.000000,events/second
1651225263,427,0.418762,0.000000,0.000000,0.000000,events/second
1651225293,433,0.412499,0.000000,0.000000,0.000000,events/second
1651225324,439,0.406589,0.000000,0.000000,0.000000,events/second
1651225354,445,0.400995,0.000000,0.000000,0.000000,events/second
1651225384,451,0.395696,0.000000,0.000000,0.000000,events/second
1651225414,457,0.390668,0.000000,0.000000,0.000000,events/second
