t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,293,59.452477,0.000000,0.000000,0.000000,events/second
1651224302,335,9.526825,0.000000,0.000000,0.000000,events/second
1651224332,391,5.981480,0.000000,0.000000,0.000000,events/second
1651224362,391,4.093233,0.000000,0.000000,0.000000,events/second
1651224393,391,3.110547,0.000000,0.000000,0.000000,events/second
1651224423,391,2.510409,0.000000,0.000000,0.000000,events/second
1651224453,391,2.104746,0.000000,0.000000,0.000000,events/second
1651224483,391,1.811700,0.000000,0.000000,0.000000,events/second
1651224513,391,1.590353,0.000000,0.000000,0.000000,events/second
1651224543,391,1.417345,0.000000,0.000000,0.000000,events/second
1651224573,421,1.376140,0.000000,0.000000,0.000000,events/second
1651224603,421,1.253175,0.000000,0.000000,0.000000,events/second
1651224633,421,1.150379,0.000000,0.000000,0.000000,events/second
1651224663,421,1.063178,0.000000,0.000000,0.000000,events/second
1651224693,421,0.988272,0.000000,0.000000,0.000000,events/second
1651224723,421,0.923200,0.000000,0.000000,0.000000,events/second
1651224753,421,0.866166,0.000000,0.000000,0.000000,events/second
1651224783,421,0.815775,0.000000,0.000000,0.000000,events/second
1651224813,421,0.770936,0.000000,0.000000,0.000000,events/second
1651224843,421,0.730753,0.000000,0.000000,0.000000,events/second
1651224873,421,0.694566,0.000000,0.000000,0.000000,events/second
1651224903,421,0.661786,0.000000,0.000000,0.000000,events/second
1651224933,464,0.696502,0.000000,0.000000,0.000000,events/second
1651224963,464,0.666459,0.000000,0.000000,0.000000,events/second
1651224993,464,0.638908,0.000000,0.000000,0.000000,events/second
1651225023,464,0.613541,0.000000,0.000000,0.000000,events/second
1651225053,464,0.590120,0.000000,0.000000,0.000000,events/second
1651225083,464,0.568420,0.000000,0.000000,0.000000,events/second
1651225113,464,0.548256,0.000000,0.000000,0.000000,events/second
1651225143,464,0.529472,0.000000,0.000000,0.000000,events/second
1651225173,464,0.511932,0.000000,0.000000,0.000000,events/second
1651225203,464,0.495521,0.000000,0.000000,0.000000,events/second
1651225233,464,0.480122,0.000000,0.000000,0.000000,events/second
1651225263,517,0.518836,0.000000,0.000000,0.000000,events/second
1651225293,517,0.503658,0.000000,0.000000,0.000000,events/second
1651225324,517,0.489349,0.000000,0.000000,0.000000,events/second
1651225354,517,0.475827,0.000000,0.000000,0.000000,events/second
1651225384,517,0.463032,0.000000,0.000000,0.000000,events/second
1651225414,517,0.450906,0.000000,0.000000,0.000000,events/second
1651225444,517,0.439399,0.000000,0.000000,0.000000,events/second
1651225474,517,0.428466,0.000000,0.000000,0.000000,events/second
1651225504,517,0.418065,0.000000,0.000000,0.000000,events/second
1651225534,517,0.408159,0.000000,0.000000,0.000000,events/second
1651225564,517,0.398708,0.000000,0.000000,0.000000,events/second
1651225594,517,0.389684,0.000000,0.000000,0.000000,events/second
1651225624,517,0.381063,0.000000,0.000000,0.000000,events/second
1651225654,556,0.400937,0.000000,0.000000,0.000000,events/second
1651225684,556,0.392445,0.000000,0.000000,0.000000,events/second
1651225714,556,0.384303,0.000000,0.000000,0.000000,events/second
1651225744,556,0.376494,0.000000,0.000000,0.000000,events/second
1651225774,556,0.368992,0.000000,0.000000,0.000000,events/second
1651225804,556,0.361784,0.000000,0.000000,0.000000,events/second
1651225834,556,0.354852,0.000000,0.000000,0.000000,events/second
1651225864,556,0.348181,0.000000,0.000000,0.000000,events/second
1651225894,556,0.341755,0.000000,0.000000,0.000000,events/second
1651225924,556,0.335565,0.000000,0.000000,0.000000,events/second
1651225954,556,0.329594,0.000000,0.000000,0.000000,events/second
1651225984,556,0.323833,0.000000,0.000000,0.000000,events/second
1651226014,556,0.318269,0.000000,0.000000,0.000000,events/second
1651226044,556,0.312887,0.000000,0.000000,0.000000,events/second
1651226074,556,0.307690,0.000000,0.000000,0.000000,events/second
1651226104,556,0.302663,0.000000,0.000000,0.000000,events/second
1651226134,556,0.297798,0.000000,0.000000,0.000000,events/second
1651226164,556,0.293085,0.000000,0.000000,0.000000,events/second
1651226194,556,0.288518,0.000000,0.000000,0.000000,events/second
1651226224,624,0.318838,0.000000,0.000000,0.000000,events/second
1651226254,624,0.314022,0.000000,0.000000,0.000000,events/second
1651226284,624,0.309350,0.000000,0.000000,0.000000,events/second
1651226314,624,0.304815,0.000000,0.000000,0.000000,events/second
1651226344,624,0.300410,0.000000,0.000000,0.000000,events/second
1651226374,624,0.296131,0.000000,0.000000,0.000000,events/second
1651226404,624,0.291973,0.000000,0.000000,0.000000,events/second
1651226434,624,0.287930,0.000000,0.000000,0.000000,events/second
1651226464,624,0.283996,0.000000,0.000000,0.000000,events/second
1651226494,624,0.280165,0.000000,0.000000,0.000000,events/second
1651226524,624,0.276440,0.000000,0.000000,0.000000,events/second
1651226554,624,0.272813,0.000000,0.000000,0.000000,events/second
1651226584,624,0.269280,0.000000,0.000000,0.000000,events/second
