t,value
1651224270,8268
1651224302,8546
1651224332,25144
1651224362,25144
1651224393,25144
1651224423,25144
1651224453,25144
1651224483,25144
1651224513,25144
1651224543,25144
1651224573,25144
1651224603,25144
1651224633,25144
1651224663,25144
1651224693,25144
1651224723,25144
1651224753,25144
1651224783,25144
1651224813,25144
1651224843,25144
1651224873,25144
1651224903,25144
1651224933,25144
1651224963,25144
1651224993,25144
1651225023,25144
1651225053,25144
1651225083,25144
1651225113,25144
1651225143,25144
1651225173,25144
1651225203,25144
1651225233,25144
1651225263,25144
1651225293,25144
1651225324,25144
1651225354,25144
1651225384,25144
1651225414,25144
1651225444,25144
1651225474,25144
1651225504,25144
1651225534,25144
1651225564,25144
1651225594,25144
1651225624,25144
1651225654,25144
1651225684,25144
1651225714,25144
1651225744,25144
1651225774,25144
1651225804,25144
1651225834,25144
1651225864,25144
1651225894,25144
1651225924,25144
1651225954,25144
1651225984,25144
1651226014,25144
1651226044,25144
1651226074,25144
1651226104,25144
1651226134,25144
1651226164,25144
1651226194,25144
1651226224,25144
1651226254,25144
1651226284,25144
1651226314,25144
1651226344,25144
1651226374,25144
1651226404,25144
1651226434,25144
1651226464,25144
1651226494,25144
1651226524,25144
1651226554,25144
1651226584,25144
1651226614,25144
1651226644,25144
1651226674,25144
1651226704,25144
1651226734,25144
1651226764,25144
1651226794,25144
1651226826,25144
1651226856,25144
1651226886,25144
1651226916,25144
1651226946,25144
1651226976,25144
1651227006,25144
1651227036,25144
1651227066,25144
1651227096,25144
1651227126,25144
1651227156,25144
1651227186,25144
1651227216,25144
1651227246,25144
1651227276,25144
1651227306,25144
1651227336,25144
1651227366,25144
1651227396,25144
1651227426,25144
1651227456,25144
1651227486,25144
1651227516,25144
1651227546,25144
1651227576,25144
1651227606,25144
1651227636,25144
1651227666,25144
1651227696,25144
1651227726,25144
1651227756,25144
1651227786,25144
1651227816,25144
1651227846,25144
1651227876,25144
1651227906,25144
1651227936,25144
1651227966,25144
1651227996,25144
1651228026,25144
1651228056,25144
1651228086,25144
1651228116,25144
1651228146,25144
1651228176,25144
1651228206,25144
1651228236,25144
1651228266,25144
1651228296,25144
1651228326,25144
1651228356,25144
1651228386,25144
1651228416,25144
1651228446,25144
1651228476,25144
1651228506,25144
1651228536,25144
