t,value
1651224270,15728640
1651224302,115343360
1651224332,167772160
1651224362,168820736
1651224393,187695104
1651224423,188743680
1651224453,207618048
1651224483,208666624
1651224513,226492416
1651224543,227540992
1651224573,67108864
1651224603,74448896
1651224633,96468992
1651224663,103809024
1651224693,140509184
1651224723,164626432
1651224753,187695104
1651224783,208666624
1651224813,230686720
1651224843,241172480
1651224873,267386880
1651224903,283115520
1651224933,18874368
1651224963,32505856
1651224993,55574528
1651225023,62914560
1651225053,95420416
1651225083,112197632
1651225113,133169152
1651225143,155189248
1651225173,177209344
1651225203,190840832
1651225233,219152384
1651225263,2097152
1651225293,30408704
1651225324,49283072
1651225354,80740352
1651225384,88080384
1651225414,111149056
1651225444,131072000
1651225474,153092096
1651225504,167772160
1651225534,201326592
1651225564,243269632
1651225594,282066944
1651225624,289406976
1651225654,31457280
1651225684,53477376
1651225714,75497472
1651225744,82837504
1651225774,103809024
1651225804,111149056
1651225834,131072000
1651225864,139460608
1651225894,159383552
1651225924,167772160
1651225954,188743680
1651225984,195035136
1651226014,217055232
1651226044,224395264
1651226074,246415360
1651226104,252706816
1651226134,274726912
1651226164,282066944
1651226194,301989888
1651226224,14680064
1651226254,35651584
1651226284,42991616
1651226314,63963136
1651226344,71303168
1651226374,92274688
1651226404,99614720
1651226434,120586240
1651226464,127926272
1651226494,148897792
1651226524,155189248
1651226554,177209344
1651226584,183500800
1651226614,205520896
1651226644,211812352
1651226674,233832448
1651226704,241172480
1651226734,262144000
1651226764,268435456
1651226794,290455552
1651226826,296747008
1651226856,13631488
1651226886,19922944
1651226916,41943040
1651226946,48234496
1651226976,70254592
1651227006,75497472
1651227036,100663296
1651227066,105906176
1651227096,135266304
1651227126,149946368
1651227156,191889408
1651227186,197132288
1651227216,220200960
1651227246,225443840
1651227276,250609664
1651227306,256901120
1651227336,282066944
1651227366,4194304
1651227396,28311552
1651227426,35651584
1651227456,62914560
1651227486,1048576
1651227516,36700160
1651227546,54525952
1651227576,89128960
1651227606,94371840
1651227636,118489088
1651227666,138412032
1651227696,193986560
1651227726,226492416
1651227756,290455552
1651227786,8388608
1651227816,46137344
1651227846,67108864
1651227876,111149056
1651227906,123731968
1651227936,159383552
1651227966,163577856
1651227996,227540992
1651228026,247463936
1651228056,3145728
1651228086,7340032
1651228116,39845888
1651228146,83886080
1651228176,131072000
1651228206,147849216
1651228236,211812352
1651228266,253755392
1651228296,293601280
1651228326,12582912
1651228356,37748736
1651228386,45088768
1651228416,72351744
1651228446,89128960
1651228476,123731968
1651228506,128974848
1651228536,153092096
1651228566,157286400
1651228596,181403648
1651228626,187695104
1651228656,210763776
1651228686,214958080
1651228717,239075328
1651228747,243269632
1651228777,267386880
1651228807,271581184
1651228837,295698432
1651228867,299892736
1651228897,22020096
1651228927,27262976
1651228957,50331648
1651228987,55574528
1651229017,78643200
1651229047,82837504
1651229077,108003328
1651229107,112197632
1651229137,135266304
1651229167,150994944
1651229197,174063616
1651229227,178257920
1651229257,203423744
1651229287,208666624
1651229317,233832448
1651229347,239075328
1651229377,262144000
1651229407,267386880
1651229437,290455552
1651229467,296747008
1651229497,19922944
1651229527,24117248
1651229557,47185920
1651229587,51380224
1651229617,75497472
1651229647,79691776
1651229677,104857600
1651229707,109051904
1651229737,139460608
1651229767,143654912
1651229797,170917888
1651229827,177209344
1651229857,203423744
1651229887,225443840
1651229917,277872640
1651229947,291504128
1651229977,5242880
1651230007,18874368
1651230037,33554432
1651230067,58720256
1651230097,72351744
1651230127,85983232
1651230157,100663296
1651230187,114294784
1651230217,128974848
1651230247,142606336
1651230277,157286400
1651230307,170917888
1651230337,185597952
1651230367,199229440
1651230397,213909504
1651230427,227540992
1651230457,241172480
1651230487,255852544
1651230517,269484032
1651230547,283115520
1651230577,297795584
1651230607,13631488
1651230637,28311552
1651230667,41943040
1651230697,56623104
1651230727,70254592
1651230757,83886080
1651230787,98566144
1651230817,112197632
1651230847,126877696
1651230877,141557760
1651230907,155189248
1651230937,168820736
1651230967,183500800
1651230997,197132288
1651231027,210763776
1651231057,225443840
1651231087,239075328
1651231117,252706816
1651231147,267386880
1651231177,282066944
1651231207,295698432
1651231237,9437184
1651231267,22020096
1651231297,36700160
1651231328,50331648
1651231358,65011712
1651231388,78643200
1651231418,93323264
1651231448,106954752
1651231478,121634816
1651231508,135266304
1651231538,149946368
1651231568,163577856
1651231598,178257920
1651231628,191889408
1651231658,206569472
1651231688,220200960
1651231718,234881024
1651231748,247463936
1651231778,263192576
1651231808,276824064
1651231838,291504128
1651231868,305135616
1651231898,12582912
1651231928,26214400
1651231958,40894464
1651231988,54525952
1651232018,69206016
1651232048,82837504
1651232078,97517568
1651232108,112197632
