t,value
1651224270,37053952
1651224302,40894464
1651224332,52113408
1651224362,52113408
1651224393,52113408
1651224423,52113408
1651224453,52113408
1651224483,52113408
1651224513,52113408
1651224543,52113408
1651224573,51589120
1651224603,51589120
1651224633,51589120
1651224663,51589120
1651224693,51589120
1651224723,51589120
1651224753,51589120
1651224783,51589120
1651224813,51589120
1651224843,51589120
1651224873,51589120
1651224903,51589120
1651224933,52113408
1651224963,52113408
1651224993,52113408
1651225023,52113408
1651225053,52113408
1651225083,52113408
1651225113,52113408
1651225143,52113408
1651225173,52113408
1651225203,52113408
1651225233,52113408
1651225263,52113408
1651225293,52113408
1651225324,52113408
1651225354,52113408
1651225384,52113408
1651225414,52113408
1651225444,52113408
1651225474,52113408
1651225504,52113408
1651225534,52113408
1651225564,52113408
1651225594,52113408
1651225624,52113408
1651225654,59896832
1651225684,59896832
1651225714,59896832
1651225744,59896832
1651225774,59896832
1651225804,59896832
1651225834,59896832
1651225864,59896832
1651225894,59896832
1651225924,59896832
1651225954,59896832
1651225984,59896832
1651226014,59896832
1651226044,59896832
1651226074,59896832
1651226104,59896832
1651226134,59896832
1651226164,59896832
1651226194,59896832
1651226224,59896832
1651226254,59896832
1651226284,59896832
1651226314,59896832
1651226344,59896832
1651226374,59896832
1651226404,59896832
1651226434,59896832
1651226464,59896832
1651226494,59896832
1651226524,59896832
1651226554,59896832
1651226584,59896832
1651226614,59896832
1651226644,59896832
1651226674,59896832
1651226704,59896832
1651226734,59896832
1651226764,59896832
1651226794,59896832
1651226826,59896832
1651226856,59896832
1651226886,59896832
1651226916,59896832
1651226946,59896832
1651226976,59896832
1651227006,59896832
1651227036,59896832
1651227066,59896832
1651227096,59896832
1651227126,59896832
1651227156,59896832
1651227186,59896832
1651227216,59896832
1651227246,59896832
1651227276,59896832
1651227306,59896832
1651227336,59896832
1651227366,59896832
1651227396,59896832
1651227426,59896832
1651227456,59896832
1651227486,58848256
1651227516,58848256
1651227546,58848256
1651227576,58848256
1651227606,58848256
1651227636,58848256
1651227666,58848256
1651227696,58848256
1651227726,58848256
1651227756,58848256
1651227786,59896832
1651227816,59896832
1651227846,59896832
1651227876,59896832
1651227906,59896832
1651227936,59896832
1651227966,59896832
1651227996,59896832
1651228026,59896832
