t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224302,1,0.028464,0.000000,0.000000,0.000000,events/second
1651224332,5,0.076654,0.000000,0.000000,0.000000,events/second
1651224362,5,0.052415,0.000000,0.000000,0.000000,events/second
1651224393,5,0.039786,0.000000,0.000000,0.000000,events/second
1651224423,5,0.032108,0.000000,0.000000,0.000000,events/second
1651224453,5,0.026919,0.000000,0.000000,0.000000,events/second
1651224483,5,0.023174,0.000000,0.000000,0.000000,events/second
1651224513,5,0.020339,0.000000,0.000000,0.000000,events/second
1651224543,5,0.018126,0.000000,0.000000,0.000000,events/second
1651224573,15,0.049037,0.000000,0.000000,0.000000,events/second
1651224603,21,0.062514,0.000000,0.000000,0.000000,events/second
1651224633,24,0.065584,0.000000,0.000000,0.000000,events/second
1651224663,30,0.075765,0.000000,0.000000,0.000000,events/second
1651224693,33,0.077470,0.000000,0.000000,0.000000,events/second
1651224723,39,0.085527,0.000000,0.000000,0.000000,events/second
1651224753,42,0.086415,0.000000,0.000000,0.000000,events/second
1651224783,48,0.093014,0.000000,0.000000,0.000000,events/second
1651224813,51,0.093395,0.000000,0.000000,0.000000,events/second
1651224843,60,0.104149,0.000000,0.000000,0.000000,events/second
1651224873,66,0.108891,0.000000,0.000000,0.000000,events/second
1651224903,75,0.117900,0.000000,0.000000,0.000000,events/second
1651224933,78,0.117089,0.000000,0.000000,0.000000,events/second
1651224963,87,0.124966,0.000000,0.000000,0.000000,events/second
1651224993,90,0.123930,0.000000,0.000000,0.000000,events/second
1651225023,96,0.126944,0.000000,0.000000,0.000000,events/second
1651225053,99,0.125913,0.000000,0.000000,0.000000,events/second
1651225083,108,0.132308,0.000000,0.000000,0.000000,events/second
1651225113,111,0.131160,0.000000,0.000000,0.000000,events/second
1651225143,123,0.140359,0.000000,0.000000,0.000000,events/second
1651225173,126,0.139019,0.000000,0.000000,0.000000,events/second
1651225203,135,0.144175,0.000000,0.000000,0.000000,events/second
1651225233,141,0.145903,0.000000,0.000000,0.000000,events/second
1651225263,148,0.148530,0.000000,0.000000,0.000000,events/second
1651225293,156,0.151979,0.000000,0.000000,0.000000,events/second
1651225324,162,0.153339,0.000000,0.000000,0.000000,events/second
1651225354,171,0.157385,0.000000,0.000000,0.000000,events/second
1651225384,177,0.158527,0.000000,0.000000,0.000000,events/second
1651225414,180,0.156992,0.000000,0.000000,0.000000,events/second
1651225444,186,0.158085,0.000000,0.000000,0.000000,events/second
1651225474,189,0.156638,0.000000,0.000000,0.000000,events/second
1651225504,201,0.162539,0.000000,0.000000,0.000000,events/second
1651225534,204,0.161056,0.000000,0.000000,0.000000,events/second
1651225564,210,0.161954,0.000000,0.000000,0.000000,events/second
1651225594,213,0.160550,0.000000,0.000000,0.000000,events/second
1651225624,219,0.161420,0.000000,0.000000,0.000000,events/second
1651225654,222,0.160089,0.000000,0.000000,0.000000,events/second
1651225684,228,0.160933,0.000000,0.000000,0.000000,events/second
1651225714,231,0.159668,0.000000,0.000000,0.000000,events/second
1651225744,237,0.160486,0.000000,0.000000,0.000000,events/second
1651225774,240,0.159280,0.000000,0.000000,0.000000,events/second
1651225804,246,0.160072,0.000000,0.000000,0.000000,events/second
1651225834,249,0.158920,0.000000,0.000000,0.000000,events/second
1651225864,255,0.159689,0.000000,0.000000,0.000000,events/second
1651225894,258,0.158587,0.000000,0.000000,0.000000,events/second
1651225924,264,0.159335,0.000000,0.000000,0.000000,events/second
1651225954,267,0.158279,0.000000,0.000000,0.000000,events/second
1651225984,273,0.159006,0.000000,0.000000,0.000000,events/second
1651226014,276,0.157992,0.000000,0.000000,0.000000,events/second
1651226044,282,0.158697,0.000000,0.000000,0.000000,events/second
1651226074,285,0.157721,0.000000,0.000000,0.000000,events/second
1651226104,291,0.158410,0.000000,0.000000,0.000000,events/second
1651226134,294,0.157471,0.000000,0.000000,0.000000,events/second
1651226164,300,0.158141,0.000000,0.000000,0.000000,events/second
1651226194,303,0.157235,0.000000,0.000000,0.000000,events/second
1651226224,309,0.157888,0.000000,0.000000,0.000000,events/second
1651226254,312,0.157013,0.000000,0.000000,0.000000,events/second
1651226284,318,0.157651,0.000000,0.000000,0.000000,events/second
1651226314,321,0.156805,0.000000,0.000000,0.000000,events/second
1651226344,327,0.157428,0.000000,0.000000,0.000000,events/second
1651226374,330,0.156609,0.000000,0.000000,0.000000,events/second
1651226404,334,0.156282,0.000000,0.000000,0.000000,events/second
1651226434,339,0.156425,0.000000,0.000000,0.000000,events/second
1651226464,343,0.156108,0.000000,0.000000,0.000000,events/second
1651226494,348,0.156247,0.000000,0.000000,0.000000,events/second
1651226524,352,0.155942,0.000000,0.000000,0.000000,events/second
1651226554,357,0.156082,0.000000,0.000000,0.000000,events/second
1651226584,361,0.155786,0.000000,0.000000,0.000000,events/second
1651226614,366,0.155925,0.000000,0.000000,0.000000,events/second
1651226644,370,0.155639,0.000000,0.000000,0.000000,events/second
1651226674,375,0.155775,0.000000,0.000000,0.000000,events/second
1651226704,379,0.155499,0.000000,0.000000,0.000000,events/second
