t,value
1651224270,0
1651224302,0
1651224332,0
1651224362,0
1651224393,0
1651224423,0
1651224453,0
1651224483,0
1651224513,0
1651224543,0
1651224573,5
1651224603,5
1651224633,5
1651224663,5
1651224693,5
1651224723,5
1651224753,5
1651224783,5
1651224813,5
1651224843,5
1651224873,5
1651224903,5
1651224933,5
1651224963,5
1651224993,5
1651225023,5
1651225053,5
1651225083,5
1651225113,5
1651225143,5
1651225173,5
1651225203,5
1651225233,5
1651225263,5
1651225293,5
1651225324,5
1651225354,5
1651225384,5
1651225414,5
1651225444,5
1651225474,5
1651225504,5
1651225534,5
1651225564,5
1651225594,5
1651225624,5
1651225654,5
1651225684,5
1651225714,5
1651225744,5
1651225774,5
1651225804,5
1651225834,5
1651225864,5
1651225894,5
1651225924,5
1651225954,5
1651225984,5
1651226014,5
1651226044,5
1651226074,5
1651226104,5
1651226134,5
1651226164,5
1651226194,5
1651226224,5
1651226254,5
1651226284,5
1651226314,5
1651226344,5
1651226374,5
1651226404,5
1651226434,5
1651226464,5
1651226494,5
1651226524,5
1651226554,5
1651226584,5
1651226614,5
1651226644,5
1651226674,5
1651226704,4
1651226734,5
1651226764,5
1651226794,5
1651226826,5
1651226856,5
1651226886,5
1651226916,5
1651226946,5
1651226976,5
1651227006,5
1651227036,5
1651227066,5
1651227096,5
1651227126,5
1651227156,5
1651227186,5
1651227216,5
1651227246,5
1651227276,5
1651227306,5
1651227336,5
1651227366,5
1651227396,5
1651227426,5
1651227456,5
1651227486,5
1651227516,5
1651227546,5
1651227576,5
1651227606,5
1651227636,5
1651227666,5
1651227696,5
1651227726,5
1651227756,5
1651227786,5
1651227816,5
1651227846,5
1651227876,5
1651227906,5
1651227936,5
1651227966,5
1651227996,5
1651228026,5
1651228056,5
1651228086,5
1651228116,5
1651228146,5
1651228176,5
1651228206,5
1651228236,5
1651228266,5
1651228296,5
1651228326,5
1651228356,5
1651228386,5
1651228416,5
1651228446,5
1651228476,5
1651228506,5
1651228536,5
1651228566,5
1651228596,5
1651228626,5
1651228656,5
1651228686,5
1651228717,5
1651228747,5
1651228777,5
1651228807,5
1651228837,5
1651228867,5
1651228897,5
1651228927,5
1651228957,5
1651228987,5
1651229017,5
1651229047,5
1651229077,5
1651229107,5
1651229137,5
1651229167,5
1651229197,5
1651229227,5
1651229257,5
1651229287,5
1651229317,5
1651229347,5
1651229377,5
1651229407,5
1651229437,5
1651229467,5
1651229497,5
1651229527,5
1651229557,5
1651229587,5
1651229617,5
1651229647,5
1651229677,5
1651229707,5
1651229737,5
1651229767,5
1651229797,5
1651229827,5
1651229857,5
1651229887,5
1651229917,5
1651229947,5
1651229977,5
1651230007,5
1651230037,5
1651230067,5
1651230097,5
1651230127,5
1651230157,5
1651230187,5
1651230217,5
1651230247,5
1651230277,5
1651230307,5
1651230337,5
1651230367,5
1651230397,5
1651230427,5
1651230457,5
1651230487,5
1651230517,5
1651230547,5
1651230577,5
1651230607,5
1651230637,5
1651230667,5
1651230697,5
1651230727,5
1651230757,5
1651230787,5
1651230817,5
1651230847,5
1651230877,5
1651230907,5
1651230937,5
1651230967,5
1651230997,5
1651231027,5
1651231057,5
1651231087,5
1651231117,5
1651231147,5
1651231177,5
1651231207,5
1651231237,5
1651231267,5
1651231297,5
1651231328,5
1651231358,5
1651231388,5
1651231418,5
1651231448,5
1651231478,5
1651231508,5
1651231538,5
1651231568,5
1651231598,5
1651231628,5
1651231658,5
1651231688,5
1651231718,5
1651231748,5
1651231778,5
1651231808,5
1651231838,5
1651231868,5
1651231898,5
1651231928,5
1651231958,5
1651231988,5
1651232018,5
1651232048,5
1651232078,5
1651232108,5
1651232138,5
1651232168,5
1651232198,5
1651232228,5
1651232258,5
1651232288,5
1651232318,5
1651232348,5
1651232378,5
1651232408,5
1651232438,5
1651232468,5
1651232498,5
1651232528,5
1651232558,5
1651232588,5
1651232618,5
1651232648,5
1651232678,5
1651232708,5
1651232738,5
1651232768,5
1651232798,5
1651232828,5
1651232858,5
1651232888,5
1651232918,5
1651232948,5
1651232978,5
1651233008,5
1651233038,5
1651233068,5
1651233098,5
1651233128,5
1651233158,5
1651233188,5
1651233218,5
1651233248,5
1651233278,5
1651233308,5
1651233338,5
1651233368,5
1651233398,5
1651233428,5
1651233458,5
1651233488,5
1651233518,5
1651233548,5
1651233578,5
1651233608,5
1651233638,5
1651233668,5
1651233698,5
1651233728,5
1651233758,5
1651233788,5
1651233818,5
1651233848,5
1651233878,5
1651233908,5
1651233938,5
1651233968,5
1651233998,5
