t,value
1651224270,9223372036854775807
1651224302,9223372036854774511
1651224332,9223372036854775807
1651224362,9223372036854775807
1651224393,9223372036854775807
1651224423,9223372036854775807
1651224453,9223372036854775807
1651224483,9223372036854775807
1651224513,9223372036854775807
1651224543,9223372036854775807
1651224573,9223372036854768383
1651224603,9223372036854767487
1651224633,9223372036854767039
1651224663,9223372036854766143
1651224693,9223372036854764671
1651224723,9223372036854761919
1651224753,9223372036854760639
1651224783,9223372036854759295
1651224813,9223372036854757183
1651224843,9223372036854755135
1651224873,9223372036854753343
1651224903,9223372036854751359
1651224933,9223372036854750335
1651224963,9223372036854747903
1651224993,9223372036854746495
1651225023,9223372036854744191
1651225053,9223372036854741695
1651225083,9223372036854739583
1651225113,9223372036854739135
1651225143,9223372036854735871
1651225173,9223372036854735423
1651225203,9223372036854733183
1651225233,9223372036854730943
1651225263,9223372036854727991
1651225293,9223372036854727039
1651225324,9223372036854726015
1651225354,9223372036854723903
1651225384,9223372036854722751
1651225414,9223372036854720959
1651225444,9223372036854720127
1651225474,9223372036854719615
1651225504,9223372036854717183
1651225534,9223372036854716351
1651225564,9223372036854714367
1651225594,9223372036854713471
1651225624,9223372036854712575
1651225654,9223372036854711103
1651225684,9223372036854709567
1651225714,9223372036854708543
1651225744,9223372036854707647
1651225774,9223372036854707199
1651225804,9223372036854706303
1651225834,9223372036854705855
1651225864,9223372036854704959
1651225894,9223372036854704511
1651225924,9223372036854703615
1651225954,9223372036854703167
1651225984,9223372036854702271
1651226014,9223372036854701695
1651226044,9223372036854700479
1651226074,9223372036854700031
1651226104,9223372036854699135
1651226134,9223372036854698687
1651226164,9223372036854697791
1651226194,9223372036854697343
1651226224,9223372036854696447
1651226254,9223372036854695999
1651226284,9223372036854695103
1651226314,9223372036854694655
1651226344,9223372036854693759
1651226374,9223372036854693311
1651226404,9223372036854692671
1651226434,9223372036854691967
1651226464,9223372036854691327
1651226494,9223372036854690623
1651226524,9223372036854689983
1651226554,9223372036854689279
1651226584,9223372036854688639
1651226614,9223372036854687935
1651226644,9223372036854687295
1651226674,9223372036854686591
1651226704,9223372036854685951
1651226734,9223372036854685247
1651226764,9223372036854684671
1651226794,9223372036854683903
1651226826,9223372036854683327
1651226856,9223372036854682559
1651226886,9223372036854681983
1651226916,9223372036854681215
1651226946,9223372036854680639
1651226976,9223372036854679871
1651227006,9223372036854678399
1651227036,9223372036854676479
1651227066,9223372036854674687
1651227096,9223372036854673343
1651227126,9223372036854672383
1651227156,9223372036854670335
1651227186,9223372036854669439
1651227216,9223372036854668543
1651227246,9223372036854667967
1651227276,9223372036854666559
1651227306,9223372036854665087
1651227336,9223372036854663679
1651227366,9223372036854661311
1651227396,9223372036854660287
1651227426,9223372036854659135
1651227456,9223372036854657471
1651227486,9223372036854657023
1651227516,9223372036854654527
1651227546,9223372036854650431
1651227576,9223372036854648191
1651227606,9223372036854647615
1651227636,9223372036854646719
1651227666,9223372036854644927
1651227696,9223372036854643135
1651227726,9223372036854641855
1651227756,9223372036854639871
1651227786,9223372036854638719
1651227816,9223372036854637311
1651227846,9223372036854636415
1651227876,9223372036854634943
1651227906,9223372036854634239
1651227936,9223372036854633023
1651227966,9223372036854632575
1651227996,9223372036854630591
1651228026,9223372036854629695
1651228056,9223372036854627775
1651228086,9223372036854627327
1651228116,9223372036854626239
1651228146,9223372036854624639
1651228176,9223372036854755711
1651228206,9223372036854754943
1651228236,9223372036854752895
1651228266,9223372036854751679
1651228296,9223372036854750335
1651228326,9223372036854760639
1651228356,9223372036854759615
1651228386,9223372036854758975
1651228416,9223372036854757759
1651228446,9223372036854756479
1651228476,9223372036854754367
1651228506,9223372036854753471
1651228536,9223372036854752575
1651228566,9223372036854752127
1651228596,9223372036854751039
1651228626,9223372036854748415
1651228656,9223372036854747455
1651228686,9223372036854747007
1651228717,9223372036854746111
1651228747,9223372036854745663
1651228777,9223372036854744767
1651228807,9223372036854744319
1651228837,9223372036854743423
1651228867,9223372036854742975
1651228897,9223372036854742079
1651228927,9223372036854741631
1651228957,9223372036854740735
1651228987,9223372036854740287
1651229017,9223372036854739391
1651229047,9223372036854738943
1651229077,9223372036854738047
1651229107,9223372036854737599
1651229137,9223372036854736703
1651229167,9223372036854736255
1651229197,9223372036854735359
1651229227,9223372036854734911
1651229257,9223372036854732863
1651229287,9223372036854731071
1651229317,9223372036854727935
1651229347,9223372036854726911
1651229377,9223372036854726015
1651229407,9223372036854725567
1651229437,9223372036854724671
1651229467,9223372036854722815
1651229497,9223372036854721471
1651229527,9223372036854721023
1651229557,9223372036854719999
1651229587,9223372036854719551
1651229617,9223372036854718655
1651229647,9223372036854718207
1651229677,9223372036854717311
1651229707,9223372036854716607
1651229737,9223372036854714239
1651229767,9223372036854713791
1651229797,9223372036854712127
1651229827,9223372036854710527
1651229857,9223372036854708991
1651229887,9223372036854707391
1651229917,9223372036854703743
1651229947,9223372036854703167
1651229977,9223372036854702271
1651230007,9223372036854701823
1651230037,9223372036854700927
1651230067,9223372036854700479
1651230097,9223372036854699583
1651230127,9223372036854699135
1651230157,9223372036854698239
1651230187,9223372036854697791
1651230217,9223372036854696895
1651230247,9223372036854696447
1651230277,9223372036854695551
1651230307,9223372036854695103
1651230337,9223372036854694207
1651230367,9223372036854693759
1651230397,9223372036854692863
1651230427,9223372036854692415
1651230457,9223372036854691519
1651230487,9223372036854691071
1651230517,9223372036854690175
1651230547,9223372036854689727
1651230577,9223372036854688831
1651230607,9223372036854688383
1651230637,9223372036854687487
1651230667,9223372036854687039
1651230697,9223372036854686143
1651230727,9223372036854685695
1651230757,9223372036854684799
1651230787,9223372036854684351
1651230817,9223372036854683455
1651230847,9223372036854683007
1651230877,9223372036854682111
1651230907,9223372036854681663
1651230937,9223372036854680767
1651230967,9223372036854680319
1651230997,9223372036854679423
1651231027,9223372036854678975
1651231057,9223372036854678079
1651231087,9223372036854677631
1651231117,9223372036854676735
1651231147,9223372036854676287
1651231177,9223372036854675391
1651231207,9223372036854674943
1651231237,9223372036854674047
1651231267,9223372036854673599
1651231297,9223372036854672703
1651231328,9223372036854672255
1651231358,9223372036854671359
1651231388,9223372036854670911
1651231418,9223372036854670015
1651231448,9223372036854669567
1651231478,9223372036854668671
1651231508,9223372036854668223
