t,value
1651224270,0
1651224302,1296
1651224332,0
1651224362,0
1651224393,0
1651224423,0
1651224453,0
1651224483,0
1651224513,0
1651224543,0
1651224573,7424
1651224603,8320
1651224633,8768
1651224663,9664
1651224693,11136
1651224723,13888
1651224753,15168
1651224783,16512
1651224813,18624
1651224843,20672
1651224873,22464
1651224903,24448
1651224933,25472
1651224963,27904
1651224993,29312
1651225023,31616
1651225053,34112
1651225083,36224
1651225113,36672
1651225143,39936
1651225173,40384
1651225203,42624
1651225233,44864
1651225263,47816
1651225293,48768
1651225324,49792
1651225354,51904
1651225384,53056
1651225414,54848
1651225444,55680
1651225474,56192
1651225504,58624
1651225534,59456
1651225564,61440
1651225594,62336
1651225624,63232
1651225654,64704
1651225684,66240
1651225714,67264
1651225744,68160
1651225774,68608
1651225804,69504
1651225834,69952
1651225864,70848
1651225894,71296
1651225924,72192
1651225954,72640
1651225984,73536
1651226014,74112
1651226044,75328
1651226074,75776
1651226104,76672
1651226134,77120
1651226164,78016
1651226194,78464
1651226224,79360
1651226254,79808
1651226284,80704
1651226314,81152
1651226344,82048
1651226374,82496
1651226404,83136
1651226434,83840
1651226464,84480
1651226494,85184
1651226524,85824
1651226554,86528
1651226584,87168
1651226614,87872
1651226644,88512
1651226674,89216
1651226704,89856
1651226734,90560
1651226764,91136
1651226794,91904
1651226826,92480
1651226856,93248
1651226886,93824
1651226916,94592
1651226946,95168
1651226976,95936
1651227006,97408
1651227036,99328
1651227066,101120
1651227096,102464
1651227126,103424
1651227156,105472
1651227186,106368
1651227216,107264
1651227246,107840
1651227276,109248
1651227306,110720
1651227336,112128
1651227366,114496
1651227396,115520
1651227426,116672
1651227456,118336
1651227486,118784
1651227516,121280
1651227546,125376
1651227576,127616
1651227606,128192
1651227636,129088
1651227666,130880
1651227696,132672
1651227726,133952
1651227756,135936
1651227786,137088
1651227816,138496
1651227846,139392
1651227876,140864
1651227906,141568
1651227936,142784
1651227966,143232
1651227996,145216
1651228026,146112
1651228056,148032
1651228086,148480
1651228116,149568
1651228146,151168
1651228176,20096
1651228206,20864
1651228236,22912
1651228266,24128
1651228296,25472
1651228326,15168
1651228356,16192
1651228386,16832
1651228416,18048
1651228446,19328
1651228476,21440
1651228506,22336
1651228536,23232
1651228566,23680
1651228596,24768
1651228626,27392
1651228656,28352
1651228686,28800
1651228717,29696
1651228747,30144
1651228777,31040
1651228807,31488
1651228837,32384
1651228867,32832
1651228897,33728
1651228927,34176
1651228957,35072
1651228987,35520
1651229017,36416
1651229047,36864
1651229077,37760
1651229107,38208
1651229137,39104
1651229167,39552
1651229197,40448
1651229227,40896
1651229257,42944
1651229287,44736
1651229317,47872
1651229347,48896
1651229377,49792
1651229407,50240
1651229437,51136
1651229467,52992
1651229497,54336
1651229527,54784
1651229557,55808
1651229587,56256
1651229617,57152
1651229647,57600
1651229677,58496
1651229707,59200
1651229737,61568
1651229767,62016
1651229797,63680
1651229827,65280
1651229857,66816
1651229887,68416
1651229917,72064
1651229947,72640
1651229977,73536
1651230007,73984
1651230037,74880
1651230067,75328
1651230097,76224
1651230127,76672
1651230157,77568
1651230187,78016
1651230217,78912
1651230247,79360
1651230277,80256
1651230307,80704
1651230337,81600
1651230367,82048
1651230397,82944
1651230427,83392
1651230457,84288
1651230487,84736
1651230517,85632
1651230547,86080
1651230577,86976
1651230607,87424
1651230637,88320
1651230667,88768
1651230697,89664
1651230727,90112
1651230757,91008
1651230787,91456
1651230817,92352
1651230847,92800
1651230877,93696
1651230907,94144
1651230937,95040
1651230967,95488
1651230997,96384
1651231027,96832
1651231057,97728
1651231087,98176
1651231117,99072
1651231147,99520
1651231177,100416
1651231207,100864
1651231237,101760
1651231267,102208
1651231297,103104
1651231328,103552
1651231358,104448
1651231388,104896
1651231418,105792
1651231448,106240
1651231478,107136
1651231508,107584
1651231538,108480
1651231568,108928
1651231598,109952
1651231628,110400
1651231658,111296
1651231688,111744
1651231718,112640
1651231748,113088
1651231778,8256
1651231808,8640
1651231838,9536
1651231868,9984
1651231898,10880
1651231928,11328
1651231958,11264
1651231988,11712
1651232018,12608
1651232048,13056
1651232078,13952
1651232108,16384
1651232138,17536
1651232168,17984
1651232198,18880
1651232228,19328
1651232258,20224
1651232288,20544
1651232318,21440
1651232348,21888
1651232378,22784
1651232408,23232
1651232438,24128
1651232468,24576
1651232498,25472
1651232528,25920
1651232558,26816
1651232588,27264
1651232618,28160
1651232648,28608
1651232678,29504
1651232708,29952
1651232738,30848
1651232768,31296
1651232798,32192
1651232828,32640
1651232858,33536
1651232888,33984
1651232918,34880
1651232948,35328
1651232978,36224
1651233008,36672
1651233038,37568
1651233068,38016
1651233098,38912
1651233128,39360
1651233158,40256
1651233188,40704
1651233218,41600
1651233248,42048
1651233278,42944
1651233308,43392
1651233338,44288
1651233368,44736
1651233398,45632
1651233428,46080
1651233458,46976
1651233488,47424
1651233518,48320
1651233548,48768
1651233578,49664
1651233608,50112
1651233638,51008
1651233668,51456
1651233698,52352
1651233728,52800
1651233758,53696
1651233788,54144
1651233818,55040
1651233848,55488
1651233878,56384
1651233908,57088
1651233938,57984
1651233968,58432
1651233998,59328
1651234028,59776
1651234058,60672
1651234088,61120
1651234119,62016
1651234149,62464
1651234179,63360
1651234209,63808
1651234239,65024
1651234269,65728
1651234299,66624
1651234329,67072
1651234359,67968
1651234389,68416
1651234419,69312
1651234449,69760
1651234479,70656
1651234509,71104
1651234539,72000
1651234569,72448
1651234599,73344
1651234629,73792
1651234659,74688
1651234689,75136
1651234719,76032
1651234749,76480
1651234779,77376
1651234809,78144
1651234839,79360
1651234869,79808
1651234899,81088
1651234929,82624
1651234959,84992
1651234989,86656
1651235019,88256
1651235049,88896
1651235079,89792
1651235109,90176
1651235139,91072
1651235169,91520
1651235199,92416
1651235229,92928
1651235259,93824
1651235289,94272
1651235319,95168
1651235349,95616
1651235379,8128
1651235409,8576
1651235439,10056
1651235469,9920
1651235499,11400
1651235529,11264
1651235559,11968
1651235589,12608
1651235619,13312
1651235649,13952
1651235679,14656
1651235709,15296
1651235739,16000
1651235769,16640
1651235799,17216
1651235829,17984
1651235859,18560
1651235889,18496
1651235919,19072
1651235949,19840
1651235979,20416
1651236009,21120
1651236039,21568
1651236069,22464
1651236099,22912
1651236129,23808
1651236159,24256
1651236189,25152
1651236219,25600
1651236249,26496
1651236279,26944
1651236309,27840
1651236339,29568
1651236369,30784
1651236399,33216
1651236429,35136
1651236459,36352
1651236489,40400
1651236520,41216
1651236550,42112
1651236580,44928
1651236610,47424
1651236640,49472
1651236670,52800
1651236700,55296
1651236730,56192
1651236760,56768
1651236790,58624
1651236820,59264
1651236850,61056
1651236880,61504
1651236910,62400
1651236940,65536
1651236970,66432
1651237000,66880
1651237030,67776
1651237060,68224
1651237090,69120
1651237120,69568
1651237150,70464
1651237180,72256
1651237210,74432
1651237240,74880
1651237270,75776
1651237300,76224
1651237330,77120
1651237360,77568
1651237390,78464
1651237420,78912
1651237450,79808
1651237480,80256
1651237510,81152
1651237540,81600
1651237570,82496
1651237600,82944
1651237630,83840
1651237660,85056
1651237690,86592
1651237720,87040
1651237750,88000
1651237780,88512
1651237810,90624
1651237840,91136
1651237870,92032
1651237900,92480
1651237930,93376
1651237960,96960
1651237990,97856
1651238020,98304
1651238050,99200
1651238080,101120
1651238110,102016
1651238140,102464
1651238170,103360
1651238200,103808
1651238230,104704
1651238260,105792
1651238290,108416
1651238320,111872
1651238350,113088
1651238380,114944
1651238410,116480
1651238440,116928
1651238470,117824
1651238500,118272
1651238530,119168
1651238560,119616
1651238590,120512
1651238620,121216
1651238651,124416
1651238681,126720
1651238711,130240
1651238741,132608
1651238771,133632
1651238801,134016
1651238831,134912
1651238861,136768
1651238891,138304
1651238921,138752
1651238951,139648
1651238981,16000
1651239011,16960
1651239041,18432
1651239071,19392
1651239101,19840
1651239131,20736
1651239161,21184
1651239191,22592
1651239221,25152
1651239251,27392
1651239281,27840
1651239311,29120
1651239341,31104
1651239371,32000
1651239401,32448
1651239431,33344
1651239461,33856
1651239491,25408
1651239521,25856
1651239551,26624
1651239581,27072
1651239611,27968
1651239641,28480
1651239671,29376
1651239701,29824
1651239731,31616
1651239761,34112
1651239791,36480
1651239821,38656
1651239851,41216
1651239881,43712
1651239911,47168
1651239941,50048
1651239971,51776
1651240001,52608
1651240031,55936
1651240061,57536
1651240091,60032
1651240121,63936
1651240151,66432
1651240181,69056
1651240211,70336
1651240241,70976
1651240271,71936
1651240301,72384
1651240331,73216
1651240361,73664
1651240391,74624
1651240421,75072
1651240451,75776
1651240481,76352
1651240511,77056
1651240541,77760
1651240571,78400
1651240602,79104
1651240632,79680
1651240662,80448
1651240692,81024
1651240722,83904
1651240752,85632
1651240782,86528
1651240812,87104
1651240842,87872
1651240872,88320
1651240902,89152
1651240932,89664
1651240962,90560
1651240992,91008
1651241022,91904
1651241052,92352
1651241082,93184
1651241112,93632
1651241142,94592
1651241172,95040
1651241202,95936
1651241232,96384
1651241262,97280
1651241292,97728
1651241322,98624
1651241352,99072
1651241382,99968
1651241412,100416
1651241442,101248
1651241472,101696
1651241502,102592
1651241532,103040
1651241562,103936
1651241592,104448
1651241622,105344
1651241652,105792
1651241682,106688
1651241712,107136
1651241742,108032
1651241772,108480
1651241802,109376
1651241832,109824
1651241862,110720
1651241892,111168
1651241922,112000
1651241952,112448
1651241982,113408
1651242012,113856
1651242042,114752
1651242072,115200
1651242102,116096
1651242132,116480
1651242162,117440
1651242192,117888
1651242222,118784
1651242252,119168
1651242282,120064
1651242312,120512
1651242342,121472
1651242372,121920
1651242402,122816
1651242432,123264
1651242463,124160
1651242493,124608
1651242523,125504
1651242553,125952
1651242583,126784
1651242613,17728
1651242643,18624
1651242673,19072
1651242703,20032
1651242733,20416
1651242763,21312
1651242793,21760
1651242823,22656
1651242853,23104
1651242883,24000
1651242913,24448
1651242943,25344
1651242973,25856
1651243003,26752
1651243033,27200
1651243063,28096
1651243093,28544
1651243123,19968
1651243153,20416
1651243183,21312
1651243213,21760
1651243243,22528
1651243273,22976
1651243303,23872
1651243333,24320
1651243363,25216
1651243393,25664
1651243423,26624
1651243453,27072
1651243483,27968
1651243513,28416
1651244015,1536
1651244045,2432
1651244075,2880
1651244105,3776
1651244135,4224
1651244165,5120
1651244195,5568
1651244225,6464
1651244255,6912
1651244285,9088
1651244315,9536
1651244345,10432
1651244375,10880
1651244405,11776
1651244435,12224
1651244465,13120
1651244495,13568
1651244525,14464
1651244555,14912
1651244585,15808
1651244615,16256
1651244645,17152
1651244675,17600
1651244705,18496
1651244736,18944
1651244766,19840
1651244796,20288
1651244826,21184
1651244856,21568
1651244886,22464
1651244916,22912
1651244946,23808
1651244976,24256
1651245006,25152
1651245036,25600
1651245066,26496
1651245096,26944
1651245126,27840
1651245156,28288
1651245186,29184
1651245216,29632
1651245246,30528
1651245276,30976
1651245306,31872
1651245336,32320
1651245366,33216
1651245396,33664
1651245426,34560
1651245456,35008
1651245486,35904
1651245516,36352
1651245546,37248
1651245576,37696
1651245606,38592
1651245636,39040
1651245666,39936
1651245696,40384
1651245726,41280
1651245756,41728
1651245786,42624
1651245816,43072
1651245846,43968
1651245876,44416
1651245906,45312
1651245936,45760
1651245966,46656
1651245996,47104
1651246026,48000
1651246056,48448
1651246086,49344
1651246116,49792
1651246146,50688
1651246176,51136
1651246206,52616
1651246236,52480
1651246266,53184
1651246296,53824
1651246326,54528
1651246356,55168
1651246386,55872
1651246416,56512
1651246446,57216
1651246476,57856
1651246506,58560
1651246536,59200
1651246566,59776
1651246596,60544
1651246626,61120
1651246656,61888
1651246686,62464
1651246716,63232
1651246746,63808
1651246776,64576
1651246806,65152
1651247942,1536
1651247972,2432
1651248002,2880
1651248032,3776
1651248062,4224
1651248092,5120
1651248122,5568
1651248152,6464
1651248182,6912
1651248212,7808
1651248242,8256
1651248272,9152
1651248302,9600
1651248332,10496
1651248362,10944
1651248392,11840
1651248422,12288
1651248452,13184
1651248482,13632
1651248512,14528
1651248542,14976
1651248572,15872
1651248602,16320
1651248632,17216
1651248662,17664
1651248692,18560
1651248722,19008
1651248752,19904
1651248782,20352
1651248812,21248
1651248842,21696
1651248872,22592
1651248902,23040
1651248932,23936
1651248962,24384
1651248992,26560
1651249022,27008
1651249052,27904
1651249082,28352
1651249112,29248
1651249142,29696
1651249172,31296
1651249202,31936
1651249232,32960
1651249262,34112
1651249292,35456
1651249322,36672
1651249352,38656
1651249382,39936
1651249412,42560
1651249442,43200
1651249472,44224
1651249502,44672
1651249532,45568
1651249562,46016
1651249592,46912
1651249622,47360
