t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1651224270,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1651224302,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1651224332,6,448,283.166667,110,120.653913,260.500000,405.250000,448.000000,448.000000,448.000000,448.000000
1651224362,6,448,283.166667,110,120.653913,260.500000,405.250000,448.000000,448.000000,448.000000,448.000000
1651224393,6,448,283.166667,110,120.653913,260.500000,405.250000,448.000000,448.000000,448.000000,448.000000
1651224423,6,448,283.166667,110,120.653913,260.500000,405.250000,448.000000,448.000000,448.000000,448.000000
1651224453,6,448,283.166667,110,120.653913,260.500000,405.250000,448.000000,448.000000,448.000000,448.000000
1651224483,6,448,283.166667,110,120.653913,260.500000,405.250000,448.000000,448.000000,448.000000,448.000000
1651224513,6,448,283.166667,110,120.653913,260.500000,405.250000,448.000000,448.000000,448.000000,448.000000
1651224543,6,448,283.166667,110,120.653913,260.500000,405.250000,448.000000,448.000000,448.000000,448.000000
1651224573,8,5515,984.375000,110,1838.247608,328.000000,607.750000,5515.000000,5515.000000,5515.000000,5515.000000
1651224603,10,5515,794.500000,28,1669.872866,260.500000,501.250000,5515.000000,5515.000000,5515.000000,5515.000000
1651224633,11,5515,724.181818,21,1601.255434,256.000000,448.000000,5515.000000,5515.000000,5515.000000,5515.000000
1651224663,13,5515,615.923077,19,1485.434025,229.000000,419.500000,5515.000000,5515.000000,5515.000000,5515.000000
1651224693,20,5515,439.950000,5,1209.992800,66.000000,359.500000,5272.300000,5515.000000,5515.000000,5515.000000
1651224723,25,5515,363.520000,5,1088.054729,65.000000,260.500000,4058.800000,5515.000000,5515.000000,5515.000000
1651224753,26,5515,351.576923,5,1067.809503,59.000000,258.250000,3816.100000,5515.000000,5515.000000,5515.000000
1651224783,28,5515,335.571429,5,1029.642888,59.000000,252.250000,3330.700000,5515.000000,5515.000000,5515.000000
1651224813,29,5515,325.344828,5,1012.587960,53.000000,248.500000,3088.000000,5515.000000,5515.000000,5515.000000
1651224843,32,5515,297.875000,5,966.254283,53.000000,238.000000,2359.900000,5515.000000,5515.000000,5515.000000
1651224873,34,5515,281.970588,5,938.740242,47.500000,232.000000,1874.500000,5515.000000,5515.000000,5515.000000
1651224903,41,5515,245.243902,3,856.956731,42.000000,168.500000,646.200000,5515.000000,5515.000000,5515.000000
1651224933,42,5515,239.738095,3,847.193273,42.000000,152.750000,638.800000,5515.000000,5515.000000,5515.000000
1651224963,48,5515,215.291667,3,794.227470,40.500000,130.250000,594.400000,5515.000000,5515.000000,5515.000000
1651224993,50,5515,207.260000,3,778.867069,39.000000,116.750000,579.600000,5417.920000,5515.000000,5515.000000
1651225023,52,5515,200.211538,3,764.271467,39.000000,104.250000,564.800000,5223.760000,5515.000000,5515.000000
1651225053,56,5515,190.214286,3,736.946223,39.000000,105.750000,535.200000,4835.440000,5515.000000,5515.000000
1651225083,62,5515,175.419355,3,701.393100,37.000000,97.250000,503.250000,4252.960000,5515.000000,5515.000000
1651225113,63,5515,172.841270,3,696.014581,37.000000,93.000000,500.000000,4155.880000,5515.000000,5515.000000
