t,value
1651224270,8
1651224302,8
1651224332,8
1651224362,8
1651224393,8
1651224423,8
1651224453,8
1651224483,8
1651224513,8
1651224543,8
1651224573,8
1651224603,8
1651224633,8
1651224663,8
1651224693,8
1651224723,8
1651224753,8
1651224783,8
1651224813,8
1651224843,8
1651224873,8
1651224903,10
1651224933,10
1651224963,10
1651224993,10
1651225023,10
1651225053,10
1651225083,10
1651225113,10
1651225143,10
1651225173,10
1651225203,10
1651225233,10
1651225263,10
1651225293,10
1651225324,10
1651225354,14
1651225384,14
1651225414,14
1651225444,14
1651225474,14
1651225504,18
1651225534,18
1651225564,18
1651225594,18
1651225624,18
1651225654,18
1651225684,18
1651225714,18
1651225744,18
1651225774,18
1651225804,18
1651225834,18
1651225864,18
1651225894,18
1651225924,18
1651225954,18
1651225984,18
1651226014,18
1651226044,18
1651226074,18
1651226104,18
1651226134,18
1651226164,18
1651226194,18
1651226224,18
1651226254,18
1651226284,18
1651226314,18
1651226344,18
1651226374,18
1651226404,18
1651226434,18
1651226464,18
1651226494,18
1651226524,18
1651226554,18
1651226584,18
1651226614,18
1651226644,18
1651226674,18
1651226704,18
1651226734,18
1651226764,18
1651226794,18
1651226826,18
1651226856,18
1651226886,18
1651226916,18
1651226946,18
1651226976,18
1651227006,18
1651227036,18
1651227066,18
1651227096,18
1651227126,18
1651227156,18
1651227186,18
1651227216,18
1651227246,18
1651227276,18
1651227306,18
1651227336,18
1651227366,18
1651227396,18
1651227426,18
1651227456,18
1651227486,18
1651227516,18
1651227546,18
1651227576,18
1651227606,18
1651227636,18
1651227666,18
1651227696,18
1651227726,18
1651227756,18
1651227786,18
1651227816,18
1651227846,18
1651227876,18
1651227906,18
1651227936,18
1651227966,18
1651227996,18
1651228026,18
1651228056,18
1651228086,18
1651228116,18
1651228146,18
1651228176,18
1651228206,18
1651228236,18
1651228266,18
1651228296,18
1651228326,30
1651228356,30
1651228386,30
1651228416,30
1651228446,30
1651228476,30
1651228506,30
1651228536,30
1651228566,30
1651228596,30
1651228626,30
1651228656,30
1651228686,30
1651228717,30
1651228747,30
1651228777,30
1651228807,30
1651228837,30
1651228867,30
1651228897,30
1651228927,30
1651228957,30
1651228987,30
1651229017,30
1651229047,30
1651229077,30
1651229107,30
1651229137,30
1651229167,30
1651229197,30
1651229227,30
1651229257,30
1651229287,30
1651229317,30
1651229347,30
1651229377,30
1651229407,30
1651229437,30
1651229467,30
1651229497,30
1651229527,30
1651229557,30
1651229587,30
1651229617,30
1651229647,30
1651229677,30
1651229707,30
1651229737,30
1651229767,30
1651229797,30
1651229827,30
1651229857,30
1651229887,30
1651229917,30
1651229947,30
1651229977,30
1651230007,30
1651230037,30
1651230067,30
1651230097,30
1651230127,30
1651230157,30
1651230187,30
1651230217,30
1651230247,30
1651230277,30
1651230307,30
1651230337,30
1651230367,30
1651230397,30
1651230427,30
1651230457,30
1651230487,30
1651230517,30
1651230547,30
1651230577,30
1651230607,30
1651230637,30
1651230667,30
1651230697,30
1651230727,30
1651230757,30
1651230787,30
1651230817,30
1651230847,30
1651230877,30
1651230907,30
1651230937,30
1651230967,30
1651230997,30
1651231027,30
1651231057,30
1651231087,30
1651231117,30
1651231147,30
1651231177,30
1651231207,30
1651231237,30
1651231267,30
1651231297,30
1651231328,30
1651231358,30
1651231388,30
1651231418,30
1651231448,30
1651231478,30
1651231508,30
1651231538,30
1651231568,30
1651231598,30
1651231628,30
1651231658,30
1651231688,30
1651231718,30
1651231748,30
1651231778,30
1651231808,30
1651231838,30
1651231868,30
1651231898,30
1651231928,30
1651231958,30
1651231988,30
1651232018,30
1651232048,30
1651232078,30
1651232108,30
1651232138,30
1651232168,30
1651232198,30
1651232228,30
1651232258,30
1651232288,30
1651232318,30
1651232348,30
1651232378,30
1651232408,30
1651232438,30
1651232468,30
1651232498,30
1651232528,30
1651232558,30
1651232588,30
1651232618,30
1651232648,30
1651232678,30
1651232708,30
1651232738,30
1651232768,30
1651232798,30
1651232828,30
1651232858,30
1651232888,30
1651232918,30
1651232948,30
1651232978,30
1651233008,30
1651233038,30
1651233068,30
1651233098,30
1651233128,30
1651233158,30
1651233188,30
1651233218,30
1651233248,30
1651233278,30
