t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,1,0.084171,0.000000,0.000000,0.000000,events/second
1651224302,1,0.023404,0.000000,0.000000,0.000000,events/second
1651224332,1,0.013726,0.000000,0.000000,0.000000,events/second
1651224362,1,0.009705,0.000000,0.000000,0.000000,events/second
1651224393,1,0.007504,0.000000,0.000000,0.000000,events/second
1651224423,1,0.006123,0.000000,0.000000,0.000000,events/second
1651224453,1,0.005172,0.000000,0.000000,0.000000,events/second
1651224483,1,0.004477,0.000000,0.000000,0.000000,events/second
1651224513,1,0.003946,0.000000,0.000000,0.000000,events/second
1651224543,1,0.003528,0.000000,0.000000,0.000000,events/second
1651224573,1,0.003190,0.000000,0.000000,0.000000,events/second
1651224603,1,0.002911,0.000000,0.000000,0.000000,events/second
1651224633,1,0.002677,0.000000,0.000000,0.000000,events/second
1651224663,1,0.002478,0.000000,0.000000,0.000000,events/second
1651224693,1,0.002306,0.000000,0.000000,0.000000,events/second
1651224723,1,0.002157,0.000000,0.000000,0.000000,events/second
1651224753,1,0.002026,0.000000,0.000000,0.000000,events/second
1651224783,1,0.001910,0.000000,0.000000,0.000000,events/second
1651224813,1,0.001806,0.000000,0.000000,0.000000,events/second
1651224843,1,0.001713,0.000000,0.000000,0.000000,events/second
1651224873,1,0.001629,0.000000,0.000000,0.000000,events/second
1651224903,2,0.003107,0.000000,0.000000,0.000000,events/second
1651224933,2,0.002968,0.000000,0.000000,0.000000,events/second
1651224963,2,0.002842,0.000000,0.000000,0.000000,events/second
1651224993,2,0.002726,0.000000,0.000000,0.000000,events/second
1651225023,2,0.002618,0.000000,0.000000,0.000000,events/second
1651225053,2,0.002519,0.000000,0.000000,0.000000,events/second
1651225083,2,0.002428,0.000000,0.000000,0.000000,events/second
1651225113,2,0.002342,0.000000,0.000000,0.000000,events/second
1651225143,2,0.002263,0.000000,0.000000,0.000000,events/second
1651225173,2,0.002188,0.000000,0.000000,0.000000,events/second
1651225203,2,0.002119,0.000000,0.000000,0.000000,events/second
1651225233,2,0.002053,0.000000,0.000000,0.000000,events/second
1651225263,2,0.001992,0.000000,0.000000,0.000000,events/second
1651225293,2,0.001934,0.000000,0.000000,0.000000,events/second
1651225324,2,0.001880,0.000000,0.000000,0.000000,events/second
1651225354,2,0.001828,0.000000,0.000000,0.000000,events/second
1651225384,2,0.001779,0.000000,0.000000,0.000000,events/second
1651225414,2,0.001733,0.000000,0.000000,0.000000,events/second
1651225444,2,0.001689,0.000000,0.000000,0.000000,events/second
1651225474,2,0.001647,0.000000,0.000000,0.000000,events/second
1651225504,2,0.001607,0.000000,0.000000,0.000000,events/second
1651225534,2,0.001570,0.000000,0.000000,0.000000,events/second
1651225564,2,0.001533,0.000000,0.000000,0.000000,events/second
1651225594,2,0.001499,0.000000,0.000000,0.000000,events/second
1651225624,2,0.001466,0.000000,0.000000,0.000000,events/second
1651225654,2,0.001434,0.000000,0.000000,0.000000,events/second
1651225684,2,0.001404,0.000000,0.000000,0.000000,events/second
1651225714,2,0.001375,0.000000,0.000000,0.000000,events/second
1651225744,2,0.001347,0.000000,0.000000,0.000000,events/second
1651225774,2,0.001321,0.000000,0.000000,0.000000,events/second
1651225804,2,0.001295,0.000000,0.000000,0.000000,events/second
1651225834,2,0.001270,0.000000,0.000000,0.000000,events/second
1651225864,2,0.001247,0.000000,0.000000,0.000000,events/second
1651225894,2,0.001224,0.000000,0.000000,0.000000,events/second
1651225924,2,0.001202,0.000000,0.000000,0.000000,events/second
1651225954,2,0.001180,0.000000,0.000000,0.000000,events/second
1651225984,2,0.001160,0.000000,0.000000,0.000000,events/second
1651226014,2,0.001140,0.000000,0.000000,0.000000,events/second
1651226044,2,0.001121,0.000000,0.000000,0.000000,events/second
1651226074,2,0.001102,0.000000,0.000000,0.000000,events/second
1651226104,2,0.001084,0.000000,0.000000,0.000000,events/second
1651226134,2,0.001067,0.000000,0.000000,0.000000,events/second
1651226164,2,0.001050,0.000000,0.000000,0.000000,events/second
1651226194,2,0.001034,0.000000,0.000000,0.000000,events/second
1651226224,2,0.001018,0.000000,0.000000,0.000000,events/second
1651226254,2,0.001003,0.000000,0.000000,0.000000,events/second
1651226284,2,0.000988,0.000000,0.000000,0.000000,events/second
1651226314,2,0.000973,0.000000,0.000000,0.000000,events/second
1651226344,2,0.000959,0.000000,0.000000,0.000000,events/second
1651226374,2,0.000946,0.000000,0.000000,0.000000,events/second
1651226404,2,0.000933,0.000000,0.000000,0.000000,events/second
1651226434,2,0.000920,0.000000,0.000000,0.000000,events/second
1651226464,2,0.000907,0.000000,0.000000,0.000000,events/second
1651226494,2,0.000895,0.000000,0.000000,0.000000,events/second
1651226524,2,0.000883,0.000000,0.000000,0.000000,events/second
1651226554,2,0.000872,0.000000,0.000000,0.000000,events/second
1651226584,2,0.000860,0.000000,0.000000,0.000000,events/second
1651226614,2,0.000849,0.000000,0.000000,0.000000,events/second
1651226644,2,0.000839,0.000000,0.000000,0.000000,events/second
1651226674,2,0.000828,0.000000,0.000000,0.000000,events/second
1651226704,2,0.000818,0.000000,0.000000,0.000000,events/second
1651226734,2,0.000808,0.000000,0.000000,0.000000,events/second
1651226764,2,0.000798,0.000000,0.000000,0.000000,events/second
1651226794,2,0.000789,0.000000,0.000000,0.000000,events/second
1651226826,2,0.000780,0.000000,0.000000,0.000000,events/second
1651226856,2,0.000771,0.000000,0.000000,0.000000,events/second
1651226886,2,0.000762,0.000000,0.000000,0.000000,events/second
1651226916,2,0.000753,0.000000,0.000000,0.000000,events/second
1651226946,2,0.000745,0.000000,0.000000,0.000000,events/second
1651226976,2,0.000737,0.000000,0.000000,0.000000,events/second
1651227006,2,0.000729,0.000000,0.000000,0.000000,events/second
1651227036,2,0.000721,0.000000,0.000000,0.000000,events/second
1651227066,2,0.000713,0.000000,0.000000,0.000000,events/second
1651227096,2,0.000705,0.000000,0.000000,0.000000,events/second
1651227126,2,0.000698,0.000000,0.000000,0.000000,events/second
1651227156,2,0.000691,0.000000,0.000000,0.000000,events/second
1651227186,2,0.000684,0.000000,0.000000,0.000000,events/second
1651227216,2,0.000677,0.000000,0.000000,0.000000,events/second
1651227246,2,0.000670,0.000000,0.000000,0.000000,events/second
1651227276,2,0.000663,0.000000,0.000000,0.000000,events/second
1651227306,2,0.000657,0.000000,0.000000,0.000000,events/second
1651227336,2,0.000650,0.000000,0.000000,0.000000,events/second
1651227366,2,0.000644,0.000000,0.000000,0.000000,events/second
1651227396,2,0.000638,0.000000,0.000000,0.000000,events/second
1651227426,2,0.000632,0.000000,0.000000,0.000000,events/second
1651227456,2,0.000626,0.000000,0.000000,0.000000,events/second
1651227486,2,0.000620,0.000000,0.000000,0.000000,events/second
1651227516,2,0.000614,0.000000,0.000000,0.000000,events/second
1651227546,2,0.000609,0.000000,0.000000,0.000000,events/second
1651227576,2,0.000603,0.000000,0.000000,0.000000,events/second
1651227606,2,0.000598,0.000000,0.000000,0.000000,events/second
1651227636,2,0.000593,0.000000,0.000000,0.000000,events/second
1651227666,2,0.000587,0.000000,0.000000,0.000000,events/second
1651227696,2,0.000582,0.000000,0.000000,0.000000,events/second
1651227726,2,0.000577,0.000000,0.000000,0.000000,events/second
1651227756,2,0.000572,0.000000,0.000000,0.000000,events/second
1651227786,2,0.000567,0.000000,0.000000,0.000000,events/second
1651227816,2,0.000563,0.000000,0.000000,0.000000,events/second
1651227846,2,0.000558,0.000000,0.000000,0.000000,events/second
1651227876,2,0.000553,0.000000,0.000000,0.000000,events/second
1651227906,2,0.000549,0.000000,0.000000,0.000000,events/second
1651227936,2,0.000544,0.000000,0.000000,0.000000,events/second
1651227966,2,0.000540,0.000000,0.000000,0.000000,events/second
1651227996,2,0.000535,0.000000,0.000000,0.000000,events/second
1651228026,2,0.000531,0.000000,0.000000,0.000000,events/second
1651228056,2,0.000527,0.000000,0.000000,0.000000,events/second
1651228086,2,0.000523,0.000000,0.000000,0.000000,events/second
1651228116,2,0.000519,0.000000,0.000000,0.000000,events/second
1651228146,2,0.000515,0.000000,0.000000,0.000000,events/second
