t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224302,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224332,1,0.013727,0.000000,0.000000,0.000000,events/second
1651224362,1,0.009705,0.000000,0.000000,0.000000,events/second
1651224393,1,0.007504,0.000000,0.000000,0.000000,events/second
1651224423,1,0.006123,0.000000,0.000000,0.000000,events/second
1651224453,1,0.005173,0.000000,0.000000,0.000000,events/second
1651224483,1,0.004477,0.000000,0.000000,0.000000,events/second
1651224513,1,0.003946,0.000000,0.000000,0.000000,events/second
1651224543,1,0.003528,0.000000,0.000000,0.000000,events/second
1651224573,1,0.003190,0.000000,0.000000,0.000000,events/second
1651224603,1,0.002911,0.000000,0.000000,0.000000,events/second
1651224633,1,0.002677,0.000000,0.000000,0.000000,events/second
1651224663,1,0.002478,0.000000,0.000000,0.000000,events/second
1651224693,1,0.002306,0.000000,0.000000,0.000000,events/second
1651224723,1,0.002157,0.000000,0.000000,0.000000,events/second
1651224753,1,0.002026,0.000000,0.000000,0.000000,events/second
1651224783,1,0.001910,0.000000,0.000000,0.000000,events/second
1651224813,1,0.001806,0.000000,0.000000,0.000000,events/second
1651224843,1,0.001713,0.000000,0.000000,0.000000,events/second
1651224873,1,0.001629,0.000000,0.000000,0.000000,events/second
1651224903,1,0.001553,0.000000,0.000000,0.000000,events/second
1651224933,1,0.001484,0.000000,0.000000,0.000000,events/second
1651224963,1,0.001421,0.000000,0.000000,0.000000,events/second
1651224993,1,0.001363,0.000000,0.000000,0.000000,events/second
1651225023,1,0.001309,0.000000,0.000000,0.000000,events/second
1651225053,1,0.001260,0.000000,0.000000,0.000000,events/second
1651225083,1,0.001214,0.000000,0.000000,0.000000,events/second
1651225113,1,0.001171,0.000000,0.000000,0.000000,events/second
1651225143,1,0.001131,0.000000,0.000000,0.000000,events/second
1651225173,1,0.001094,0.000000,0.000000,0.000000,events/second
1651225203,1,0.001059,0.000000,0.000000,0.000000,events/second
1651225233,1,0.001027,0.000000,0.000000,0.000000,events/second
1651225263,1,0.000996,0.000000,0.000000,0.000000,events/second
1651225293,1,0.000967,0.000000,0.000000,0.000000,events/second
1651225324,1,0.000940,0.000000,0.000000,0.000000,events/second
1651225354,1,0.000914,0.000000,0.000000,0.000000,events/second
1651225384,1,0.000890,0.000000,0.000000,0.000000,events/second
1651225414,1,0.000866,0.000000,0.000000,0.000000,events/second
1651225444,1,0.000844,0.000000,0.000000,0.000000,events/second
1651225474,1,0.000824,0.000000,0.000000,0.000000,events/second
1651225504,1,0.000804,0.000000,0.000000,0.000000,events/second
1651225534,1,0.000785,0.000000,0.000000,0.000000,events/second
1651225564,1,0.000767,0.000000,0.000000,0.000000,events/second
1651225594,1,0.000749,0.000000,0.000000,0.000000,events/second
1651225624,1,0.000733,0.000000,0.000000,0.000000,events/second
1651225654,1,0.000717,0.000000,0.000000,0.000000,events/second
1651225684,1,0.000702,0.000000,0.000000,0.000000,events/second
1651225714,1,0.000688,0.000000,0.000000,0.000000,events/second
1651225744,1,0.000674,0.000000,0.000000,0.000000,events/second
1651225774,1,0.000660,0.000000,0.000000,0.000000,events/second
1651225804,1,0.000648,0.000000,0.000000,0.000000,events/second
1651225834,1,0.000635,0.000000,0.000000,0.000000,events/second
1651225864,1,0.000623,0.000000,0.000000,0.000000,events/second
1651225894,1,0.000612,0.000000,0.000000,0.000000,events/second
1651225924,1,0.000601,0.000000,0.000000,0.000000,events/second
1651225954,1,0.000590,0.000000,0.000000,0.000000,events/second
1651225984,1,0.000580,0.000000,0.000000,0.000000,events/second
1651226014,1,0.000570,0.000000,0.000000,0.000000,events/second
1651226044,1,0.000560,0.000000,0.000000,0.000000,events/second
1651226074,1,0.000551,0.000000,0.000000,0.000000,events/second
1651226104,1,0.000542,0.000000,0.000000,0.000000,events/second
1651226134,1,0.000533,0.000000,0.000000,0.000000,events/second
1651226164,1,0.000525,0.000000,0.000000,0.000000,events/second
1651226194,1,0.000517,0.000000,0.000000,0.000000,events/second
1651226224,1,0.000509,0.000000,0.000000,0.000000,events/second
1651226254,1,0.000501,0.000000,0.000000,0.000000,events/second
