t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224302,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224332,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224362,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224393,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224423,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224453,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224483,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224513,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224543,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224573,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224603,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224633,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224663,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224693,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224723,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224753,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224783,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224813,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224843,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224873,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224903,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224933,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224963,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224993,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225023,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225053,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225083,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225113,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225143,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225173,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225203,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225233,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225263,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225293,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225324,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225354,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225384,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225414,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225444,2190,1.825289,0.000000,0.000000,0.000000,events/second
1651225474,2190,1.780733,0.000000,0.000000,0.000000,events/second
1651225504,2190,1.738300,0.000000,0.000000,0.000000,events/second
1651225534,2190,1.697850,0.000000,0.000000,0.000000,events/second
1651225564,2190,1.659227,0.000000,0.000000,0.000000,events/second
1651225594,2190,1.622321,0.000000,0.000000,0.000000,events/second
1651225624,2190,1.587030,0.000000,0.000000,0.000000,events/second
1651225654,2190,1.553241,0.000000,0.000000,0.000000,events/second
1651225684,2190,1.520872,0.000000,0.000000,0.000000,events/second
1651225714,2190,1.489819,0.000000,0.000000,0.000000,events/second
1651225744,2190,1.460012,0.000000,0.000000,0.000000,events/second
1651225774,2190,1.431362,0.000000,0.000000,0.000000,events/second
1651225804,2190,1.403818,0.000000,0.000000,0.000000,events/second
1651225834,2190,1.377311,0.000000,0.000000,0.000000,events/second
1651225864,2190,1.351790,0.000000,0.000000,0.000000,events/second
1651225894,2190,1.327195,0.000000,0.000000,0.000000,events/second
1651225924,2190,1.303484,0.000000,0.000000,0.000000,events/second
1651225954,2190,1.280608,0.000000,0.000000,0.000000,events/second
1651225984,2190,1.258521,0.000000,0.000000,0.000000,events/second
1651226014,2190,1.237183,0.000000,0.000000,0.000000,events/second
1651226044,2190,1.216531,0.000000,0.000000,0.000000,events/second
1651226074,2190,1.196580,0.000000,0.000000,0.000000,events/second
1651226104,2190,1.177274,0.000000,0.000000,0.000000,events/second
1651226134,2190,1.158583,0.000000,0.000000,0.000000,events/second
1651226164,2190,1.140468,0.000000,0.000000,0.000000,events/second
1651226194,2190,1.122908,0.000000,0.000000,0.000000,events/second
1651226224,2190,1.105886,0.000000,0.000000,0.000000,events/second
