t,value
1651224270,55
1651224302,55
1651224332,55
1651224362,55
1651224393,55
1651224423,55
1651224453,55
1651224483,55
1651224513,55
1651224543,55
1651224573,55
1651224603,55
1651224633,55
1651224663,55
1651224693,55
1651224723,55
1651224753,55
1651224783,55
1651224813,55
1651224843,55
1651224873,55
1651224903,55
1651224933,55
1651224963,55
1651224993,55
1651225023,55
1651225053,55
1651225083,55
1651225113,55
1651225143,55
1651225173,55
1651225203,55
1651225233,55
1651225263,55
1651225293,55
1651225324,55
1651225354,55
1651225384,55
1651225414,55
1651225444,55
1651225474,55
1651225504,55
1651225534,55
1651225564,55
1651225594,55
1651225624,55
1651225654,55
1651225684,55
1651225714,55
1651225744,55
1651225774,55
1651225804,55
1651225834,55
1651225864,55
1651225894,55
1651225924,55
1651225954,55
1651225984,55
1651226014,55
1651226044,55
1651226074,55
1651226104,55
1651226134,55
1651226164,55
1651226194,55
1651226224,55
1651226254,55
1651226284,55
1651226314,55
1651226344,55
1651226374,55
1651226404,55
1651226434,55
1651226464,55
1651226494,55
1651226524,55
1651226554,55
1651226584,55
1651226614,55
1651226644,55
1651226674,55
1651226704,55
1651226734,55
1651226764,55
1651226794,55
1651226826,55
1651226856,55
1651226886,55
1651226916,55
1651226946,55
1651226976,55
1651227006,55
1651227036,55
1651227066,55
1651227096,55
1651227126,55
1651227156,55
1651227186,55
1651227216,55
1651227246,55
1651227276,55
1651227306,55
1651227336,55
1651227366,55
1651227396,55
1651227426,55
1651227456,55
1651227486,55
1651227516,55
1651227546,55
1651227576,55
1651227606,55
1651227636,55
1651227666,55
1651227696,55
1651227726,55
1651227756,55
1651227786,55
1651227816,55
1651227846,55
1651227876,55
1651227906,55
1651227936,55
1651227966,55
1651227996,55
1651228026,55
1651228056,55
1651228086,55
1651228116,55
1651228146,55
1651228176,55
1651228206,55
1651228236,55
1651228266,55
1651228296,55
1651228326,55
1651228356,55
1651228386,55
1651228416,55
1651228446,55
1651228476,55
1651228506,55
1651228536,55
1651228566,55
1651228596,55
1651228626,55
1651228656,55
1651228686,55
1651228717,55
1651228747,55
1651228777,55
1651228807,55
1651228837,55
1651228867,55
1651228897,55
1651228927,55
1651228957,55
1651228987,55
1651229017,55
1651229047,55
1651229077,55
1651229107,55
1651229137,55
1651229167,55
1651229197,55
1651229227,55
1651229257,55
1651229287,55
1651229317,55
1651229347,55
1651229377,55
1651229407,55
1651229437,55
1651229467,55
1651229497,55
1651229527,55
1651229557,55
1651229587,55
1651229617,55
1651229647,55
1651229677,55
1651229707,55
1651229737,55
1651229767,55
1651229797,55
1651229827,55
1651229857,55
1651229887,55
1651229917,55
1651229947,55
1651229977,55
1651230007,55
1651230037,55
1651230067,55
1651230097,55
1651230127,55
1651230157,55
1651230187,55
1651230217,55
1651230247,55
1651230277,55
1651230307,55
1651230337,55
1651230367,55
1651230397,55
1651230427,55
1651230457,55
1651230487,55
1651230517,55
1651230547,55
1651230577,55
1651230607,55
1651230637,55
1651230667,55
1651230697,55
1651230727,55
1651230757,55
1651230787,55
1651230817,55
1651230847,55
1651230877,55
1651230907,55
1651230937,55
1651230967,55
1651230997,55
1651231027,55
1651231057,55
1651231087,55
1651231117,55
1651231147,55
1651231177,55
1651231207,55
1651231237,55
1651231267,55
1651231297,55
1651231328,55
1651231358,55
1651231388,55
1651231418,55
1651231448,55
1651231478,55
1651231508,55
1651231538,55
1651231568,55
1651231598,55
1651231628,55
1651231658,55
1651231688,55
1651231718,55
1651231748,55
1651231778,55
1651231808,55
1651231838,55
1651231868,55
1651231898,55
1651231928,55
1651231958,55
1651231988,55
1651232018,55
1651232048,55
1651232078,55
1651232108,55
1651232138,55
1651232168,55
1651232198,55
1651232228,55
1651232258,55
1651232288,55
1651232318,55
1651232348,55
1651232378,55
1651232408,55
1651232438,55
1651232468,55
1651232498,55
1651232528,55
1651232558,55
1651232588,55
1651232618,55
1651232648,55
1651232678,55
1651232708,55
1651232738,55
1651232768,55
1651232798,55
1651232828,55
1651232858,55
1651232888,55
1651232918,55
1651232948,55
1651232978,55
1651233008,55
1651233038,55
1651233068,55
1651233098,55
1651233128,55
1651233158,55
1651233188,55
1651233218,55
1651233248,55
1651233278,55
1651233308,55
1651233338,55
1651233368,55
1651233398,55
1651233428,55
1651233458,55
1651233488,55
1651233518,55
1651233548,55
1651233578,55
1651233608,55
1651233638,55
1651233668,55
1651233698,55
1651233728,55
1651233758,55
1651233788,55
1651233818,55
1651233848,55
1651233878,55
1651233908,55
1651233938,55
1651233968,55
1651233998,55
1651234028,55
1651234058,55
1651234088,55
1651234119,55
1651234149,55
1651234179,55
1651234209,55
1651234239,55
1651234269,55
1651234299,55
1651234329,55
1651234359,55
1651234389,55
1651234419,55
1651234449,55
1651234479,55
