t,value
1651224270,126
1651224302,126
1651224332,126
1651224362,126
1651224393,126
1651224423,126
1651224453,126
1651224483,126
1651224513,126
1651224543,126
1651224573,126
1651224603,126
1651224633,126
1651224663,126
1651224693,126
1651224723,126
1651224753,126
1651224783,126
1651224813,126
1651224843,126
1651224873,126
1651224903,126
1651224933,126
1651224963,126
1651224993,126
1651225023,126
1651225053,126
1651225083,126
1651225113,126
1651225143,126
1651225173,126
1651225203,126
1651225233,126
1651225263,126
1651225293,126
1651225324,126
1651225354,126
1651225384,126
1651225414,126
1651225444,126
1651225474,126
1651225504,126
1651225534,126
1651225564,126
1651225594,126
1651225624,126
1651225654,126
1651225684,126
1651225714,126
1651225744,126
1651225774,126
1651225804,126
1651225834,126
1651225864,126
1651225894,126
1651225924,126
1651225954,126
1651225984,126
1651226014,126
1651226044,126
1651226074,126
1651226104,126
1651226134,126
1651226164,126
1651226194,126
1651226224,126
1651226254,126
1651226284,126
1651226314,126
1651226344,126
1651226374,126
1651226404,126
1651226434,126
1651226464,126
1651226494,126
1651226524,126
1651226554,126
1651226584,126
1651226614,126
1651226644,126
1651226674,126
1651226704,126
1651226734,126
1651226764,126
1651226794,126
1651226826,126
1651226856,126
1651226886,126
1651226916,126
1651226946,126
1651226976,126
1651227006,126
1651227036,126
1651227066,126
1651227096,126
1651227126,126
1651227156,126
1651227186,126
1651227216,126
1651227246,126
1651227276,126
1651227306,126
1651227336,126
1651227366,126
1651227396,126
1651227426,126
1651227456,126
1651227486,126
1651227516,126
1651227546,126
1651227576,126
1651227606,126
1651227636,126
1651227666,126
1651227696,126
1651227726,126
1651227756,126
1651227786,126
1651227816,126
1651227846,126
1651227876,126
1651227906,126
1651227936,126
1651227966,126
1651227996,126
1651228026,126
1651228056,126
1651228086,126
1651228116,126
1651228146,126
1651228176,126
1651228206,126
1651228236,126
1651228266,126
1651228296,126
1651228326,126
1651228356,126
1651228386,126
1651228416,126
1651228446,126
1651228476,126
1651228506,126
1651228536,126
1651228566,126
1651228596,126
1651228626,126
1651228656,126
1651228686,126
1651228717,126
1651228747,126
1651228777,126
1651228807,126
1651228837,126
1651228867,126
1651228897,126
1651228927,126
1651228957,126
1651228987,126
1651229017,126
1651229047,126
1651229077,126
1651229107,126
1651229137,126
1651229167,126
1651229197,126
1651229227,126
1651229257,126
1651229287,126
1651229317,126
1651229347,126
1651229377,126
1651229407,126
1651229437,126
1651229467,126
1651229497,126
1651229527,126
1651229557,126
1651229587,126
1651229617,126
1651229647,126
1651229677,126
1651229707,126
1651229737,126
1651229767,126
1651229797,126
1651229827,126
1651229857,126
1651229887,126
1651229917,126
1651229947,126
1651229977,126
1651230007,126
1651230037,126
1651230067,126
1651230097,126
1651230127,126
1651230157,126
1651230187,126
1651230217,126
1651230247,126
1651230277,126
1651230307,126
1651230337,126
1651230367,126
1651230397,126
1651230427,126
1651230457,126
1651230487,126
1651230517,126
1651230547,126
1651230577,126
1651230607,126
1651230637,126
1651230667,126
1651230697,126
1651230727,126
1651230757,126
