t,value
1651224270,208302080
1651224302,208302080
1651224332,208302080
1651224362,208302080
1651224393,208302080
1651224423,208302080
1651224453,208302080
1651224483,208302080
1651224513,208302080
1651224543,208302080
1651224573,208302080
1651224603,208302080
1651224633,208302080
1651224663,208302080
1651224693,208302080
1651224723,208302080
1651224753,208302080
1651224783,208302080
1651224813,208302080
1651224843,208302080
1651224873,208302080
1651224903,208302080
1651224933,208302080
1651224963,208302080
1651224993,208302080
1651225023,208302080
1651225053,208302080
1651225083,208302080
1651225113,208302080
1651225143,208302080
1651225173,208302080
1651225203,208302080
1651225233,208302080
1651225263,208302080
1651225293,208302080
1651225324,208302080
1651225354,208302080
1651225384,208302080
1651225414,208302080
1651225444,208302080
1651225474,208302080
1651225504,208302080
1651225534,208302080
1651225564,208302080
1651225594,208302080
1651225624,208302080
1651225654,208302080
1651225684,208302080
1651225714,208302080
1651225744,208302080
1651225774,208302080
1651225804,208302080
1651225834,208302080
1651225864,208302080
1651225894,208302080
1651225924,208302080
1651225954,208302080
1651225984,208302080
1651226014,208302080
1651226044,208302080
1651226074,208302080
1651226104,208302080
1651226134,208302080
1651226164,208302080
1651226194,208302080
1651226224,208302080
1651226254,208302080
1651226284,208302080
1651226314,208302080
1651226344,208302080
1651226374,208302080
1651226404,208302080
1651226434,208302080
1651226464,208302080
1651226494,208302080
1651226524,208302080
1651226554,208302080
1651226584,208302080
1651226614,208302080
1651226644,208302080
1651226674,208302080
1651226704,208302080
1651226734,208302080
1651226764,208302080
1651226794,208302080
1651226826,208302080
1651226856,208302080
1651226886,208302080
1651226916,208302080
1651226946,208302080
1651226976,208302080
1651227006,208302080
1651227036,208302080
1651227066,208302080
1651227096,208302080
1651227126,208302080
1651227156,208302080
1651227186,208302080
1651227216,208302080
1651227246,208302080
1651227276,208302080
1651227306,208302080
1651227336,208302080
1651227366,208302080
1651227396,208302080
1651227426,208302080
1651227456,208302080
1651227486,208302080
1651227516,208302080
1651227546,208302080
1651227576,208302080
1651227606,208302080
1651227636,208302080
1651227666,208302080
1651227696,208302080
1651227726,208302080
1651227756,208302080
1651227786,208302080
1651227816,208302080
1651227846,208302080
1651227876,208302080
1651227906,208302080
1651227936,208302080
1651227966,208302080
1651227996,208302080
1651228026,208302080
1651228056,208302080
1651228086,208302080
1651228116,208302080
1651228146,208302080
1651228176,208302080
1651228206,208302080
1651228236,208302080
1651228266,208302080
1651228296,208302080
1651228326,208302080
1651228356,208302080
1651228386,208302080
1651228416,208302080
1651228446,208302080
1651228476,208302080
1651228506,208302080
1651228536,208302080
1651228566,208302080
1651228596,208302080
1651228626,208302080
1651228656,208302080
1651228686,208302080
1651228717,208302080
1651228747,208302080
1651228777,208302080
1651228807,208302080
1651228837,208302080
1651228867,208302080
1651228897,208302080
1651228927,208302080
1651228957,208302080
1651228987,208302080
1651229017,208302080
1651229047,208302080
1651229077,208302080
1651229107,208302080
1651229137,208302080
1651229167,208302080
1651229197,208302080
1651229227,208302080
1651229257,208302080
1651229287,208302080
1651229317,208302080
1651229347,208302080
1651229377,208302080
1651229407,208302080
1651229437,208302080
1651229467,208302080
1651229497,208302080
1651229527,208302080
1651229557,208302080
1651229587,208302080
1651229617,208302080
1651229647,208302080
1651229677,208302080
1651229707,208302080
1651229737,208302080
1651229767,208302080
1651229797,208302080
1651229827,208302080
1651229857,208302080
1651229887,208302080
1651229917,208302080
1651229947,208302080
1651229977,208302080
1651230007,208302080
1651230037,208302080
1651230067,208302080
1651230097,208302080
1651230127,208302080
1651230157,208302080
1651230187,208302080
1651230217,208302080
