t,value
1651224270,0
1651224302,0
1651224332,451
1651224362,2463
1651224393,2679
1651224423,2679
1651224453,2679
1651224483,2679
1651224513,2679
1651224543,4233
1651224573,7060
1651224603,7060
1651224633,7060
1651224663,7060
1651224693,7060
1651224723,7060
1651224753,7060
1651224783,7060
1651224813,7060
1651224843,7060
1651224873,7060
1651224903,7060
1651224933,7060
1651224963,7060
1651224993,7060
1651225023,7060
1651225053,7060
1651225083,7060
1651225113,7060
1651225143,7060
1651225173,7060
1651225203,7060
1651225233,7060
1651225263,7060
1651225293,7060
1651225324,7060
1651225354,7060
1651225384,7060
1651225414,7060
1651225444,7060
1651225474,7060
1651225504,7060
1651225534,7060
1651225564,7060
1651225594,7060
1651225624,7060
1651225654,7060
1651225684,7060
1651225714,7060
1651225744,7060
1651225774,7060
1651225804,7060
1651225834,7060
1651225864,7060
1651225894,7060
1651225924,7060
1651225954,7060
1651225984,7060
1651226014,7060
1651226044,7060
1651226074,7060
1651226104,7060
1651226134,7060
1651226164,7060
1651226194,7060
1651226224,7060
1651226254,7060
1651226284,7060
1651226314,7060
1651226344,7060
1651226374,7060
1651226404,7060
1651226434,7060
1651226464,7060
1651226494,7060
1651226524,7060
1651226554,7060
1651226584,7060
1651226614,7060
1651226644,7060
1651226674,7060
1651226704,7060
1651226734,7060
1651226764,7060
1651226794,7060
1651226826,7060
1651226856,7060
1651226886,7709
1651226916,7709
1651226946,7709
1651226976,7709
1651227006,7709
1651227036,7709
1651227066,7709
1651227096,7709
1651227126,7709
1651227156,7709
1651227186,7709
1651227216,7709
1651227246,7709
1651227276,7709
1651227306,7709
1651227336,7709
1651227366,7709
1651227396,7709
1651227426,7709
1651227456,7709
1651227486,7709
1651227516,7709
1651227546,7709
1651227576,7709
1651227606,7709
1651227636,7709
1651227666,7709
1651227696,7709
1651227726,7709
1651227756,7709
1651227786,7709
1651227816,7709
1651227846,7709
1651227876,7709
1651227906,7709
1651227936,7709
1651227966,7709
1651227996,7709
1651228026,7709
1651228056,7709
1651228086,7709
1651228116,7709
1651228146,7709
1651228176,7709
1651228206,7709
1651228236,7709
1651228266,7709
1651228296,7709
1651228326,7709
1651228356,7709
1651228386,7709
1651228416,7709
1651228446,7709
1651228476,7709
1651228506,7709
1651228536,7709
1651228566,7709
1651228596,7709
1651228626,7709
1651228656,7709
1651228686,7709
1651228717,7709
1651228747,7709
1651228777,7709
1651228807,7709
1651228837,7709
1651228867,7709
1651228897,7709
1651228927,7709
1651228957,7709
1651228987,7709
1651229017,7709
1651229047,7709
1651229077,7709
1651229107,7916
1651229137,7916
1651229167,7916
1651229197,7916
1651229227,7916
1651229257,7916
1651229287,7916
1651229317,7916
1651229347,7916
1651229377,7916
1651229407,7916
1651229437,7916
1651229467,7916
1651229497,7916
1651229527,7916
1651229557,7916
1651229587,7916
1651229617,7916
1651229647,7916
1651229677,7916
1651229707,7916
1651229737,7916
1651229767,7916
1651229797,7916
1651229827,7916
1651229857,7916
1651229887,7916
1651229917,7916
1651229947,7916
1651229977,7916
1651230007,7916
1651230037,7916
1651230067,7916
1651230097,7916
1651230127,7916
1651230157,7916
1651230187,7916
1651230217,7916
1651230247,7916
1651230277,7916
1651230307,7916
1651230337,7916
1651230367,7916
1651230397,7916
1651230427,7916
1651230457,7916
1651230487,7916
1651230517,7916
1651230547,7916
1651230577,7916
1651230607,7916
1651230637,7916
1651230667,7916
1651230697,7916
1651230727,7916
1651230757,7916
1651230787,7916
1651230817,7916
1651230847,7916
1651230877,7916
1651230907,7916
1651230937,7916
1651230967,7916
1651230997,7916
1651231027,7916
1651231057,7916
1651231087,7916
1651231117,7916
1651231147,7916
1651231177,7916
1651231207,7916
1651231237,7916
1651231267,7916
1651231297,7916
1651231328,7916
1651231358,7916
1651231388,7916
1651231418,7916
1651231448,7916
1651231478,7916
1651231508,7916
1651231538,7916
1651231568,7916
1651231598,7916
1651231628,7916
1651231658,7916
1651231688,7916
1651231718,7916
1651231748,7916
1651231778,7916
1651231808,7916
1651231838,7916
1651231868,7916
1651231898,7916
1651231928,7916
1651231958,7916
1651231988,7916
1651232018,7916
1651232048,7916
1651232078,7916
1651232108,7916
1651232138,7916
1651232168,7916
1651232198,7916
1651232228,7916
1651232258,7916
1651232288,7916
1651232318,7916
1651232348,7916
1651232378,7916
1651232408,7916
1651232438,7916
1651232468,7916
1651232498,7916
1651232528,7916
1651232558,7916
1651232588,7916
1651232618,7916
1651232648,7916
1651232678,7916
1651232708,7916
1651232738,7916
1651232768,7916
