Nombre,Año,PER,PVC,PEG,Dividendo,Puntuación,Sector
Banco Sabadell,2022e,929,34,-,"3,37%",Bancos,
Acerinox,2022e,362,109,01,"4,64%",Mineria,
IAG (Iberia),2022e,-,1016,-,0%,Aerolinea,
Caixabank,2022e,111,73,1015,"4,44%",Bancos, 
Indra,2022e,918,178,03,"1,54%",Transporte,
Iberdrola,2022e,1714,156,268,"3,95%",Energia,
CIE Automotive,2022e,834,241,1,"3,33%",Mecanica,
Bankinter,2022e,1189,104,1344,"3,58%",Bancos,
Aena,2022e,398,309,006,0%,Aerolinea,
Melia Hotels,2022e,-,475,-,0%,Turismo,
Repsol,2022e,479,91,006,"4,28%",Energia,
Banco Santander,2022e,652,57,-,"3,39%",Bancos,
Ferrovial,2022e,7033,432,-,"2,99%",Transporte,
Fluidra,2022e,1342,255,045,"1,75%",Turismo,
ArcelorMittal,2022e,442,64,-,"1,35%",Mineria,
PharmaMar,2022e,1501,558,-,"0,95%",Quimica,
Amadeus,2022e,3754,598,006,0%,Turismo,
BBVA,2022e,71,65,-,"6,4%",Bancos,
Inditex,2022e,1717,387,122,"4,56%",Textiles,
Mapfre,2022e,812,61,-,"8,08%",Salud,
Solaria,2022e,4156,867,098,0%,Energia,
Endesa,2022e,1265,321,068,"5,81%",Energia,
REE,2022e,1618,256,-,"5,33%",Energia,
Almirall,2022e,2819,143,01,"1,84%",Quimica,
Telefonica,2022e,1399,116,-,"6,14%",Telecomunicaciones,
Enagas,2022e,1495,192,-,"7,73%",Energia,
Naturgy (Gas Natural),2022e,2099,34,314,"4,28%",Energia,
Laboratorios Rovi,2022e,1747,608,073,"1,62%",Quimica,
ACS,2022e,1461,12,-,"8,83%",Construccion,
Cellnex,2022e,-,184,-,"0,12%",Telecomunicaciones,
Inmobiliaria Colonial,2022e,2748,72,-,"2,43%",Inmobiliaria,
Siemens-Gamesa,2022e,-,305,-,0%,Energia,
MERLIN Properties,2022e,173,74,-,"4,21%",Inmobiliaria,
Grifols A,2022e,1877,135,027,"1,81%",Quimica,
Acciona,2022e,2281,245,195,"2,18%",Energia,
Media **,2022,1812,264,208,"3,83%",
