"X1","X2","X3","X4","X5","X6","X7"
"Acciona",2022,"22,81","2,45","1,95","2,18%",NA
"Acerinox",2022,"3,62","1,09","0,1","4,64%",NA
"ACS",2022,"14,61","1,2","-","8,83%",NA
"Aena",2022,"39,8","3,09","0,06","0%",NA
"Almirall",2022,"28,19","1,43","0,1","1,84%",NA
"Amadeus",2022,"37,54","5,98","0,06","0%",NA
"ArcelorMittal",2022,"4,42","0,64","-","1,35%",NA
"Banco Sabadell",2022,"9,29","0,34","-","3,37%",NA
"Banco Santander",2022,"6,52","0,57","-","3,39%",NA
"Bankinter",2022,"11,89","1,04","13,44","3,58%",NA
"BBVA",2022,"7,1","0,65","-","6,4%",NA
"Caixabank",2022,"11,1","0,73","10,15","4,44%",NA
"Cellnex",2022,"-","1,84","-","0,12%",NA
"CIE Automotive",2022,"8,34","2,41","1","3,33%",NA
"Enagas",2022,"14,95","1,92","-","7,73%",NA
"Endesa",2022,"12,65","3,21","0,68","5,81%",NA
"Ferrovial",2022,"70,33","4,32","-","2,99%",NA
"Fluidra",2022,"13,42","2,55","0,45","1,75%",NA
"Grifols A",2022,"18,77","1,35","0,27","1,81%",NA
"Iberdrola",2022,"17,14","1,56","2,68","3,95%",NA
"Inditex",2022,"17,17","3,87","1,22","4,56%",NA
"Indra",2022,"9,18","1,78","0,3","1,54%",NA
"Inmobiliaria Colonial",2022,"27,48","0,72","-","2,43%",NA
"IAG (Iberia)",2022,"-","10,16","-","0%",NA
"Laboratorios Rovi",2022,"17,47","6,08","0,73","1,62%",NA
"Mapfre",2022,"8,12","0,61","-","8,08%",NA
"Melia Hotels",2022,"-","4,75","-","0%",NA
"MERLIN Properties",2022,"17,3","0,74","-","4,21%",NA
"Naturgy (Gas Natural)",2022,"20,99","3,4","3,14","4,28%",NA
"PharmaMar",2022,"15,01","5,58","-","0,95%",NA
"REE",2022,"16,18","2,56","-","5,33%",NA
"Repsol",2022,"4,79","0,91","0,06","4,28%",NA
"Siemens-Gamesa",2022,"-","3,05","-","0%",NA
"Solaria",2022,"41,56","8,67","0,98","0%",NA
"Telefonica",2022,"13,99","1,16","-","6,14%",NA
"Media **",2022,"18,12","2,64","2,08","3,83%",NA
